year,week,loc,state,country,loc_type,number,event
1906,40,JOHNSTOWN,PA,US,CITY,1,CASES
1906,41,JOHNSTOWN,PA,US,CITY,2,CASES
1906,42,JOHNSTOWN,PA,US,CITY,1,CASES
1906,43,JOHNSTOWN,PA,US,CITY,1,CASES
1906,44,JOHNSTOWN,PA,US,CITY,1,CASES
1906,45,JOHNSTOWN,PA,US,CITY,5,CASES
1906,46,JOHNSTOWN,PA,US,CITY,2,CASES
1906,47,JOHNSTOWN,PA,US,CITY,1,CASES
1906,48,JOHNSTOWN,PA,US,CITY,1,CASES
1906,49,JOHNSTOWN,PA,US,CITY,2,CASES
1906,50,JOHNSTOWN,PA,US,CITY,2,CASES
1906,51,JOHNSTOWN,PA,US,CITY,2,CASES
1906,52,JOHNSTOWN,PA,US,CITY,1,CASES
1907,1,JOHNSTOWN,PA,US,CITY,1,CASES
1907,2,JOHNSTOWN,PA,US,CITY,3,CASES
1907,3,JOHNSTOWN,PA,US,CITY,1,CASES
1907,4,JOHNSTOWN,PA,US,CITY,3,CASES
1907,5,JOHNSTOWN,PA,US,CITY,5,CASES
1907,8,JOHNSTOWN,PA,US,CITY,3,CASES
1907,9,JOHNSTOWN,PA,US,CITY,1,CASES
1907,10,JOHNSTOWN,PA,US,CITY,2,CASES
1907,11,JOHNSTOWN,PA,US,CITY,3,CASES
1907,14,JOHNSTOWN,PA,US,CITY,2,CASES
1907,15,JOHNSTOWN,PA,US,CITY,3,CASES
1907,18,JOHNSTOWN,PA,US,CITY,1,CASES
1907,21,JOHNSTOWN,PA,US,CITY,1,CASES
1907,24,JOHNSTOWN,PA,US,CITY,2,CASES
1907,25,JOHNSTOWN,PA,US,CITY,1,CASES
1907,26,JOHNSTOWN,PA,US,CITY,2,CASES
1907,27,JOHNSTOWN,PA,US,CITY,2,CASES
1907,28,JOHNSTOWN,PA,US,CITY,1,CASES
1907,29,JOHNSTOWN,PA,US,CITY,1,CASES
1907,30,JOHNSTOWN,PA,US,CITY,2,CASES
1907,31,JOHNSTOWN,PA,US,CITY,1,CASES
1907,32,JOHNSTOWN,PA,US,CITY,1,CASES
1907,33,JOHNSTOWN,PA,US,CITY,2,CASES
1907,34,JOHNSTOWN,PA,US,CITY,2,CASES
1907,35,JOHNSTOWN,PA,US,CITY,1,CASES
1907,36,JOHNSTOWN,PA,US,CITY,4,CASES
1907,37,JOHNSTOWN,PA,US,CITY,2,CASES
1907,38,JOHNSTOWN,PA,US,CITY,3,CASES
1907,39,JOHNSTOWN,PA,US,CITY,4,CASES
1907,40,JOHNSTOWN,PA,US,CITY,1,CASES
1907,41,JOHNSTOWN,PA,US,CITY,6,CASES
1907,42,JOHNSTOWN,PA,US,CITY,6,CASES
1907,43,JOHNSTOWN,PA,US,CITY,5,CASES
1907,44,JOHNSTOWN,PA,US,CITY,1,CASES
1907,45,JOHNSTOWN,PA,US,CITY,2,CASES
1907,46,JOHNSTOWN,PA,US,CITY,2,CASES
1907,48,JOHNSTOWN,PA,US,CITY,7,CASES
1907,49,JOHNSTOWN,PA,US,CITY,6,CASES
1907,50,JOHNSTOWN,PA,US,CITY,3,CASES
1907,51,JOHNSTOWN,PA,US,CITY,1,CASES
1907,52,JOHNSTOWN,PA,US,CITY,3,CASES
1908,1,JOHNSTOWN,PA,US,CITY,2,CASES
1908,2,JOHNSTOWN,PA,US,CITY,3,CASES
1908,3,JOHNSTOWN,PA,US,CITY,5,CASES
1908,4,JOHNSTOWN,PA,US,CITY,4,CASES
1908,5,JOHNSTOWN,PA,US,CITY,4,CASES
1908,6,JOHNSTOWN,PA,US,CITY,8,CASES
1908,7,JOHNSTOWN,PA,US,CITY,4,CASES
1908,8,JOHNSTOWN,PA,US,CITY,9,CASES
1908,9,JOHNSTOWN,PA,US,CITY,3,CASES
1908,10,JOHNSTOWN,PA,US,CITY,4,CASES
1908,11,JOHNSTOWN,PA,US,CITY,3,CASES
1908,12,JOHNSTOWN,PA,US,CITY,5,CASES
1908,13,JOHNSTOWN,PA,US,CITY,1,CASES
1908,14,JOHNSTOWN,PA,US,CITY,5,CASES
1908,15,JOHNSTOWN,PA,US,CITY,3,CASES
1908,16,JOHNSTOWN,PA,US,CITY,2,CASES
1908,17,JOHNSTOWN,PA,US,CITY,5,CASES
1908,18,JOHNSTOWN,PA,US,CITY,7,CASES
1908,19,JOHNSTOWN,PA,US,CITY,1,CASES
1908,20,JOHNSTOWN,PA,US,CITY,1,CASES
1908,22,JOHNSTOWN,PA,US,CITY,2,CASES
1908,23,JOHNSTOWN,PA,US,CITY,2,CASES
1908,24,JOHNSTOWN,PA,US,CITY,2,CASES
1908,25,JOHNSTOWN,PA,US,CITY,4,CASES
1908,26,JOHNSTOWN,PA,US,CITY,2,CASES
1908,28,JOHNSTOWN,PA,US,CITY,2,CASES
1908,30,JOHNSTOWN,PA,US,CITY,1,CASES
1908,32,JOHNSTOWN,PA,US,CITY,2,CASES
1908,33,JOHNSTOWN,PA,US,CITY,3,CASES
1908,34,JOHNSTOWN,PA,US,CITY,3,CASES
1908,35,JOHNSTOWN,PA,US,CITY,1,CASES
1908,36,JOHNSTOWN,PA,US,CITY,1,CASES
1908,38,JOHNSTOWN,PA,US,CITY,2,CASES
1908,39,JOHNSTOWN,PA,US,CITY,1,CASES
1908,40,JOHNSTOWN,PA,US,CITY,4,CASES
1908,41,JOHNSTOWN,PA,US,CITY,4,CASES
1908,42,JOHNSTOWN,PA,US,CITY,1,CASES
1908,43,JOHNSTOWN,PA,US,CITY,2,CASES
1908,45,JOHNSTOWN,PA,US,CITY,2,CASES
1908,45,JOHNSTOWN,PA,US,CITY,4,CASES
1908,47,JOHNSTOWN,PA,US,CITY,9,CASES
1908,48,JOHNSTOWN,PA,US,CITY,3,CASES
1908,49,JOHNSTOWN,PA,US,CITY,5,CASES
1908,50,JOHNSTOWN,PA,US,CITY,10,CASES
1908,51,JOHNSTOWN,PA,US,CITY,4,CASES
1908,52,JOHNSTOWN,PA,US,CITY,6,CASES
1908,53,JOHNSTOWN,PA,US,CITY,10,CASES
1909,1,JOHNSTOWN,PA,US,CITY,5,CASES
1909,2,JOHNSTOWN,PA,US,CITY,12,CASES
1909,3,JOHNSTOWN,PA,US,CITY,11,CASES
1909,4,JOHNSTOWN,PA,US,CITY,12,CASES
1909,5,JOHNSTOWN,PA,US,CITY,10,CASES
1909,6,JOHNSTOWN,PA,US,CITY,19,CASES
1909,7,JOHNSTOWN,PA,US,CITY,17,CASES
