year,week,loc,state,country,loc_type,number,event
1912,34,JOHNSTOWN,PA,US,CITY,1,CASES
1912,20,JOHNSTOWN,PA,US,CITY,1,CASES
1912,19,JOHNSTOWN,PA,US,CITY,5,CASES
1904,51,JOHNSTOWN,PA,US,CITY,1,CASES
1913,1,JOHNSTOWN,PA,US,CITY,1,CASES
1913,3,JOHNSTOWN,PA,US,CITY,2,CASES
1913,4,JOHNSTOWN,PA,US,CITY,2,CASES
1913,22,JOHNSTOWN,PA,US,CITY,1,CASES
1913,23,JOHNSTOWN,PA,US,CITY,4,CASES
1913,26,JOHNSTOWN,PA,US,CITY,3,CASES
1914,24,JOHNSTOWN,PA,US,CITY,1,CASES
1915,3,JOHNSTOWN,PA,US,CITY,1,CASES
1915,47,JOHNSTOWN,PA,US,CITY,1,CASES
1917,5,JOHNSTOWN,PA,US,CITY,2,CASES
1917,47,JOHNSTOWN,PA,US,CITY,1,CASES
1918,6,JOHNSTOWN,PA,US,CITY,1,CASES
1918,8,JOHNSTOWN,PA,US,CITY,1,CASES
1918,9,JOHNSTOWN,PA,US,CITY,1,CASES
1918,10,JOHNSTOWN,PA,US,CITY,2,CASES
1918,14,JOHNSTOWN,PA,US,CITY,1,CASES
1918,17,JOHNSTOWN,PA,US,CITY,2,CASES
1918,23,JOHNSTOWN,PA,US,CITY,1,CASES
1921,16,JOHNSTOWN,PA,US,CITY,1,CASES
1921,27,JOHNSTOWN,PA,US,CITY,2,CASES
1922,17,JOHNSTOWN,PA,US,CITY,1,CASES
1922,44,JOHNSTOWN,PA,US,CITY,1,CASES
1923,15,JOHNSTOWN,PA,US,CITY,1,CASES
1923,19,JOHNSTOWN,PA,US,CITY,1,CASES
1923,26,JOHNSTOWN,PA,US,CITY,1,CASES
1923,50,JOHNSTOWN,PA,US,CITY,1,CASES
