year,week,loc,state,country,loc_type,number,event
1918,19,KANKAKEE,IL,US,CITY,1,CASES
1918,22,KANKAKEE,IL,US,CITY,3,CASES
1918,24,KANKAKEE,IL,US,CITY,1,CASES
1918,39,KANKAKEE,IL,US,CITY,2,CASES
1918,42,KANKAKEE,IL,US,CITY,1,CASES
1919,13,KANKAKEE,IL,US,CITY,2,CASES
1919,16,KANKAKEE,IL,US,CITY,4,CASES
1919,17,KANKAKEE,IL,US,CITY,2,CASES
1919,25,KANKAKEE,IL,US,CITY,1,CASES
1919,30,KANKAKEE,IL,US,CITY,1,CASES
1920,3,KANKAKEE,IL,US,CITY,1,CASES
1920,10,KANKAKEE,IL,US,CITY,1,CASES
1920,14,KANKAKEE,IL,US,CITY,1,CASES
1920,16,KANKAKEE,IL,US,CITY,1,CASES
1920,18,KANKAKEE,IL,US,CITY,2,CASES
1920,19,KANKAKEE,IL,US,CITY,5,CASES
1920,20,KANKAKEE,IL,US,CITY,1,CASES
1920,21,KANKAKEE,IL,US,CITY,2,CASES
1920,22,KANKAKEE,IL,US,CITY,2,CASES
1920,23,KANKAKEE,IL,US,CITY,3,CASES
1920,24,KANKAKEE,IL,US,CITY,7,CASES
1920,25,KANKAKEE,IL,US,CITY,7,CASES
1920,26,KANKAKEE,IL,US,CITY,7,CASES
1920,27,KANKAKEE,IL,US,CITY,5,CASES
1920,28,KANKAKEE,IL,US,CITY,4,CASES
1920,30,KANKAKEE,IL,US,CITY,1,CASES
1920,31,KANKAKEE,IL,US,CITY,2,CASES
1920,32,KANKAKEE,IL,US,CITY,1,CASES
1920,33,KANKAKEE,IL,US,CITY,4,CASES
1920,35,KANKAKEE,IL,US,CITY,4,CASES
1920,37,KANKAKEE,IL,US,CITY,4,CASES
1920,38,KANKAKEE,IL,US,CITY,1,CASES
1920,39,KANKAKEE,IL,US,CITY,9,CASES
1920,41,KANKAKEE,IL,US,CITY,5,CASES
1920,47,KANKAKEE,IL,US,CITY,5,CASES
1920,48,KANKAKEE,IL,US,CITY,6,CASES
1920,49,KANKAKEE,IL,US,CITY,14,CASES
1920,50,KANKAKEE,IL,US,CITY,3,CASES
1920,52,KANKAKEE,IL,US,CITY,6,CASES
1921,12,KANKAKEE,IL,US,CITY,35,CASES
1921,14,KANKAKEE,IL,US,CITY,15,CASES
1923,43,KANKAKEE,IL,US,CITY,1,CASES
