year,week,loc,state,country,loc_type,number,event
1907,1,KANSAS CITY,KS,US,CITY,5,CASES
1907,2,KANSAS CITY,KS,US,CITY,3,CASES
1907,3,KANSAS CITY,KS,US,CITY,11,CASES
1907,4,KANSAS CITY,KS,US,CITY,11,CASES
1907,6,KANSAS CITY,KS,US,CITY,1,CASES
1907,7,KANSAS CITY,KS,US,CITY,3,CASES
1907,10,KANSAS CITY,KS,US,CITY,1,CASES
1907,11,KANSAS CITY,KS,US,CITY,1,CASES
1907,12,KANSAS CITY,KS,US,CITY,3,CASES
1907,15,KANSAS CITY,KS,US,CITY,1,CASES
1907,17,KANSAS CITY,KS,US,CITY,2,CASES
1907,18,KANSAS CITY,KS,US,CITY,1,CASES
1907,19,KANSAS CITY,KS,US,CITY,3,CASES
1907,20,KANSAS CITY,KS,US,CITY,2,CASES
1907,21,KANSAS CITY,KS,US,CITY,1,CASES
1907,22,KANSAS CITY,KS,US,CITY,1,CASES
1907,23,KANSAS CITY,KS,US,CITY,2,CASES
1907,27,KANSAS CITY,KS,US,CITY,2,CASES
1907,28,KANSAS CITY,KS,US,CITY,1,CASES
1907,29,KANSAS CITY,KS,US,CITY,1,CASES
1907,30,KANSAS CITY,KS,US,CITY,1,CASES
1907,33,KANSAS CITY,KS,US,CITY,2,CASES
1907,34,KANSAS CITY,KS,US,CITY,1,CASES
1907,36,KANSAS CITY,KS,US,CITY,1,CASES
1907,37,KANSAS CITY,KS,US,CITY,1,CASES
1907,39,KANSAS CITY,KS,US,CITY,8,CASES
1907,40,KANSAS CITY,KS,US,CITY,4,CASES
1907,41,KANSAS CITY,KS,US,CITY,8,CASES
1907,42,KANSAS CITY,KS,US,CITY,5,CASES
1907,43,KANSAS CITY,KS,US,CITY,5,CASES
1907,44,KANSAS CITY,KS,US,CITY,5,CASES
1907,45,KANSAS CITY,KS,US,CITY,11,CASES
1907,46,KANSAS CITY,KS,US,CITY,6,CASES
1907,47,KANSAS CITY,KS,US,CITY,3,CASES
1907,48,KANSAS CITY,KS,US,CITY,5,CASES
1907,49,KANSAS CITY,KS,US,CITY,2,CASES
1907,50,KANSAS CITY,KS,US,CITY,3,CASES
1907,51,KANSAS CITY,KS,US,CITY,6,CASES
1907,52,KANSAS CITY,KS,US,CITY,3,CASES
1908,1,KANSAS CITY,KS,US,CITY,3,CASES
1908,3,KANSAS CITY,KS,US,CITY,1,CASES
1908,4,KANSAS CITY,KS,US,CITY,4,CASES
1908,5,KANSAS CITY,KS,US,CITY,6,CASES
1908,6,KANSAS CITY,KS,US,CITY,3,CASES
1908,7,KANSAS CITY,KS,US,CITY,1,CASES
1908,9,KANSAS CITY,KS,US,CITY,1,CASES
1908,10,KANSAS CITY,KS,US,CITY,2,CASES
1908,11,KANSAS CITY,KS,US,CITY,4,CASES
1908,12,KANSAS CITY,KS,US,CITY,1,CASES
1908,14,KANSAS CITY,KS,US,CITY,2,CASES
1908,15,KANSAS CITY,KS,US,CITY,1,CASES
1908,16,KANSAS CITY,KS,US,CITY,3,CASES
1908,22,KANSAS CITY,KS,US,CITY,1,CASES
1908,23,KANSAS CITY,KS,US,CITY,1,CASES
1908,29,KANSAS CITY,KS,US,CITY,2,CASES
1908,30,KANSAS CITY,KS,US,CITY,2,CASES
1908,31,KANSAS CITY,KS,US,CITY,1,CASES
1908,32,KANSAS CITY,KS,US,CITY,1,CASES
1908,33,KANSAS CITY,KS,US,CITY,1,CASES
1908,34,KANSAS CITY,KS,US,CITY,1,CASES
1908,35,KANSAS CITY,KS,US,CITY,2,CASES
1908,36,KANSAS CITY,KS,US,CITY,2,CASES
1908,37,KANSAS CITY,KS,US,CITY,2,CASES
1908,39,KANSAS CITY,KS,US,CITY,6,CASES
1908,40,KANSAS CITY,KS,US,CITY,5,CASES
1908,41,KANSAS CITY,KS,US,CITY,9,CASES
1908,42,KANSAS CITY,KS,US,CITY,4,CASES
1908,43,KANSAS CITY,KS,US,CITY,3,CASES
1908,44,KANSAS CITY,KS,US,CITY,2,CASES
1908,45,KANSAS CITY,KS,US,CITY,10,CASES
1908,46,KANSAS CITY,KS,US,CITY,7,CASES
