year,week,loc,state,country,loc_type,number,event
1907,2,KANSAS CITY,KS,US,CITY,2,CASES
1907,3,KANSAS CITY,KS,US,CITY,1,CASES
1907,4,KANSAS CITY,KS,US,CITY,3,CASES
1907,5,KANSAS CITY,KS,US,CITY,2,CASES
1907,6,KANSAS CITY,KS,US,CITY,5,CASES
1907,8,KANSAS CITY,KS,US,CITY,12,CASES
1907,9,KANSAS CITY,KS,US,CITY,10,CASES
1907,10,KANSAS CITY,KS,US,CITY,30,CASES
1907,11,KANSAS CITY,KS,US,CITY,50,CASES
1907,12,KANSAS CITY,KS,US,CITY,45,CASES
1907,13,KANSAS CITY,KS,US,CITY,90,CASES
1907,14,KANSAS CITY,KS,US,CITY,56,CASES
1907,15,KANSAS CITY,KS,US,CITY,67,CASES
1907,16,KANSAS CITY,KS,US,CITY,98,CASES
1907,17,KANSAS CITY,KS,US,CITY,91,CASES
1907,18,KANSAS CITY,KS,US,CITY,87,CASES
1907,19,KANSAS CITY,KS,US,CITY,150,CASES
1907,20,KANSAS CITY,KS,US,CITY,49,CASES
1907,21,KANSAS CITY,KS,US,CITY,21,CASES
1907,22,KANSAS CITY,KS,US,CITY,18,CASES
1907,23,KANSAS CITY,KS,US,CITY,24,CASES
1907,24,KANSAS CITY,KS,US,CITY,27,CASES
1907,25,KANSAS CITY,KS,US,CITY,7,CASES
1907,26,KANSAS CITY,KS,US,CITY,3,CASES
1907,27,KANSAS CITY,KS,US,CITY,6,CASES
1907,28,KANSAS CITY,KS,US,CITY,2,CASES
1907,29,KANSAS CITY,KS,US,CITY,2,CASES
1907,33,KANSAS CITY,KS,US,CITY,1,CASES
1907,35,KANSAS CITY,KS,US,CITY,1,CASES
1907,36,KANSAS CITY,KS,US,CITY,1,CASES
1907,46,KANSAS CITY,KS,US,CITY,1,CASES
1907,49,KANSAS CITY,KS,US,CITY,1,CASES
1907,50,KANSAS CITY,KS,US,CITY,1,CASES
1907,51,KANSAS CITY,KS,US,CITY,1,CASES
1908,1,KANSAS CITY,KS,US,CITY,4,CASES
1908,2,KANSAS CITY,KS,US,CITY,3,CASES
1908,3,KANSAS CITY,KS,US,CITY,1,CASES
1908,4,KANSAS CITY,KS,US,CITY,7,CASES
1908,5,KANSAS CITY,KS,US,CITY,1,CASES
1908,6,KANSAS CITY,KS,US,CITY,2,CASES
1908,11,KANSAS CITY,KS,US,CITY,1,CASES
1908,14,KANSAS CITY,KS,US,CITY,2,CASES
1908,15,KANSAS CITY,KS,US,CITY,3,CASES
1908,17,KANSAS CITY,KS,US,CITY,5,CASES
1908,18,KANSAS CITY,KS,US,CITY,2,CASES
1908,19,KANSAS CITY,KS,US,CITY,6,CASES
1908,21,KANSAS CITY,KS,US,CITY,3,CASES
1908,22,KANSAS CITY,KS,US,CITY,3,CASES
1908,23,KANSAS CITY,KS,US,CITY,5,CASES
1908,26,KANSAS CITY,KS,US,CITY,2,CASES
1908,37,KANSAS CITY,KS,US,CITY,1,CASES
1908,42,KANSAS CITY,KS,US,CITY,1,CASES
1908,43,KANSAS CITY,KS,US,CITY,1,CASES
1908,50,KANSAS CITY,KS,US,CITY,1,CASES
1909,1,KANSAS CITY,KS,US,CITY,2,CASES
1909,2,KANSAS CITY,KS,US,CITY,1,CASES
1909,3,KANSAS CITY,KS,US,CITY,1,CASES
1909,4,KANSAS CITY,KS,US,CITY,1,CASES
1909,6,KANSAS CITY,KS,US,CITY,1,CASES
1909,7,KANSAS CITY,KS,US,CITY,2,CASES
1909,8,KANSAS CITY,KS,US,CITY,5,CASES
1909,9,KANSAS CITY,KS,US,CITY,1,CASES
1909,11,KANSAS CITY,KS,US,CITY,4,CASES
1909,12,KANSAS CITY,KS,US,CITY,21,CASES
1909,14,KANSAS CITY,KS,US,CITY,8,CASES
1909,15,KANSAS CITY,KS,US,CITY,17,CASES
1909,16,KANSAS CITY,KS,US,CITY,15,CASES
1909,17,KANSAS CITY,KS,US,CITY,23,CASES
1909,18,KANSAS CITY,KS,US,CITY,24,CASES
1909,19,KANSAS CITY,KS,US,CITY,27,CASES
1909,20,KANSAS CITY,KS,US,CITY,27,CASES
1909,21,KANSAS CITY,KS,US,CITY,20,CASES
1909,22,KANSAS CITY,KS,US,CITY,13,CASES
1909,23,KANSAS CITY,KS,US,CITY,17,CASES
1909,24,KANSAS CITY,KS,US,CITY,14,CASES
1909,25,KANSAS CITY,KS,US,CITY,21,CASES
1909,26,KANSAS CITY,KS,US,CITY,4,CASES
1909,27,KANSAS CITY,KS,US,CITY,3,CASES
1909,28,KANSAS CITY,KS,US,CITY,1,CASES
1909,30,KANSAS CITY,KS,US,CITY,1,CASES
1909,39,KANSAS CITY,KS,US,CITY,1,CASES
1909,48,KANSAS CITY,KS,US,CITY,4,CASES
1910,3,KANSAS CITY,KS,US,CITY,22,CASES
1910,2,KANSAS CITY,KS,US,CITY,11,CASES
1910,4,KANSAS CITY,KS,US,CITY,17,CASES
1910,5,KANSAS CITY,KS,US,CITY,27,CASES
1910,6,KANSAS CITY,KS,US,CITY,40,CASES
1910,7,KANSAS CITY,KS,US,CITY,57,CASES
1910,8,KANSAS CITY,KS,US,CITY,74,CASES
1910,9,KANSAS CITY,KS,US,CITY,55,CASES
1910,10,KANSAS CITY,KS,US,CITY,42,CASES
1910,11,KANSAS CITY,KS,US,CITY,59,CASES
1910,12,KANSAS CITY,KS,US,CITY,54,CASES
1910,13,KANSAS CITY,KS,US,CITY,12,CASES
1910,14,KANSAS CITY,KS,US,CITY,39,CASES
1910,15,KANSAS CITY,KS,US,CITY,16,CASES
1910,16,KANSAS CITY,KS,US,CITY,34,CASES
1910,17,KANSAS CITY,KS,US,CITY,21,CASES
1910,18,KANSAS CITY,KS,US,CITY,2,CASES
1910,19,KANSAS CITY,KS,US,CITY,7,CASES
1910,20,KANSAS CITY,KS,US,CITY,15,CASES
1910,21,KANSAS CITY,KS,US,CITY,11,CASES
1910,22,KANSAS CITY,KS,US,CITY,6,CASES
1910,24,KANSAS CITY,KS,US,CITY,4,CASES
1910,25,KANSAS CITY,KS,US,CITY,3,CASES
1910,30,KANSAS CITY,KS,US,CITY,1,CASES
1910,31,KANSAS CITY,KS,US,CITY,3,CASES
1910,32,KANSAS CITY,KS,US,CITY,1,CASES
1910,34,KANSAS CITY,KS,US,CITY,1,CASES
1910,36,KANSAS CITY,KS,US,CITY,1,CASES
1910,50,KANSAS CITY,KS,US,CITY,4,CASES
1911,2,KANSAS CITY,KS,US,CITY,1,CASES
1911,4,KANSAS CITY,KS,US,CITY,5,CASES
1911,5,KANSAS CITY,KS,US,CITY,3,CASES
1911,6,KANSAS CITY,KS,US,CITY,1,CASES
1911,7,KANSAS CITY,KS,US,CITY,2,CASES
1911,8,KANSAS CITY,KS,US,CITY,1,CASES
1911,11,KANSAS CITY,KS,US,CITY,3,CASES
1911,12,KANSAS CITY,KS,US,CITY,9,CASES
1911,13,KANSAS CITY,KS,US,CITY,6,CASES
1911,15,KANSAS CITY,KS,US,CITY,14,CASES
1911,16,KANSAS CITY,KS,US,CITY,15,CASES
1911,17,KANSAS CITY,KS,US,CITY,19,CASES
1911,18,KANSAS CITY,KS,US,CITY,12,CASES
1911,19,KANSAS CITY,KS,US,CITY,23,CASES
1911,20,KANSAS CITY,KS,US,CITY,12,CASES
1911,22,KANSAS CITY,KS,US,CITY,16,CASES
1911,23,KANSAS CITY,KS,US,CITY,8,CASES
1911,24,KANSAS CITY,KS,US,CITY,1,CASES
1911,25,KANSAS CITY,KS,US,CITY,2,CASES
1911,28,KANSAS CITY,KS,US,CITY,1,CASES
1911,33,KANSAS CITY,KS,US,CITY,1,CASES
1911,38,KANSAS CITY,KS,US,CITY,1,CASES
1911,45,KANSAS CITY,KS,US,CITY,1,CASES
1911,46,KANSAS CITY,KS,US,CITY,1,CASES
1911,48,KANSAS CITY,KS,US,CITY,1,CASES
1912,5,KANSAS CITY,KS,US,CITY,1,CASES
1912,7,KANSAS CITY,KS,US,CITY,1,CASES
1912,8,KANSAS CITY,KS,US,CITY,1,CASES
1912,12,KANSAS CITY,KS,US,CITY,2,CASES
1912,13,KANSAS CITY,KS,US,CITY,1,CASES
1912,14,KANSAS CITY,KS,US,CITY,3,CASES
1912,15,KANSAS CITY,KS,US,CITY,2,CASES
1912,16,KANSAS CITY,KS,US,CITY,5,CASES
1912,17,KANSAS CITY,KS,US,CITY,2,CASES
1912,18,KANSAS CITY,KS,US,CITY,2,CASES
1912,19,KANSAS CITY,KS,US,CITY,6,CASES
1912,20,KANSAS CITY,KS,US,CITY,4,CASES
1912,21,KANSAS CITY,KS,US,CITY,3,CASES
1912,22,KANSAS CITY,KS,US,CITY,2,CASES
1912,24,KANSAS CITY,KS,US,CITY,1,CASES
1912,27,KANSAS CITY,KS,US,CITY,2,CASES
1912,32,KANSAS CITY,KS,US,CITY,1,CASES
1912,38,KANSAS CITY,KS,US,CITY,2,CASES
1912,45,KANSAS CITY,KS,US,CITY,2,CASES
1912,47,KANSAS CITY,KS,US,CITY,1,CASES
1912,52,KANSAS CITY,KS,US,CITY,1,CASES
1913,2,KANSAS CITY,KS,US,CITY,6,CASES
1913,3,KANSAS CITY,KS,US,CITY,5,CASES
1913,4,KANSAS CITY,KS,US,CITY,30,CASES
1913,6,KANSAS CITY,KS,US,CITY,39,CASES
1913,7,KANSAS CITY,KS,US,CITY,67,CASES
1913,8,KANSAS CITY,KS,US,CITY,67,CASES
1913,10,KANSAS CITY,KS,US,CITY,137,CASES
1913,11,KANSAS CITY,KS,US,CITY,82,CASES
1913,13,KANSAS CITY,KS,US,CITY,59,CASES
1913,14,KANSAS CITY,KS,US,CITY,42,CASES
1913,15,KANSAS CITY,KS,US,CITY,34,CASES
1913,16,KANSAS CITY,KS,US,CITY,71,CASES
1913,17,KANSAS CITY,KS,US,CITY,37,CASES
1913,18,KANSAS CITY,KS,US,CITY,26,CASES
1913,19,KANSAS CITY,KS,US,CITY,25,CASES
1913,20,KANSAS CITY,KS,US,CITY,22,CASES
1913,21,KANSAS CITY,KS,US,CITY,9,CASES
1913,22,KANSAS CITY,KS,US,CITY,6,CASES
1913,23,KANSAS CITY,KS,US,CITY,23,CASES
1913,24,KANSAS CITY,KS,US,CITY,5,CASES
1913,26,KANSAS CITY,KS,US,CITY,2,CASES
1913,27,KANSAS CITY,KS,US,CITY,2,CASES
1913,28,KANSAS CITY,KS,US,CITY,1,CASES
1913,29,KANSAS CITY,KS,US,CITY,3,CASES
1913,30,KANSAS CITY,KS,US,CITY,1,CASES
1913,31,KANSAS CITY,KS,US,CITY,1,CASES
1913,33,KANSAS CITY,KS,US,CITY,1,CASES
1913,38,KANSAS CITY,KS,US,CITY,1,CASES
1913,40,KANSAS CITY,KS,US,CITY,1,CASES
1913,44,KANSAS CITY,KS,US,CITY,1,CASES
1913,53,KANSAS CITY,KS,US,CITY,1,CASES
1914,8,KANSAS CITY,KS,US,CITY,2,CASES
1914,9,KANSAS CITY,KS,US,CITY,2,CASES
1914,13,KANSAS CITY,KS,US,CITY,1,CASES
1914,19,KANSAS CITY,KS,US,CITY,2,CASES
1914,21,KANSAS CITY,KS,US,CITY,7,CASES
1914,23,KANSAS CITY,KS,US,CITY,13,CASES
1914,24,KANSAS CITY,KS,US,CITY,10,CASES
1914,25,KANSAS CITY,KS,US,CITY,7,CASES
1914,26,KANSAS CITY,KS,US,CITY,7,CASES
1914,27,KANSAS CITY,KS,US,CITY,1,CASES
1914,28,KANSAS CITY,KS,US,CITY,2,CASES
1914,29,KANSAS CITY,KS,US,CITY,1,CASES
1914,30,KANSAS CITY,KS,US,CITY,1,CASES
1914,31,KANSAS CITY,KS,US,CITY,1,CASES
1914,34,KANSAS CITY,KS,US,CITY,1,CASES
1914,42,KANSAS CITY,KS,US,CITY,1,CASES
1914,46,KANSAS CITY,KS,US,CITY,1,CASES
1914,47,KANSAS CITY,KS,US,CITY,1,CASES
1914,52,KANSAS CITY,KS,US,CITY,1,CASES
1915,3,KANSAS CITY,KS,US,CITY,1,CASES
1915,8,KANSAS CITY,KS,US,CITY,1,CASES
1915,10,KANSAS CITY,KS,US,CITY,2,CASES
1915,11,KANSAS CITY,KS,US,CITY,1,CASES
1915,12,KANSAS CITY,KS,US,CITY,3,CASES
1915,14,KANSAS CITY,KS,US,CITY,2,CASES
1915,15,KANSAS CITY,KS,US,CITY,25,CASES
1915,16,KANSAS CITY,KS,US,CITY,38,CASES
1915,17,KANSAS CITY,KS,US,CITY,26,CASES
1915,18,KANSAS CITY,KS,US,CITY,16,CASES
1915,20,KANSAS CITY,KS,US,CITY,12,CASES
1915,21,KANSAS CITY,KS,US,CITY,12,CASES
1915,22,KANSAS CITY,KS,US,CITY,7,CASES
1915,23,KANSAS CITY,KS,US,CITY,15,CASES
1915,24,KANSAS CITY,KS,US,CITY,9,CASES
1915,25,KANSAS CITY,KS,US,CITY,7,CASES
1915,26,KANSAS CITY,KS,US,CITY,6,CASES
1915,27,KANSAS CITY,KS,US,CITY,1,CASES
1915,28,KANSAS CITY,KS,US,CITY,6,CASES
1915,29,KANSAS CITY,KS,US,CITY,4,CASES
1915,30,KANSAS CITY,KS,US,CITY,2,CASES
1915,31,KANSAS CITY,KS,US,CITY,5,CASES
1915,35,KANSAS CITY,KS,US,CITY,3,CASES
1915,36,KANSAS CITY,KS,US,CITY,4,CASES
1915,37,KANSAS CITY,KS,US,CITY,1,CASES
1915,38,KANSAS CITY,KS,US,CITY,1,CASES
1915,50,KANSAS CITY,KS,US,CITY,1,CASES
1916,8,KANSAS CITY,KS,US,CITY,2,CASES
1916,9,KANSAS CITY,KS,US,CITY,5,CASES
1916,10,KANSAS CITY,KS,US,CITY,6,CASES
1916,11,KANSAS CITY,KS,US,CITY,12,CASES
1916,12,KANSAS CITY,KS,US,CITY,57,CASES
1916,13,KANSAS CITY,KS,US,CITY,63,CASES
1916,16,KANSAS CITY,KS,US,CITY,113,CASES
1916,18,KANSAS CITY,KS,US,CITY,116,CASES
1916,20,KANSAS CITY,KS,US,CITY,77,CASES
1916,21,KANSAS CITY,KS,US,CITY,34,CASES
1916,23,KANSAS CITY,KS,US,CITY,20,CASES
1916,24,KANSAS CITY,KS,US,CITY,10,CASES
1916,27,KANSAS CITY,KS,US,CITY,1,CASES
1916,35,KANSAS CITY,KS,US,CITY,1,CASES
1916,38,KANSAS CITY,KS,US,CITY,1,CASES
1916,48,KANSAS CITY,KS,US,CITY,1,CASES
1917,3,KANSAS CITY,KS,US,CITY,1,CASES
1917,5,KANSAS CITY,KS,US,CITY,2,CASES
1917,6,KANSAS CITY,KS,US,CITY,2,CASES
1917,8,KANSAS CITY,KS,US,CITY,5,CASES
1917,9,KANSAS CITY,KS,US,CITY,7,CASES
1917,10,KANSAS CITY,KS,US,CITY,10,CASES
1917,13,KANSAS CITY,KS,US,CITY,17,CASES
1917,16,KANSAS CITY,KS,US,CITY,25,CASES
1917,17,KANSAS CITY,KS,US,CITY,18,CASES
1917,18,KANSAS CITY,KS,US,CITY,6,CASES
1917,19,KANSAS CITY,KS,US,CITY,15,CASES
1917,20,KANSAS CITY,KS,US,CITY,8,CASES
1917,21,KANSAS CITY,KS,US,CITY,4,CASES
1917,22,KANSAS CITY,KS,US,CITY,8,CASES
1917,23,KANSAS CITY,KS,US,CITY,10,CASES
1917,24,KANSAS CITY,KS,US,CITY,6,CASES
1917,25,KANSAS CITY,KS,US,CITY,2,CASES
1917,26,KANSAS CITY,KS,US,CITY,2,CASES
1917,44,KANSAS CITY,KS,US,CITY,2,CASES
1917,48,KANSAS CITY,KS,US,CITY,3,CASES
1917,49,KANSAS CITY,KS,US,CITY,1,CASES
1917,50,KANSAS CITY,KS,US,CITY,4,CASES
1917,51,KANSAS CITY,KS,US,CITY,5,CASES
1918,1,KANSAS CITY,KS,US,CITY,4,CASES
1918,2,KANSAS CITY,KS,US,CITY,13,CASES
1918,3,KANSAS CITY,KS,US,CITY,20,CASES
1918,4,KANSAS CITY,KS,US,CITY,31,CASES
1918,5,KANSAS CITY,KS,US,CITY,19,CASES
1918,6,KANSAS CITY,KS,US,CITY,40,CASES
1918,7,KANSAS CITY,KS,US,CITY,31,CASES
1918,8,KANSAS CITY,KS,US,CITY,20,CASES
1918,9,KANSAS CITY,KS,US,CITY,28,CASES
1918,10,KANSAS CITY,KS,US,CITY,21,CASES
1918,11,KANSAS CITY,KS,US,CITY,12,CASES
1918,12,KANSAS CITY,KS,US,CITY,2,CASES
1918,13,KANSAS CITY,KS,US,CITY,16,CASES
1918,14,KANSAS CITY,KS,US,CITY,16,CASES
1918,15,KANSAS CITY,KS,US,CITY,15,CASES
1918,16,KANSAS CITY,KS,US,CITY,43,CASES
1918,17,KANSAS CITY,KS,US,CITY,34,CASES
1918,18,KANSAS CITY,KS,US,CITY,43,CASES
1918,19,KANSAS CITY,KS,US,CITY,30,CASES
1918,20,KANSAS CITY,KS,US,CITY,37,CASES
1918,21,KANSAS CITY,KS,US,CITY,27,CASES
1918,22,KANSAS CITY,KS,US,CITY,13,CASES
1918,23,KANSAS CITY,KS,US,CITY,14,CASES
1918,24,KANSAS CITY,KS,US,CITY,15,CASES
1918,25,KANSAS CITY,KS,US,CITY,5,CASES
1918,26,KANSAS CITY,KS,US,CITY,1,CASES
1918,27,KANSAS CITY,KS,US,CITY,3,CASES
1918,28,KANSAS CITY,KS,US,CITY,1,CASES
1918,29,KANSAS CITY,KS,US,CITY,1,CASES
1918,30,KANSAS CITY,KS,US,CITY,1,CASES
1918,32,KANSAS CITY,KS,US,CITY,1,CASES
1918,37,KANSAS CITY,KS,US,CITY,2,CASES
1918,44,KANSAS CITY,KS,US,CITY,1,CASES
1918,45,KANSAS CITY,KS,US,CITY,1,CASES
1918,50,KANSAS CITY,KS,US,CITY,1,CASES
1919,2,KANSAS CITY,KS,US,CITY,1,CASES
1919,11,KANSAS CITY,KS,US,CITY,2,CASES
1919,12,KANSAS CITY,KS,US,CITY,6,CASES
1919,13,KANSAS CITY,KS,US,CITY,10,CASES
