year,week,loc,state,country,loc_type,number,event
1913,43,KANSAS CITY,KS,US,CITY,2,CASES
1913,53,KANSAS CITY,KS,US,CITY,1,CASES
1916,35,KANSAS CITY,KS,US,CITY,1,CASES
1916,39,KANSAS CITY,KS,US,CITY,1,CASES
1917,18,KANSAS CITY,KS,US,CITY,1,CASES
1917,26,KANSAS CITY,KS,US,CITY,1,CASES
1917,28,KANSAS CITY,KS,US,CITY,1,CASES
1917,30,KANSAS CITY,KS,US,CITY,3,CASES
1917,33,KANSAS CITY,KS,US,CITY,1,CASES
1917,36,KANSAS CITY,KS,US,CITY,1,CASES
1917,39,KANSAS CITY,KS,US,CITY,1,CASES
1918,28,KANSAS CITY,KS,US,CITY,1,CASES
1918,34,KANSAS CITY,KS,US,CITY,1,CASES
1919,32,KANSAS CITY,KS,US,CITY,1,CASES
1919,33,KANSAS CITY,KS,US,CITY,1,CASES
1920,52,KANSAS CITY,KS,US,CITY,1,CASES
1921,37,KANSAS CITY,KS,US,CITY,2,CASES
1921,38,KANSAS CITY,KS,US,CITY,2,CASES
1921,40,KANSAS CITY,KS,US,CITY,2,CASES
1921,41,KANSAS CITY,KS,US,CITY,1,CASES
1923,41,KANSAS CITY,KS,US,CITY,1,CASES
1952,14,KANSAS CITY,KS,US,CITY,1,CASES
1952,31,KANSAS CITY,KS,US,CITY,1,CASES
1952,34,KANSAS CITY,KS,US,CITY,1,CASES
1952,39,KANSAS CITY,KS,US,CITY,2,CASES
1952,42,KANSAS CITY,KS,US,CITY,3,CASES
1953,4,KANSAS CITY,KS,US,CITY,2,CASES
1953,12,KANSAS CITY,KS,US,CITY,1,CASES
1953,20,KANSAS CITY,KS,US,CITY,1,CASES
1953,23,KANSAS CITY,KS,US,CITY,1,CASES
1953,24,KANSAS CITY,KS,US,CITY,1,CASES
1953,25,KANSAS CITY,KS,US,CITY,1,CASES
1953,26,KANSAS CITY,KS,US,CITY,3,CASES
1953,27,KANSAS CITY,KS,US,CITY,3,CASES
1953,29,KANSAS CITY,KS,US,CITY,3,CASES
1953,30,KANSAS CITY,KS,US,CITY,1,CASES
1953,32,KANSAS CITY,KS,US,CITY,1,CASES
1953,34,KANSAS CITY,KS,US,CITY,1,CASES
1953,35,KANSAS CITY,KS,US,CITY,1,CASES
1953,36,KANSAS CITY,KS,US,CITY,2,CASES
1953,38,KANSAS CITY,KS,US,CITY,1,CASES
1953,42,KANSAS CITY,KS,US,CITY,1,CASES
1953,49,KANSAS CITY,KS,US,CITY,2,CASES
