year,week,loc,state,country,loc_type,number,event
1921,7,LA GRANGE,GA,US,CITY,2,CASES
1921,11,LA GRANGE,GA,US,CITY,2,CASES
1921,12,LA GRANGE,GA,US,CITY,1,CASES
1921,15,LA GRANGE,GA,US,CITY,1,CASES
1921,18,LA GRANGE,GA,US,CITY,2,CASES
1921,20,LA GRANGE,GA,US,CITY,1,CASES
1921,21,LA GRANGE,GA,US,CITY,1,CASES
1921,44,LA GRANGE,GA,US,CITY,2,CASES
1921,45,LA GRANGE,GA,US,CITY,4,CASES
1921,46,LA GRANGE,GA,US,CITY,1,CASES
1921,47,LA GRANGE,GA,US,CITY,1,CASES
1923,31,LA GRANGE,GA,US,CITY,4,CASES
1923,37,LA GRANGE,GA,US,CITY,3,CASES
1923,38,LA GRANGE,GA,US,CITY,4,CASES
1923,39,LA GRANGE,GA,US,CITY,4,CASES
1923,42,LA GRANGE,GA,US,CITY,3,CASES
1923,43,LA GRANGE,GA,US,CITY,1,CASES
1923,44,LA GRANGE,GA,US,CITY,1,CASES
1923,45,LA GRANGE,GA,US,CITY,1,CASES
1923,46,LA GRANGE,GA,US,CITY,8,CASES
1923,47,LA GRANGE,GA,US,CITY,4,CASES
1923,48,LA GRANGE,GA,US,CITY,1,CASES
1923,49,LA GRANGE,GA,US,CITY,5,CASES
