year,week,loc,state,country,loc_type,number,event
1909,52,LACKAWANNA,NY,US,CITY,1,CASES
1910,1,LACKAWANNA,NY,US,CITY,2,CASES
1910,2,LACKAWANNA,NY,US,CITY,2,CASES
1910,3,LACKAWANNA,NY,US,CITY,2,CASES
1910,7,LACKAWANNA,NY,US,CITY,1,CASES
1910,9,LACKAWANNA,NY,US,CITY,5,CASES
1910,10,LACKAWANNA,NY,US,CITY,49,CASES
1910,11,LACKAWANNA,NY,US,CITY,1,CASES
1910,15,LACKAWANNA,NY,US,CITY,1,CASES
1910,22,LACKAWANNA,NY,US,CITY,5,CASES
1918,23,LACKAWANNA,NY,US,CITY,1,CASES
1918,26,LACKAWANNA,NY,US,CITY,1,CASES
1918,38,LACKAWANNA,NY,US,CITY,5,CASES
1918,39,LACKAWANNA,NY,US,CITY,3,CASES
1918,40,LACKAWANNA,NY,US,CITY,1,CASES
1918,42,LACKAWANNA,NY,US,CITY,2,CASES
1918,43,LACKAWANNA,NY,US,CITY,3,CASES
1918,44,LACKAWANNA,NY,US,CITY,1,CASES
1918,47,LACKAWANNA,NY,US,CITY,1,CASES
1918,50,LACKAWANNA,NY,US,CITY,1,CASES
1918,51,LACKAWANNA,NY,US,CITY,6,CASES
1918,52,LACKAWANNA,NY,US,CITY,1,CASES
1919,1,LACKAWANNA,NY,US,CITY,3,CASES
1919,2,LACKAWANNA,NY,US,CITY,1,CASES
1919,4,LACKAWANNA,NY,US,CITY,1,CASES
1919,6,LACKAWANNA,NY,US,CITY,7,CASES
1919,7,LACKAWANNA,NY,US,CITY,2,CASES
1919,8,LACKAWANNA,NY,US,CITY,2,CASES
1919,10,LACKAWANNA,NY,US,CITY,3,CASES
1919,11,LACKAWANNA,NY,US,CITY,1,CASES
1919,13,LACKAWANNA,NY,US,CITY,1,CASES
1919,14,LACKAWANNA,NY,US,CITY,2,CASES
1919,15,LACKAWANNA,NY,US,CITY,2,CASES
1919,16,LACKAWANNA,NY,US,CITY,1,CASES
1919,17,LACKAWANNA,NY,US,CITY,4,CASES
1919,18,LACKAWANNA,NY,US,CITY,1,CASES
1919,19,LACKAWANNA,NY,US,CITY,2,CASES
1919,20,LACKAWANNA,NY,US,CITY,2,CASES
1919,21,LACKAWANNA,NY,US,CITY,10,CASES
1919,24,LACKAWANNA,NY,US,CITY,1,CASES
1919,26,LACKAWANNA,NY,US,CITY,2,CASES
1919,27,LACKAWANNA,NY,US,CITY,2,CASES
1919,30,LACKAWANNA,NY,US,CITY,1,CASES
1919,31,LACKAWANNA,NY,US,CITY,5,CASES
1919,32,LACKAWANNA,NY,US,CITY,5,CASES
1919,33,LACKAWANNA,NY,US,CITY,1,CASES
1919,34,LACKAWANNA,NY,US,CITY,2,CASES
1919,35,LACKAWANNA,NY,US,CITY,1,CASES
1919,36,LACKAWANNA,NY,US,CITY,4,CASES
1919,37,LACKAWANNA,NY,US,CITY,3,CASES
1919,38,LACKAWANNA,NY,US,CITY,2,CASES
1919,40,LACKAWANNA,NY,US,CITY,4,CASES
1919,43,LACKAWANNA,NY,US,CITY,5,CASES
1919,44,LACKAWANNA,NY,US,CITY,5,CASES
1919,45,LACKAWANNA,NY,US,CITY,3,CASES
1919,46,LACKAWANNA,NY,US,CITY,4,CASES
1919,47,LACKAWANNA,NY,US,CITY,2,CASES
1919,49,LACKAWANNA,NY,US,CITY,3,CASES
1919,50,LACKAWANNA,NY,US,CITY,2,CASES
1919,51,LACKAWANNA,NY,US,CITY,9,CASES
1919,53,LACKAWANNA,NY,US,CITY,5,CASES
1920,1,LACKAWANNA,NY,US,CITY,4,CASES
1920,3,LACKAWANNA,NY,US,CITY,2,CASES
1920,3,LACKAWANNA,NY,US,CITY,1,CASES
1920,7,LACKAWANNA,NY,US,CITY,3,CASES
1920,10,LACKAWANNA,NY,US,CITY,1,CASES
1920,12,LACKAWANNA,NY,US,CITY,3,CASES
1920,13,LACKAWANNA,NY,US,CITY,2,CASES
1920,15,LACKAWANNA,NY,US,CITY,1,CASES
1920,17,LACKAWANNA,NY,US,CITY,1,CASES
1920,20,LACKAWANNA,NY,US,CITY,2,CASES
1920,21,LACKAWANNA,NY,US,CITY,1,CASES
1920,22,LACKAWANNA,NY,US,CITY,1,CASES
1920,28,LACKAWANNA,NY,US,CITY,1,CASES
1920,31,LACKAWANNA,NY,US,CITY,1,CASES
1920,32,LACKAWANNA,NY,US,CITY,1,CASES
1920,33,LACKAWANNA,NY,US,CITY,1,CASES
1920,34,LACKAWANNA,NY,US,CITY,2,CASES
1920,37,LACKAWANNA,NY,US,CITY,2,CASES
1920,38,LACKAWANNA,NY,US,CITY,3,CASES
1920,41,LACKAWANNA,NY,US,CITY,3,CASES
1920,42,LACKAWANNA,NY,US,CITY,1,CASES
1920,43,LACKAWANNA,NY,US,CITY,2,CASES
1920,45,LACKAWANNA,NY,US,CITY,6,CASES
1920,46,LACKAWANNA,NY,US,CITY,6,CASES
1920,47,LACKAWANNA,NY,US,CITY,1,CASES
1921,4,LACKAWANNA,NY,US,CITY,1,CASES
1921,6,LACKAWANNA,NY,US,CITY,2,CASES
1921,7,LACKAWANNA,NY,US,CITY,3,CASES
1921,9,LACKAWANNA,NY,US,CITY,1,CASES
1921,10,LACKAWANNA,NY,US,CITY,2,CASES
1921,11,LACKAWANNA,NY,US,CITY,1,CASES
1921,14,LACKAWANNA,NY,US,CITY,1,CASES
1921,16,LACKAWANNA,NY,US,CITY,1,CASES
1921,18,LACKAWANNA,NY,US,CITY,1,CASES
1921,20,LACKAWANNA,NY,US,CITY,1,CASES
1921,21,LACKAWANNA,NY,US,CITY,5,CASES
1921,24,LACKAWANNA,NY,US,CITY,1,CASES
1921,25,LACKAWANNA,NY,US,CITY,1,CASES
1921,30,LACKAWANNA,NY,US,CITY,1,CASES
1921,37,LACKAWANNA,NY,US,CITY,1,CASES
1921,40,LACKAWANNA,NY,US,CITY,2,CASES
1921,41,LACKAWANNA,NY,US,CITY,1,CASES
1921,44,LACKAWANNA,NY,US,CITY,3,CASES
1921,45,LACKAWANNA,NY,US,CITY,4,CASES
1921,49,LACKAWANNA,NY,US,CITY,1,CASES
1922,1,LACKAWANNA,NY,US,CITY,1,CASES
1922,4,LACKAWANNA,NY,US,CITY,3,CASES
1922,5,LACKAWANNA,NY,US,CITY,2,CASES
1922,6,LACKAWANNA,NY,US,CITY,1,CASES
1922,11,LACKAWANNA,NY,US,CITY,3,CASES
1922,14,LACKAWANNA,NY,US,CITY,5,CASES
1922,15,LACKAWANNA,NY,US,CITY,2,CASES
1922,16,LACKAWANNA,NY,US,CITY,1,CASES
1922,17,LACKAWANNA,NY,US,CITY,1,CASES
1922,18,LACKAWANNA,NY,US,CITY,1,CASES
1922,22,LACKAWANNA,NY,US,CITY,1,CASES
1922,26,LACKAWANNA,NY,US,CITY,1,CASES
1922,33,LACKAWANNA,NY,US,CITY,1,CASES
1922,38,LACKAWANNA,NY,US,CITY,1,CASES
1922,40,LACKAWANNA,NY,US,CITY,1,CASES
1922,41,LACKAWANNA,NY,US,CITY,3,CASES
1922,42,LACKAWANNA,NY,US,CITY,2,CASES
1922,43,LACKAWANNA,NY,US,CITY,1,CASES
1922,46,LACKAWANNA,NY,US,CITY,1,CASES
1922,48,LACKAWANNA,NY,US,CITY,2,CASES
1922,49,LACKAWANNA,NY,US,CITY,4,CASES
1922,50,LACKAWANNA,NY,US,CITY,2,CASES
1923,3,LACKAWANNA,NY,US,CITY,1,CASES
1923,4,LACKAWANNA,NY,US,CITY,1,CASES
1923,5,LACKAWANNA,NY,US,CITY,2,CASES
1923,6,LACKAWANNA,NY,US,CITY,5,CASES
1923,10,LACKAWANNA,NY,US,CITY,4,CASES
1923,14,LACKAWANNA,NY,US,CITY,3,CASES
1923,16,LACKAWANNA,NY,US,CITY,1,CASES
1923,18,LACKAWANNA,NY,US,CITY,1,CASES
1923,21,LACKAWANNA,NY,US,CITY,1,CASES
1923,22,LACKAWANNA,NY,US,CITY,3,CASES
1923,23,LACKAWANNA,NY,US,CITY,1,CASES
1923,24,LACKAWANNA,NY,US,CITY,3,CASES
1923,27,LACKAWANNA,NY,US,CITY,1,CASES
1923,30,LACKAWANNA,NY,US,CITY,2,CASES
1923,34,LACKAWANNA,NY,US,CITY,1,CASES
1923,35,LACKAWANNA,NY,US,CITY,1,CASES
1923,37,LACKAWANNA,NY,US,CITY,1,CASES
1923,38,LACKAWANNA,NY,US,CITY,1,CASES
1923,39,LACKAWANNA,NY,US,CITY,3,CASES
1923,40,LACKAWANNA,NY,US,CITY,3,CASES
1923,41,LACKAWANNA,NY,US,CITY,2,CASES
1923,42,LACKAWANNA,NY,US,CITY,6,CASES
1923,43,LACKAWANNA,NY,US,CITY,2,CASES
1923,44,LACKAWANNA,NY,US,CITY,5,CASES
1923,46,LACKAWANNA,NY,US,CITY,5,CASES
1923,47,LACKAWANNA,NY,US,CITY,6,CASES
1923,48,LACKAWANNA,NY,US,CITY,1,CASES
1923,50,LACKAWANNA,NY,US,CITY,1,CASES
1923,51,LACKAWANNA,NY,US,CITY,5,CASES
