year,week,loc,state,country,loc_type,number,event
1920,2,LAWRENCE,KS,US,CITY,9,CASES
1920,3,LAWRENCE,KS,US,CITY,27,CASES
1920,4,LAWRENCE,KS,US,CITY,39,CASES
1920,6,LAWRENCE,KS,US,CITY,143,CASES
1920,7,LAWRENCE,KS,US,CITY,85,CASES
1922,4,LAWRENCE,KS,US,CITY,3,CASES
1922,5,LAWRENCE,KS,US,CITY,4,CASES
1922,6,LAWRENCE,KS,US,CITY,6,CASES
1922,7,LAWRENCE,KS,US,CITY,12,CASES
1922,8,LAWRENCE,KS,US,CITY,11,CASES
1922,9,LAWRENCE,KS,US,CITY,6,CASES
1922,10,LAWRENCE,KS,US,CITY,7,CASES
1923,5,LAWRENCE,KS,US,CITY,4,CASES
1923,6,LAWRENCE,KS,US,CITY,4,CASES
1923,13,LAWRENCE,KS,US,CITY,2,CASES
1923,14,LAWRENCE,KS,US,CITY,2,CASES
1923,16,LAWRENCE,KS,US,CITY,2,CASES
1923,17,LAWRENCE,KS,US,CITY,2,CASES
1936,10,LAWRENCE,KS,US,CITY,35,CASES
1936,11,LAWRENCE,KS,US,CITY,86,CASES
1936,12,LAWRENCE,KS,US,CITY,27,CASES
1936,13,LAWRENCE,KS,US,CITY,9,CASES
1936,14,LAWRENCE,KS,US,CITY,7,CASES
1936,15,LAWRENCE,KS,US,CITY,6,CASES
1936,17,LAWRENCE,KS,US,CITY,2,CASES
1936,18,LAWRENCE,KS,US,CITY,1,CASES
1936,28,LAWRENCE,KS,US,CITY,2,CASES
1936,45,LAWRENCE,KS,US,CITY,2,CASES
1936,50,LAWRENCE,KS,US,CITY,2,CASES
1936,53,LAWRENCE,KS,US,CITY,1,CASES
1937,1,LAWRENCE,KS,US,CITY,10,CASES
1937,2,LAWRENCE,KS,US,CITY,30,CASES
1937,3,LAWRENCE,KS,US,CITY,66,CASES
1937,4,LAWRENCE,KS,US,CITY,15,CASES
1937,5,LAWRENCE,KS,US,CITY,6,CASES
1937,6,LAWRENCE,KS,US,CITY,10,CASES
1937,9,LAWRENCE,KS,US,CITY,2,CASES
1937,28,LAWRENCE,KS,US,CITY,0,CASES
1937,40,LAWRENCE,KS,US,CITY,2,CASES
1937,43,LAWRENCE,KS,US,CITY,1,CASES
1937,44,LAWRENCE,KS,US,CITY,1,CASES
1937,50,LAWRENCE,KS,US,CITY,1,CASES
1938,1,LAWRENCE,KS,US,CITY,1,CASES
1938,2,LAWRENCE,KS,US,CITY,3,CASES
1938,8,LAWRENCE,KS,US,CITY,2,CASES
1938,10,LAWRENCE,KS,US,CITY,3,CASES
1938,13,LAWRENCE,KS,US,CITY,1,CASES
1938,14,LAWRENCE,KS,US,CITY,2,CASES
1938,15,LAWRENCE,KS,US,CITY,1,CASES
1938,19,LAWRENCE,KS,US,CITY,1,CASES
1938,39,LAWRENCE,KS,US,CITY,3,CASES
1938,40,LAWRENCE,KS,US,CITY,2,CASES
1938,42,LAWRENCE,KS,US,CITY,1,CASES
1938,43,LAWRENCE,KS,US,CITY,1,CASES
1938,44,LAWRENCE,KS,US,CITY,2,CASES
1938,45,LAWRENCE,KS,US,CITY,2,CASES
1938,46,LAWRENCE,KS,US,CITY,1,CASES
1938,47,LAWRENCE,KS,US,CITY,2,CASES
1938,49,LAWRENCE,KS,US,CITY,9,CASES
1938,52,LAWRENCE,KS,US,CITY,1,CASES
1939,1,LAWRENCE,KS,US,CITY,2,CASES
1939,2,LAWRENCE,KS,US,CITY,1,CASES
1939,3,LAWRENCE,KS,US,CITY,2,CASES
1939,6,LAWRENCE,KS,US,CITY,1,CASES
1939,7,LAWRENCE,KS,US,CITY,3,CASES
1939,8,LAWRENCE,KS,US,CITY,41,CASES
1939,9,LAWRENCE,KS,US,CITY,43,CASES
1939,10,LAWRENCE,KS,US,CITY,54,CASES
1939,11,LAWRENCE,KS,US,CITY,19,CASES
1939,12,LAWRENCE,KS,US,CITY,4,CASES
1939,13,LAWRENCE,KS,US,CITY,2,CASES
1939,14,LAWRENCE,KS,US,CITY,3,CASES
1939,15,LAWRENCE,KS,US,CITY,3,CASES
1939,16,LAWRENCE,KS,US,CITY,4,CASES
1939,17,LAWRENCE,KS,US,CITY,1,CASES
1939,18,LAWRENCE,KS,US,CITY,2,CASES
1939,42,LAWRENCE,KS,US,CITY,1,CASES
1939,42,LAWRENCE,KS,US,CITY,3,CASES
1939,50,LAWRENCE,KS,US,CITY,7,CASES
1939,51,LAWRENCE,KS,US,CITY,2,CASES
1940,1,LAWRENCE,KS,US,CITY,3,CASES
1940,2,LAWRENCE,KS,US,CITY,10,CASES
1940,4,LAWRENCE,KS,US,CITY,23,CASES
1940,5,LAWRENCE,KS,US,CITY,12,CASES
1940,7,LAWRENCE,KS,US,CITY,5,CASES
1940,8,LAWRENCE,KS,US,CITY,10,CASES
1940,9,LAWRENCE,KS,US,CITY,12,CASES
1940,11,LAWRENCE,KS,US,CITY,7,CASES
1940,14,LAWRENCE,KS,US,CITY,4,CASES
1940,15,LAWRENCE,KS,US,CITY,5,CASES
1940,26,LAWRENCE,KS,US,CITY,1,CASES
1940,48,LAWRENCE,KS,US,CITY,1,CASES
1940,50,LAWRENCE,KS,US,CITY,1,CASES
1940,51,LAWRENCE,KS,US,CITY,6,CASES
1941,2,LAWRENCE,KS,US,CITY,47,CASES
1941,3,LAWRENCE,KS,US,CITY,57,CASES
1941,4,LAWRENCE,KS,US,CITY,27,CASES
1941,5,LAWRENCE,KS,US,CITY,27,CASES
1941,5,LAWRENCE,KS,US,CITY,27,CASES
1941,7,LAWRENCE,KS,US,CITY,3,CASES
1941,9,LAWRENCE,KS,US,CITY,2,CASES
1941,11,LAWRENCE,KS,US,CITY,2,CASES
1941,14,LAWRENCE,KS,US,CITY,5,CASES
1941,22,LAWRENCE,KS,US,CITY,1,CASES
1941,39,LAWRENCE,KS,US,CITY,4,CASES
1941,40,LAWRENCE,KS,US,CITY,2,CASES
1941,42,LAWRENCE,KS,US,CITY,1,CASES
1941,44,LAWRENCE,KS,US,CITY,1,CASES
1941,47,LAWRENCE,KS,US,CITY,1,CASES
1941,49,LAWRENCE,KS,US,CITY,3,CASES
1941,51,LAWRENCE,KS,US,CITY,4,CASES
