year,week,loc,state,country,loc_type,number,event
1913,36,LAWRENCE,MA,US,CITY,5,CASES
1913,37,LAWRENCE,MA,US,CITY,6,CASES
1913,38,LAWRENCE,MA,US,CITY,2,CASES
1913,39,LAWRENCE,MA,US,CITY,4,CASES
1913,40,LAWRENCE,MA,US,CITY,1,CASES
1913,41,LAWRENCE,MA,US,CITY,3,CASES
1915,41,LAWRENCE,MA,US,CITY,1,CASES
1915,48,LAWRENCE,MA,US,CITY,1,CASES
1916,27,LAWRENCE,MA,US,CITY,1,CASES
1916,28,LAWRENCE,MA,US,CITY,1,CASES
1916,31,LAWRENCE,MA,US,CITY,2,CASES
1916,32,LAWRENCE,MA,US,CITY,1,CASES
1916,44,LAWRENCE,MA,US,CITY,1,CASES
1917,1,LAWRENCE,MA,US,CITY,1,CASES
1917,30,LAWRENCE,MA,US,CITY,2,CASES
1919,15,LAWRENCE,MA,US,CITY,1,CASES
1920,4,LAWRENCE,MA,US,CITY,1,CASES
1920,11,LAWRENCE,MA,US,CITY,1,CASES
1920,30,LAWRENCE,MA,US,CITY,1,CASES
1920,41,LAWRENCE,MA,US,CITY,2,CASES
1920,42,LAWRENCE,MA,US,CITY,2,CASES
1921,30,LAWRENCE,MA,US,CITY,1,CASES
1921,31,LAWRENCE,MA,US,CITY,1,CASES
1921,32,LAWRENCE,MA,US,CITY,2,CASES
1921,35,LAWRENCE,MA,US,CITY,5,CASES
1921,37,LAWRENCE,MA,US,CITY,1,CASES
1921,38,LAWRENCE,MA,US,CITY,3,CASES
1921,48,LAWRENCE,MA,US,CITY,1,CASES
1922,6,LAWRENCE,MA,US,CITY,1,CASES
1922,33,LAWRENCE,MA,US,CITY,1,CASES
1922,47,LAWRENCE,MA,US,CITY,1,CASES
1923,46,LAWRENCE,MA,US,CITY,1,CASES
1923,48,LAWRENCE,MA,US,CITY,2,CASES
1923,50,LAWRENCE,MA,US,CITY,2,CASES
