year,week,loc,state,country,loc_type,number,event
1916,33,LEXINGTON,KY,US,CITY,2,CASES
1919,44,LEXINGTON,KY,US,CITY,1,CASES
1924,19,LEXINGTON,KY,US,CITY,0,CASES
1924,26,LEXINGTON,KY,US,CITY,0,CASES
1924,44,LEXINGTON,KY,US,CITY,0,CASES
1924,45,LEXINGTON,KY,US,CITY,0,CASES
1925,43,LEXINGTON,KY,US,CITY,2,CASES
1927,32,LEXINGTON,KY,US,CITY,2,CASES
1927,33,LEXINGTON,KY,US,CITY,0,CASES
1927,34,LEXINGTON,KY,US,CITY,1,CASES
1927,37,LEXINGTON,KY,US,CITY,1,CASES
1927,38,LEXINGTON,KY,US,CITY,1,CASES
1927,42,LEXINGTON,KY,US,CITY,1,CASES
1927,44,LEXINGTON,KY,US,CITY,2,CASES
1931,49,LEXINGTON,KY,US,CITY,0,CASES
1931,51,LEXINGTON,KY,US,CITY,0,CASES
1932,4,LEXINGTON,KY,US,CITY,1,CASES
1932,22,LEXINGTON,KY,US,CITY,0,CASES
1932,33,LEXINGTON,KY,US,CITY,0,CASES
1932,34,LEXINGTON,KY,US,CITY,0,CASES
1932,52,LEXINGTON,KY,US,CITY,0,CASES
1933,45,LEXINGTON,KY,US,CITY,1,CASES
1933,51,LEXINGTON,KY,US,CITY,0,CASES
1934,8,LEXINGTON,KY,US,CITY,0,CASES
1934,35,LEXINGTON,KY,US,CITY,1,CASES
1934,42,LEXINGTON,KY,US,CITY,1,CASES
1934,47,LEXINGTON,KY,US,CITY,2,CASES
1934,48,LEXINGTON,KY,US,CITY,1,CASES
1935,5,LEXINGTON,KY,US,CITY,0,CASES
1935,6,LEXINGTON,KY,US,CITY,0,CASES
1935,8,LEXINGTON,KY,US,CITY,0,CASES
1935,9,LEXINGTON,KY,US,CITY,0,CASES
1935,17,LEXINGTON,KY,US,CITY,0,CASES
1935,38,LEXINGTON,KY,US,CITY,1,CASES
1936,3,LEXINGTON,KY,US,CITY,0,CASES
1936,8,LEXINGTON,KY,US,CITY,0,CASES
1936,14,LEXINGTON,KY,US,CITY,0,CASES
1936,15,LEXINGTON,KY,US,CITY,0,CASES
1936,16,LEXINGTON,KY,US,CITY,0,CASES
1936,18,LEXINGTON,KY,US,CITY,0,CASES
1936,44,LEXINGTON,KY,US,CITY,0,CASES
1936,47,LEXINGTON,KY,US,CITY,0,CASES
1936,48,LEXINGTON,KY,US,CITY,0,CASES
1937,9,LEXINGTON,KY,US,CITY,0,CASES
1937,10,LEXINGTON,KY,US,CITY,0,CASES
1937,27,LEXINGTON,KY,US,CITY,1,CASES
1937,28,LEXINGTON,KY,US,CITY,0,CASES
1937,33,LEXINGTON,KY,US,CITY,1,CASES
1937,35,LEXINGTON,KY,US,CITY,0,CASES
1938,16,LEXINGTON,KY,US,CITY,0,CASES
1938,26,LEXINGTON,KY,US,CITY,0,CASES
1938,33,LEXINGTON,KY,US,CITY,1,CASES
1938,51,LEXINGTON,KY,US,CITY,0,CASES
1939,10,LEXINGTON,KY,US,CITY,1,CASES
1939,21,LEXINGTON,KY,US,CITY,0,CASES
1939,30,LEXINGTON,KY,US,CITY,1,CASES
1939,32,LEXINGTON,KY,US,CITY,1,CASES
1939,44,LEXINGTON,KY,US,CITY,0,CASES
1940,7,LEXINGTON,KY,US,CITY,0,CASES
1940,8,LEXINGTON,KY,US,CITY,0,CASES
1940,29,LEXINGTON,KY,US,CITY,0,CASES
1940,40,LEXINGTON,KY,US,CITY,2,CASES
1940,43,LEXINGTON,KY,US,CITY,1,CASES
1941,37,LEXINGTON,KY,US,CITY,1,CASES
