year,week,loc,state,country,loc_type,number,event
1911,14,LIMA,OH,US,CITY,3,CASES
1911,15,LIMA,OH,US,CITY,1,CASES
1911,17,LIMA,OH,US,CITY,10,CASES
1911,18,LIMA,OH,US,CITY,3,CASES
1911,19,LIMA,OH,US,CITY,1,CASES
1911,21,LIMA,OH,US,CITY,1,CASES
1911,24,LIMA,OH,US,CITY,2,CASES
1911,25,LIMA,OH,US,CITY,3,CASES
1911,30,LIMA,OH,US,CITY,1,CASES
1911,33,LIMA,OH,US,CITY,1,CASES
1911,50,LIMA,OH,US,CITY,1,CASES
1911,52,LIMA,OH,US,CITY,2,CASES
1912,7,LIMA,OH,US,CITY,3,CASES
1912,8,LIMA,OH,US,CITY,1,CASES
1912,14,LIMA,OH,US,CITY,1,CASES
1912,15,LIMA,OH,US,CITY,1,CASES
1912,16,LIMA,OH,US,CITY,2,CASES
1912,17,LIMA,OH,US,CITY,5,CASES
1912,18,LIMA,OH,US,CITY,3,CASES
1912,19,LIMA,OH,US,CITY,3,CASES
1912,21,LIMA,OH,US,CITY,1,CASES
1912,22,LIMA,OH,US,CITY,3,CASES
1912,25,LIMA,OH,US,CITY,2,CASES
1912,26,LIMA,OH,US,CITY,1,CASES
1912,27,LIMA,OH,US,CITY,3,CASES
1912,28,LIMA,OH,US,CITY,2,CASES
1912,33,LIMA,OH,US,CITY,2,CASES
1912,45,LIMA,OH,US,CITY,1,CASES
1913,2,LIMA,OH,US,CITY,5,CASES
1913,8,LIMA,OH,US,CITY,6,CASES
1913,9,LIMA,OH,US,CITY,5,CASES
1913,13,LIMA,OH,US,CITY,2,CASES
1913,14,LIMA,OH,US,CITY,20,CASES
1913,15,LIMA,OH,US,CITY,11,CASES
1913,19,LIMA,OH,US,CITY,21,CASES
1913,29,LIMA,OH,US,CITY,1,CASES
1913,30,LIMA,OH,US,CITY,1,CASES
1915,21,LIMA,OH,US,CITY,1,CASES
1915,22,LIMA,OH,US,CITY,1,CASES
1915,23,LIMA,OH,US,CITY,1,CASES
1915,24,LIMA,OH,US,CITY,5,CASES
1916,2,LIMA,OH,US,CITY,1,CASES
1916,10,LIMA,OH,US,CITY,49,CASES
1916,11,LIMA,OH,US,CITY,95,CASES
1916,14,LIMA,OH,US,CITY,119,CASES
1916,15,LIMA,OH,US,CITY,66,CASES
1916,22,LIMA,OH,US,CITY,4,CASES
1916,48,LIMA,OH,US,CITY,2,CASES
1917,3,LIMA,OH,US,CITY,1,CASES
1917,4,LIMA,OH,US,CITY,1,CASES
1917,8,LIMA,OH,US,CITY,1,CASES
1917,10,LIMA,OH,US,CITY,1,CASES
1917,13,LIMA,OH,US,CITY,4,CASES
1917,14,LIMA,OH,US,CITY,1,CASES
1917,18,LIMA,OH,US,CITY,1,CASES
1917,19,LIMA,OH,US,CITY,1,CASES
1917,20,LIMA,OH,US,CITY,7,CASES
1917,21,LIMA,OH,US,CITY,9,CASES
1917,22,LIMA,OH,US,CITY,7,CASES
1917,23,LIMA,OH,US,CITY,10,CASES
1917,24,LIMA,OH,US,CITY,4,CASES
1917,25,LIMA,OH,US,CITY,2,CASES
1917,27,LIMA,OH,US,CITY,2,CASES
1917,28,LIMA,OH,US,CITY,1,CASES
1917,29,LIMA,OH,US,CITY,1,CASES
1917,31,LIMA,OH,US,CITY,1,CASES
1917,47,LIMA,OH,US,CITY,1,CASES
1917,48,LIMA,OH,US,CITY,1,CASES
1918,4,LIMA,OH,US,CITY,4,CASES
1918,5,LIMA,OH,US,CITY,2,CASES
1918,6,LIMA,OH,US,CITY,2,CASES
1918,7,LIMA,OH,US,CITY,10,CASES
1918,9,LIMA,OH,US,CITY,5,CASES
1918,10,LIMA,OH,US,CITY,17,CASES
1918,12,LIMA,OH,US,CITY,10,CASES
1918,13,LIMA,OH,US,CITY,1,CASES
1918,14,LIMA,OH,US,CITY,2,CASES
1918,20,LIMA,OH,US,CITY,1,CASES
1918,22,LIMA,OH,US,CITY,3,CASES
1918,25,LIMA,OH,US,CITY,7,CASES
1918,30,LIMA,OH,US,CITY,2,CASES
1918,34,LIMA,OH,US,CITY,1,CASES
1918,36,LIMA,OH,US,CITY,1,CASES
1918,39,LIMA,OH,US,CITY,3,CASES
1918,41,LIMA,OH,US,CITY,1,CASES
1918,42,LIMA,OH,US,CITY,1,CASES
1918,43,LIMA,OH,US,CITY,1,CASES
1918,44,LIMA,OH,US,CITY,1,CASES
1918,45,LIMA,OH,US,CITY,1,CASES
1919,9,LIMA,OH,US,CITY,1,CASES
1919,14,LIMA,OH,US,CITY,1,CASES
1919,16,LIMA,OH,US,CITY,2,CASES
1919,17,LIMA,OH,US,CITY,18,CASES
1919,18,LIMA,OH,US,CITY,9,CASES
1919,19,LIMA,OH,US,CITY,28,CASES
1919,21,LIMA,OH,US,CITY,32,CASES
1919,22,LIMA,OH,US,CITY,41,CASES
1919,23,LIMA,OH,US,CITY,46,CASES
1919,24,LIMA,OH,US,CITY,34,CASES
