year,week,loc,state,country,loc_type,number,event
1918,16,LINCOLN,RI,US,CITY,6,CASES
1918,17,LINCOLN,RI,US,CITY,3,CASES
1918,18,LINCOLN,RI,US,CITY,2,CASES
1918,19,LINCOLN,RI,US,CITY,5,CASES
1918,21,LINCOLN,RI,US,CITY,1,CASES
1918,23,LINCOLN,RI,US,CITY,1,CASES
1918,24,LINCOLN,RI,US,CITY,3,CASES
1918,27,LINCOLN,RI,US,CITY,1,CASES
1918,52,LINCOLN,RI,US,CITY,3,CASES
1919,2,LINCOLN,RI,US,CITY,2,CASES
1920,3,LINCOLN,RI,US,CITY,1,CASES
1920,12,LINCOLN,RI,US,CITY,1,CASES
1920,13,LINCOLN,RI,US,CITY,1,CASES
1920,18,LINCOLN,RI,US,CITY,2,CASES
1920,19,LINCOLN,RI,US,CITY,2,CASES
1920,22,LINCOLN,RI,US,CITY,4,CASES
1920,24,LINCOLN,RI,US,CITY,2,CASES
1920,26,LINCOLN,RI,US,CITY,1,CASES
