year,week,loc,state,country,loc_type,number,event
1909,14,LITTLE FALLS,NY,US,CITY,2,CASES
1909,15,LITTLE FALLS,NY,US,CITY,1,CASES
1909,19,LITTLE FALLS,NY,US,CITY,2,CASES
1909,20,LITTLE FALLS,NY,US,CITY,2,CASES
1909,22,LITTLE FALLS,NY,US,CITY,1,CASES
1909,24,LITTLE FALLS,NY,US,CITY,1,CASES
1909,26,LITTLE FALLS,NY,US,CITY,2,CASES
1909,27,LITTLE FALLS,NY,US,CITY,2,CASES
1909,29,LITTLE FALLS,NY,US,CITY,1,CASES
1909,31,LITTLE FALLS,NY,US,CITY,1,CASES
1909,32,LITTLE FALLS,NY,US,CITY,1,CASES
1909,38,LITTLE FALLS,NY,US,CITY,25,CASES
1909,39,LITTLE FALLS,NY,US,CITY,7,CASES
1909,41,LITTLE FALLS,NY,US,CITY,12,CASES
1909,42,LITTLE FALLS,NY,US,CITY,9,CASES
1909,43,LITTLE FALLS,NY,US,CITY,1,CASES
1918,48,LITTLE FALLS,NY,US,CITY,1,CASES
1922,52,LITTLE FALLS,NY,US,CITY,1,CASES
1923,4,LITTLE FALLS,NY,US,CITY,3,CASES
1923,6,LITTLE FALLS,NY,US,CITY,1,CASES
1923,25,LITTLE FALLS,NY,US,CITY,2,CASES
1923,37,LITTLE FALLS,NY,US,CITY,1,CASES
1923,38,LITTLE FALLS,NY,US,CITY,2,CASES
1923,39,LITTLE FALLS,NY,US,CITY,1,CASES
