year,week,loc,state,country,loc_type,number,event
1917,52,LITTLE ROCK,AR,US,CITY,2,CASES
1918,1,LITTLE ROCK,AR,US,CITY,1,CASES
1918,2,LITTLE ROCK,AR,US,CITY,4,CASES
1918,3,LITTLE ROCK,AR,US,CITY,5,CASES
1918,5,LITTLE ROCK,AR,US,CITY,4,CASES
1918,6,LITTLE ROCK,AR,US,CITY,4,CASES
1918,8,LITTLE ROCK,AR,US,CITY,12,CASES
1918,9,LITTLE ROCK,AR,US,CITY,17,CASES
1918,10,LITTLE ROCK,AR,US,CITY,11,CASES
1918,11,LITTLE ROCK,AR,US,CITY,11,CASES
1918,12,LITTLE ROCK,AR,US,CITY,17,CASES
1918,13,LITTLE ROCK,AR,US,CITY,9,CASES
1918,14,LITTLE ROCK,AR,US,CITY,15,CASES
1918,15,LITTLE ROCK,AR,US,CITY,13,CASES
1918,16,LITTLE ROCK,AR,US,CITY,4,CASES
1918,17,LITTLE ROCK,AR,US,CITY,2,CASES
1918,18,LITTLE ROCK,AR,US,CITY,8,CASES
1918,19,LITTLE ROCK,AR,US,CITY,6,CASES
1918,20,LITTLE ROCK,AR,US,CITY,3,CASES
1918,21,LITTLE ROCK,AR,US,CITY,4,CASES
1918,23,LITTLE ROCK,AR,US,CITY,2,CASES
1918,25,LITTLE ROCK,AR,US,CITY,1,CASES
1918,27,LITTLE ROCK,AR,US,CITY,2,CASES
1918,31,LITTLE ROCK,AR,US,CITY,2,CASES
1918,33,LITTLE ROCK,AR,US,CITY,2,CASES
1918,36,LITTLE ROCK,AR,US,CITY,2,CASES
1918,37,LITTLE ROCK,AR,US,CITY,1,CASES
1918,39,LITTLE ROCK,AR,US,CITY,2,CASES
1918,40,LITTLE ROCK,AR,US,CITY,6,CASES
1918,41,LITTLE ROCK,AR,US,CITY,87,CASES
1918,42,LITTLE ROCK,AR,US,CITY,104,CASES
1918,43,LITTLE ROCK,AR,US,CITY,80,CASES
1918,44,LITTLE ROCK,AR,US,CITY,27,CASES
1918,45,LITTLE ROCK,AR,US,CITY,12,CASES
1918,46,LITTLE ROCK,AR,US,CITY,6,CASES
1918,47,LITTLE ROCK,AR,US,CITY,5,CASES
1918,48,LITTLE ROCK,AR,US,CITY,15,CASES
1918,49,LITTLE ROCK,AR,US,CITY,19,CASES
1918,50,LITTLE ROCK,AR,US,CITY,21,CASES
1918,51,LITTLE ROCK,AR,US,CITY,16,CASES
1918,52,LITTLE ROCK,AR,US,CITY,11,CASES
1919,2,LITTLE ROCK,AR,US,CITY,26,CASES
1919,3,LITTLE ROCK,AR,US,CITY,24,CASES
1919,4,LITTLE ROCK,AR,US,CITY,33,CASES
1919,51,LITTLE ROCK,AR,US,CITY,4,CASES
1920,1,LITTLE ROCK,AR,US,CITY,2,CASES
1920,2,LITTLE ROCK,AR,US,CITY,6,CASES
1920,3,LITTLE ROCK,AR,US,CITY,6,CASES
1920,4,LITTLE ROCK,AR,US,CITY,10,CASES
1920,6,LITTLE ROCK,AR,US,CITY,41,CASES
1920,8,LITTLE ROCK,AR,US,CITY,15,CASES
1920,9,LITTLE ROCK,AR,US,CITY,6,CASES
1920,10,LITTLE ROCK,AR,US,CITY,7,CASES
1920,11,LITTLE ROCK,AR,US,CITY,2,CASES
1920,12,LITTLE ROCK,AR,US,CITY,4,CASES
1920,13,LITTLE ROCK,AR,US,CITY,2,CASES
1920,14,LITTLE ROCK,AR,US,CITY,5,CASES
1920,17,LITTLE ROCK,AR,US,CITY,2,CASES
1920,19,LITTLE ROCK,AR,US,CITY,1,CASES
1920,27,LITTLE ROCK,AR,US,CITY,1,CASES
1920,36,LITTLE ROCK,AR,US,CITY,1,CASES
1920,41,LITTLE ROCK,AR,US,CITY,1,CASES
1920,44,LITTLE ROCK,AR,US,CITY,2,CASES
1920,46,LITTLE ROCK,AR,US,CITY,2,CASES
1920,48,LITTLE ROCK,AR,US,CITY,2,CASES
1920,49,LITTLE ROCK,AR,US,CITY,1,CASES
1920,50,LITTLE ROCK,AR,US,CITY,2,CASES
1920,52,LITTLE ROCK,AR,US,CITY,1,CASES
1921,1,LITTLE ROCK,AR,US,CITY,2,CASES
1921,2,LITTLE ROCK,AR,US,CITY,2,CASES
1921,3,LITTLE ROCK,AR,US,CITY,1,CASES
1921,4,LITTLE ROCK,AR,US,CITY,2,CASES
1921,5,LITTLE ROCK,AR,US,CITY,2,CASES
1921,6,LITTLE ROCK,AR,US,CITY,5,CASES
1921,7,LITTLE ROCK,AR,US,CITY,1,CASES
1921,8,LITTLE ROCK,AR,US,CITY,3,CASES
1921,10,LITTLE ROCK,AR,US,CITY,2,CASES
1921,13,LITTLE ROCK,AR,US,CITY,1,CASES
1921,15,LITTLE ROCK,AR,US,CITY,2,CASES
1921,16,LITTLE ROCK,AR,US,CITY,1,CASES
1921,17,LITTLE ROCK,AR,US,CITY,1,CASES
1921,19,LITTLE ROCK,AR,US,CITY,1,CASES
1921,21,LITTLE ROCK,AR,US,CITY,1,CASES
1921,42,LITTLE ROCK,AR,US,CITY,1,CASES
1921,43,LITTLE ROCK,AR,US,CITY,1,CASES
1921,44,LITTLE ROCK,AR,US,CITY,1,CASES
1921,46,LITTLE ROCK,AR,US,CITY,1,CASES
1921,47,LITTLE ROCK,AR,US,CITY,1,CASES
1921,49,LITTLE ROCK,AR,US,CITY,3,CASES
1921,52,LITTLE ROCK,AR,US,CITY,2,CASES
