year,week,loc,state,country,loc_type,number,event
1909,49,LOCKPORT,NY,US,CITY,1,CASES
1910,5,LOCKPORT,NY,US,CITY,7,CASES
1919,5,LOCKPORT,NY,US,CITY,3,CASES
1919,8,LOCKPORT,NY,US,CITY,6,CASES
1919,9,LOCKPORT,NY,US,CITY,21,CASES
1919,12,LOCKPORT,NY,US,CITY,8,CASES
1919,13,LOCKPORT,NY,US,CITY,50,CASES
1919,14,LOCKPORT,NY,US,CITY,34,CASES
1919,15,LOCKPORT,NY,US,CITY,51,CASES
1919,16,LOCKPORT,NY,US,CITY,56,CASES
1919,17,LOCKPORT,NY,US,CITY,66,CASES
1919,19,LOCKPORT,NY,US,CITY,35,CASES
1919,20,LOCKPORT,NY,US,CITY,47,CASES
1919,21,LOCKPORT,NY,US,CITY,27,CASES
1919,23,LOCKPORT,NY,US,CITY,22,CASES
1919,26,LOCKPORT,NY,US,CITY,3,CASES
1920,1,LOCKPORT,NY,US,CITY,1,CASES
1920,3,LOCKPORT,NY,US,CITY,1,CASES
1920,3,LOCKPORT,NY,US,CITY,1,CASES
1920,9,LOCKPORT,NY,US,CITY,1,CASES
1920,13,LOCKPORT,NY,US,CITY,1,CASES
1920,14,LOCKPORT,NY,US,CITY,2,CASES
1920,16,LOCKPORT,NY,US,CITY,1,CASES
1920,19,LOCKPORT,NY,US,CITY,2,CASES
1920,22,LOCKPORT,NY,US,CITY,3,CASES
1920,23,LOCKPORT,NY,US,CITY,1,CASES
1920,24,LOCKPORT,NY,US,CITY,2,CASES
1920,25,LOCKPORT,NY,US,CITY,1,CASES
1920,26,LOCKPORT,NY,US,CITY,3,CASES
1920,27,LOCKPORT,NY,US,CITY,1,CASES
1920,29,LOCKPORT,NY,US,CITY,2,CASES
1920,33,LOCKPORT,NY,US,CITY,1,CASES
1920,43,LOCKPORT,NY,US,CITY,1,CASES
1921,2,LOCKPORT,NY,US,CITY,1,CASES
1921,3,LOCKPORT,NY,US,CITY,4,CASES
1921,4,LOCKPORT,NY,US,CITY,3,CASES
1921,5,LOCKPORT,NY,US,CITY,5,CASES
1921,6,LOCKPORT,NY,US,CITY,22,CASES
1921,7,LOCKPORT,NY,US,CITY,18,CASES
1921,8,LOCKPORT,NY,US,CITY,15,CASES
1921,9,LOCKPORT,NY,US,CITY,21,CASES
1921,10,LOCKPORT,NY,US,CITY,24,CASES
1921,11,LOCKPORT,NY,US,CITY,18,CASES
1921,12,LOCKPORT,NY,US,CITY,15,CASES
1921,13,LOCKPORT,NY,US,CITY,11,CASES
1921,14,LOCKPORT,NY,US,CITY,23,CASES
1921,15,LOCKPORT,NY,US,CITY,8,CASES
1921,16,LOCKPORT,NY,US,CITY,26,CASES
1921,17,LOCKPORT,NY,US,CITY,19,CASES
1921,18,LOCKPORT,NY,US,CITY,22,CASES
1921,19,LOCKPORT,NY,US,CITY,18,CASES
1921,20,LOCKPORT,NY,US,CITY,12,CASES
1921,21,LOCKPORT,NY,US,CITY,3,CASES
1921,22,LOCKPORT,NY,US,CITY,5,CASES
1921,23,LOCKPORT,NY,US,CITY,2,CASES
1921,38,LOCKPORT,NY,US,CITY,2,CASES
1921,44,LOCKPORT,NY,US,CITY,1,CASES
1921,52,LOCKPORT,NY,US,CITY,1,CASES
1922,6,LOCKPORT,NY,US,CITY,1,CASES
1922,7,LOCKPORT,NY,US,CITY,1,CASES
1922,11,LOCKPORT,NY,US,CITY,1,CASES
1922,20,LOCKPORT,NY,US,CITY,1,CASES
1922,23,LOCKPORT,NY,US,CITY,1,CASES
1922,24,LOCKPORT,NY,US,CITY,4,CASES
1922,25,LOCKPORT,NY,US,CITY,1,CASES
1922,26,LOCKPORT,NY,US,CITY,1,CASES
1922,44,LOCKPORT,NY,US,CITY,1,CASES
1922,49,LOCKPORT,NY,US,CITY,1,CASES
1923,1,LOCKPORT,NY,US,CITY,1,CASES
1923,6,LOCKPORT,NY,US,CITY,1,CASES
1923,8,LOCKPORT,NY,US,CITY,1,CASES
1923,11,LOCKPORT,NY,US,CITY,1,CASES
1923,17,LOCKPORT,NY,US,CITY,1,CASES
1923,20,LOCKPORT,NY,US,CITY,1,CASES
1923,22,LOCKPORT,NY,US,CITY,2,CASES
1923,23,LOCKPORT,NY,US,CITY,7,CASES
1923,24,LOCKPORT,NY,US,CITY,1,CASES
1923,27,LOCKPORT,NY,US,CITY,1,CASES
1923,28,LOCKPORT,NY,US,CITY,3,CASES
1923,29,LOCKPORT,NY,US,CITY,1,CASES
1923,35,LOCKPORT,NY,US,CITY,1,CASES
1923,36,LOCKPORT,NY,US,CITY,1,CASES
1923,37,LOCKPORT,NY,US,CITY,7,CASES
1923,38,LOCKPORT,NY,US,CITY,2,CASES
1923,39,LOCKPORT,NY,US,CITY,16,CASES
1923,40,LOCKPORT,NY,US,CITY,8,CASES
1923,41,LOCKPORT,NY,US,CITY,33,CASES
1923,42,LOCKPORT,NY,US,CITY,17,CASES
1923,43,LOCKPORT,NY,US,CITY,56,CASES
1923,44,LOCKPORT,NY,US,CITY,33,CASES
1923,46,LOCKPORT,NY,US,CITY,39,CASES
1923,47,LOCKPORT,NY,US,CITY,33,CASES
1923,48,LOCKPORT,NY,US,CITY,34,CASES
1923,49,LOCKPORT,NY,US,CITY,21,CASES
1923,50,LOCKPORT,NY,US,CITY,13,CASES
1923,51,LOCKPORT,NY,US,CITY,5,CASES
1923,52,LOCKPORT,NY,US,CITY,5,CASES
