year,week,loc,state,country,loc_type,number,event
1915,10,LORAIN,OH,US,CITY,1,CASES
1915,11,LORAIN,OH,US,CITY,1,CASES
1915,15,LORAIN,OH,US,CITY,1,CASES
1915,37,LORAIN,OH,US,CITY,1,CASES
1915,49,LORAIN,OH,US,CITY,2,CASES
1916,2,LORAIN,OH,US,CITY,1,CASES
1916,4,LORAIN,OH,US,CITY,3,CASES
1916,6,LORAIN,OH,US,CITY,1,CASES
1916,8,LORAIN,OH,US,CITY,1,CASES
1916,9,LORAIN,OH,US,CITY,4,CASES
1916,11,LORAIN,OH,US,CITY,2,CASES
1916,12,LORAIN,OH,US,CITY,5,CASES
1916,13,LORAIN,OH,US,CITY,1,CASES
1916,14,LORAIN,OH,US,CITY,1,CASES
1916,15,LORAIN,OH,US,CITY,4,CASES
1916,19,LORAIN,OH,US,CITY,2,CASES
1916,26,LORAIN,OH,US,CITY,1,CASES
1916,47,LORAIN,OH,US,CITY,2,CASES
1916,49,LORAIN,OH,US,CITY,2,CASES
1917,5,LORAIN,OH,US,CITY,1,CASES
1917,7,LORAIN,OH,US,CITY,4,CASES
1917,11,LORAIN,OH,US,CITY,3,CASES
1917,13,LORAIN,OH,US,CITY,1,CASES
1917,18,LORAIN,OH,US,CITY,7,CASES
1917,22,LORAIN,OH,US,CITY,2,CASES
1917,43,LORAIN,OH,US,CITY,1,CASES
1917,48,LORAIN,OH,US,CITY,1,CASES
1917,50,LORAIN,OH,US,CITY,1,CASES
1917,51,LORAIN,OH,US,CITY,1,CASES
1917,52,LORAIN,OH,US,CITY,2,CASES
1918,6,LORAIN,OH,US,CITY,3,CASES
1918,8,LORAIN,OH,US,CITY,1,CASES
1918,10,LORAIN,OH,US,CITY,1,CASES
1918,12,LORAIN,OH,US,CITY,1,CASES
1918,14,LORAIN,OH,US,CITY,1,CASES
1918,15,LORAIN,OH,US,CITY,2,CASES
1918,17,LORAIN,OH,US,CITY,1,CASES
1918,18,LORAIN,OH,US,CITY,2,CASES
1918,24,LORAIN,OH,US,CITY,1,CASES
1918,28,LORAIN,OH,US,CITY,1,CASES
1918,40,LORAIN,OH,US,CITY,1,CASES
1918,41,LORAIN,OH,US,CITY,1,CASES
1918,42,LORAIN,OH,US,CITY,4,CASES
1919,3,LORAIN,OH,US,CITY,2,CASES
1919,4,LORAIN,OH,US,CITY,3,CASES
1919,34,LORAIN,OH,US,CITY,1,CASES
1919,51,LORAIN,OH,US,CITY,1,CASES
1920,2,LORAIN,OH,US,CITY,1,CASES
1920,4,LORAIN,OH,US,CITY,2,CASES
1920,5,LORAIN,OH,US,CITY,3,CASES
1920,6,LORAIN,OH,US,CITY,10,CASES
1920,7,LORAIN,OH,US,CITY,1,CASES
1920,12,LORAIN,OH,US,CITY,3,CASES
1920,14,LORAIN,OH,US,CITY,2,CASES
1920,15,LORAIN,OH,US,CITY,2,CASES
1920,16,LORAIN,OH,US,CITY,2,CASES
1920,18,LORAIN,OH,US,CITY,1,CASES
1920,20,LORAIN,OH,US,CITY,3,CASES
1920,21,LORAIN,OH,US,CITY,1,CASES
1920,22,LORAIN,OH,US,CITY,1,CASES
1920,23,LORAIN,OH,US,CITY,1,CASES
1920,31,LORAIN,OH,US,CITY,2,CASES
1920,36,LORAIN,OH,US,CITY,1,CASES
1920,37,LORAIN,OH,US,CITY,1,CASES
1920,39,LORAIN,OH,US,CITY,1,CASES
1920,47,LORAIN,OH,US,CITY,1,CASES
1920,50,LORAIN,OH,US,CITY,3,CASES
1920,51,LORAIN,OH,US,CITY,2,CASES
1921,1,LORAIN,OH,US,CITY,2,CASES
1921,4,LORAIN,OH,US,CITY,1,CASES
1921,5,LORAIN,OH,US,CITY,1,CASES
1921,6,LORAIN,OH,US,CITY,4,CASES
1921,7,LORAIN,OH,US,CITY,1,CASES
1921,9,LORAIN,OH,US,CITY,1,CASES
1921,22,LORAIN,OH,US,CITY,1,CASES
1921,24,LORAIN,OH,US,CITY,1,CASES
1921,30,LORAIN,OH,US,CITY,1,CASES
1921,49,LORAIN,OH,US,CITY,2,CASES
1922,1,LORAIN,OH,US,CITY,2,CASES
1922,4,LORAIN,OH,US,CITY,1,CASES
1922,6,LORAIN,OH,US,CITY,1,CASES
1922,7,LORAIN,OH,US,CITY,1,CASES
1922,9,LORAIN,OH,US,CITY,2,CASES
1922,13,LORAIN,OH,US,CITY,6,CASES
1922,14,LORAIN,OH,US,CITY,1,CASES
1922,15,LORAIN,OH,US,CITY,1,CASES
1922,18,LORAIN,OH,US,CITY,1,CASES
1922,21,LORAIN,OH,US,CITY,1,CASES
1922,48,LORAIN,OH,US,CITY,1,CASES
1922,52,LORAIN,OH,US,CITY,4,CASES
1923,2,LORAIN,OH,US,CITY,1,CASES
1923,3,LORAIN,OH,US,CITY,1,CASES
1923,7,LORAIN,OH,US,CITY,2,CASES
1923,9,LORAIN,OH,US,CITY,7,CASES
1923,11,LORAIN,OH,US,CITY,1,CASES
1923,13,LORAIN,OH,US,CITY,2,CASES
1923,14,LORAIN,OH,US,CITY,1,CASES
1923,16,LORAIN,OH,US,CITY,3,CASES
1923,20,LORAIN,OH,US,CITY,1,CASES
1923,23,LORAIN,OH,US,CITY,1,CASES
1923,24,LORAIN,OH,US,CITY,1,CASES
1923,25,LORAIN,OH,US,CITY,1,CASES
1923,34,LORAIN,OH,US,CITY,2,CASES
1923,39,LORAIN,OH,US,CITY,1,CASES
1923,41,LORAIN,OH,US,CITY,1,CASES
1923,44,LORAIN,OH,US,CITY,2,CASES
1923,45,LORAIN,OH,US,CITY,1,CASES
1923,48,LORAIN,OH,US,CITY,1,CASES
1923,49,LORAIN,OH,US,CITY,1,CASES
