year,week,loc,state,country,loc_type,number,event
1912,13,LOS ANGELES,CA,US,CITY,2,CASES
1912,14,LOS ANGELES,CA,US,CITY,1,CASES
1912,15,LOS ANGELES,CA,US,CITY,2,CASES
1912,16,LOS ANGELES,CA,US,CITY,1,CASES
1912,17,LOS ANGELES,CA,US,CITY,4,CASES
1912,19,LOS ANGELES,CA,US,CITY,2,CASES
1912,20,LOS ANGELES,CA,US,CITY,2,CASES
1912,21,LOS ANGELES,CA,US,CITY,2,CASES
1912,22,LOS ANGELES,CA,US,CITY,1,CASES
1912,24,LOS ANGELES,CA,US,CITY,1,CASES
1912,25,LOS ANGELES,CA,US,CITY,1,CASES
1912,27,LOS ANGELES,CA,US,CITY,1,CASES
1912,29,LOS ANGELES,CA,US,CITY,2,CASES
1912,30,LOS ANGELES,CA,US,CITY,2,CASES
1912,31,LOS ANGELES,CA,US,CITY,1,CASES
1912,34,LOS ANGELES,CA,US,CITY,1,CASES
1912,35,LOS ANGELES,CA,US,CITY,1,CASES
1912,38,LOS ANGELES,CA,US,CITY,1,CASES
1912,39,LOS ANGELES,CA,US,CITY,2,CASES
1912,40,LOS ANGELES,CA,US,CITY,1,CASES
1912,41,LOS ANGELES,CA,US,CITY,1,CASES
1912,42,LOS ANGELES,CA,US,CITY,2,CASES
1912,43,LOS ANGELES,CA,US,CITY,1,CASES
1912,44,LOS ANGELES,CA,US,CITY,1,CASES
1912,47,LOS ANGELES,CA,US,CITY,2,CASES
1912,48,LOS ANGELES,CA,US,CITY,2,CASES
1912,49,LOS ANGELES,CA,US,CITY,1,CASES
1912,50,LOS ANGELES,CA,US,CITY,2,CASES
1913,1,LOS ANGELES,CA,US,CITY,4,CASES
1913,2,LOS ANGELES,CA,US,CITY,5,CASES
1913,4,LOS ANGELES,CA,US,CITY,5,CASES
1913,5,LOS ANGELES,CA,US,CITY,3,CASES
1913,6,LOS ANGELES,CA,US,CITY,3,CASES
1913,7,LOS ANGELES,CA,US,CITY,4,CASES
1913,8,LOS ANGELES,CA,US,CITY,2,CASES
1913,9,LOS ANGELES,CA,US,CITY,4,CASES
1913,10,LOS ANGELES,CA,US,CITY,5,CASES
1913,11,LOS ANGELES,CA,US,CITY,1,CASES
1913,12,LOS ANGELES,CA,US,CITY,2,CASES
1913,14,LOS ANGELES,CA,US,CITY,4,CASES
1913,15,LOS ANGELES,CA,US,CITY,1,CASES
1913,16,LOS ANGELES,CA,US,CITY,1,CASES
1913,17,LOS ANGELES,CA,US,CITY,5,CASES
1913,18,LOS ANGELES,CA,US,CITY,1,CASES
1913,19,LOS ANGELES,CA,US,CITY,2,CASES
1913,20,LOS ANGELES,CA,US,CITY,1,CASES
1913,23,LOS ANGELES,CA,US,CITY,3,CASES
1913,24,LOS ANGELES,CA,US,CITY,1,CASES
1913,25,LOS ANGELES,CA,US,CITY,2,CASES
1913,27,LOS ANGELES,CA,US,CITY,1,CASES
1913,32,LOS ANGELES,CA,US,CITY,6,CASES
1913,33,LOS ANGELES,CA,US,CITY,6,CASES
1913,34,LOS ANGELES,CA,US,CITY,4,CASES
1913,35,LOS ANGELES,CA,US,CITY,9,CASES
1913,36,LOS ANGELES,CA,US,CITY,15,CASES
1913,37,LOS ANGELES,CA,US,CITY,9,CASES
1913,38,LOS ANGELES,CA,US,CITY,9,CASES
1913,39,LOS ANGELES,CA,US,CITY,12,CASES
1913,40,LOS ANGELES,CA,US,CITY,9,CASES
1913,41,LOS ANGELES,CA,US,CITY,4,CASES
1913,42,LOS ANGELES,CA,US,CITY,8,CASES
1913,43,LOS ANGELES,CA,US,CITY,14,CASES
1913,44,LOS ANGELES,CA,US,CITY,6,CASES
1913,45,LOS ANGELES,CA,US,CITY,12,CASES
1913,46,LOS ANGELES,CA,US,CITY,12,CASES
1913,47,LOS ANGELES,CA,US,CITY,16,CASES
1913,49,LOS ANGELES,CA,US,CITY,12,CASES
1913,50,LOS ANGELES,CA,US,CITY,15,CASES
1913,51,LOS ANGELES,CA,US,CITY,18,CASES
1913,52,LOS ANGELES,CA,US,CITY,12,CASES
1913,53,LOS ANGELES,CA,US,CITY,13,CASES
1914,1,LOS ANGELES,CA,US,CITY,27,CASES
1914,2,LOS ANGELES,CA,US,CITY,21,CASES
1914,3,LOS ANGELES,CA,US,CITY,26,CASES
1914,4,LOS ANGELES,CA,US,CITY,19,CASES
1914,5,LOS ANGELES,CA,US,CITY,13,CASES
1914,6,LOS ANGELES,CA,US,CITY,17,CASES
1914,7,LOS ANGELES,CA,US,CITY,10,CASES
1914,8,LOS ANGELES,CA,US,CITY,17,CASES
1914,9,LOS ANGELES,CA,US,CITY,16,CASES
1914,10,LOS ANGELES,CA,US,CITY,12,CASES
1914,11,LOS ANGELES,CA,US,CITY,17,CASES
1914,12,LOS ANGELES,CA,US,CITY,9,CASES
1914,13,LOS ANGELES,CA,US,CITY,12,CASES
1914,14,LOS ANGELES,CA,US,CITY,4,CASES
1914,15,LOS ANGELES,CA,US,CITY,10,CASES
1914,16,LOS ANGELES,CA,US,CITY,12,CASES
1914,17,LOS ANGELES,CA,US,CITY,11,CASES
1914,18,LOS ANGELES,CA,US,CITY,12,CASES
1914,19,LOS ANGELES,CA,US,CITY,8,CASES
1914,20,LOS ANGELES,CA,US,CITY,12,CASES
1914,21,LOS ANGELES,CA,US,CITY,7,CASES
1914,22,LOS ANGELES,CA,US,CITY,14,CASES
1914,23,LOS ANGELES,CA,US,CITY,10,CASES
1914,24,LOS ANGELES,CA,US,CITY,12,CASES
1914,25,LOS ANGELES,CA,US,CITY,13,CASES
1914,26,LOS ANGELES,CA,US,CITY,12,CASES
1914,27,LOS ANGELES,CA,US,CITY,10,CASES
1914,28,LOS ANGELES,CA,US,CITY,6,CASES
1914,29,LOS ANGELES,CA,US,CITY,14,CASES
1914,30,LOS ANGELES,CA,US,CITY,9,CASES
1914,31,LOS ANGELES,CA,US,CITY,17,CASES
1914,32,LOS ANGELES,CA,US,CITY,10,CASES
1914,33,LOS ANGELES,CA,US,CITY,13,CASES
1914,34,LOS ANGELES,CA,US,CITY,4,CASES
1914,35,LOS ANGELES,CA,US,CITY,11,CASES
1914,36,LOS ANGELES,CA,US,CITY,6,CASES
1914,37,LOS ANGELES,CA,US,CITY,4,CASES
1914,38,LOS ANGELES,CA,US,CITY,5,CASES
1914,39,LOS ANGELES,CA,US,CITY,3,CASES
1914,40,LOS ANGELES,CA,US,CITY,10,CASES
1914,41,LOS ANGELES,CA,US,CITY,9,CASES
1914,42,LOS ANGELES,CA,US,CITY,8,CASES
1914,43,LOS ANGELES,CA,US,CITY,7,CASES
1914,44,LOS ANGELES,CA,US,CITY,10,CASES
1914,45,LOS ANGELES,CA,US,CITY,13,CASES
1914,47,LOS ANGELES,CA,US,CITY,10,CASES
1914,48,LOS ANGELES,CA,US,CITY,16,CASES
1914,49,LOS ANGELES,CA,US,CITY,15,CASES
1914,50,LOS ANGELES,CA,US,CITY,17,CASES
1914,51,LOS ANGELES,CA,US,CITY,13,CASES
1914,52,LOS ANGELES,CA,US,CITY,16,CASES
1915,1,LOS ANGELES,CA,US,CITY,22,CASES
1915,2,LOS ANGELES,CA,US,CITY,15,CASES
1915,3,LOS ANGELES,CA,US,CITY,10,CASES
1915,4,LOS ANGELES,CA,US,CITY,13,CASES
1915,5,LOS ANGELES,CA,US,CITY,16,CASES
1915,6,LOS ANGELES,CA,US,CITY,14,CASES
1915,7,LOS ANGELES,CA,US,CITY,15,CASES
1915,8,LOS ANGELES,CA,US,CITY,14,CASES
1915,9,LOS ANGELES,CA,US,CITY,14,CASES
1915,10,LOS ANGELES,CA,US,CITY,10,CASES
1915,11,LOS ANGELES,CA,US,CITY,17,CASES
1915,12,LOS ANGELES,CA,US,CITY,15,CASES
1915,14,LOS ANGELES,CA,US,CITY,4,CASES
1915,15,LOS ANGELES,CA,US,CITY,4,CASES
1915,16,LOS ANGELES,CA,US,CITY,5,CASES
1915,17,LOS ANGELES,CA,US,CITY,5,CASES
1915,18,LOS ANGELES,CA,US,CITY,4,CASES
1915,19,LOS ANGELES,CA,US,CITY,5,CASES
1915,20,LOS ANGELES,CA,US,CITY,5,CASES
1915,21,LOS ANGELES,CA,US,CITY,6,CASES
1915,22,LOS ANGELES,CA,US,CITY,4,CASES
1915,23,LOS ANGELES,CA,US,CITY,8,CASES
1915,24,LOS ANGELES,CA,US,CITY,8,CASES
1915,25,LOS ANGELES,CA,US,CITY,4,CASES
1915,26,LOS ANGELES,CA,US,CITY,4,CASES
1915,27,LOS ANGELES,CA,US,CITY,4,CASES
1915,28,LOS ANGELES,CA,US,CITY,4,CASES
1915,30,LOS ANGELES,CA,US,CITY,6,CASES
1915,29,LOS ANGELES,CA,US,CITY,7,CASES
1915,31,LOS ANGELES,CA,US,CITY,3,CASES
1915,34,LOS ANGELES,CA,US,CITY,5,CASES
1915,33,LOS ANGELES,CA,US,CITY,3,CASES
1915,35,LOS ANGELES,CA,US,CITY,6,CASES
1915,36,LOS ANGELES,CA,US,CITY,4,CASES
1915,37,LOS ANGELES,CA,US,CITY,5,CASES
1915,38,LOS ANGELES,CA,US,CITY,4,CASES
1915,39,LOS ANGELES,CA,US,CITY,4,CASES
