year,week,loc,state,country,loc_type,number,event
1911,14,LOUISVILLE,KY,US,CITY,23,CASES
1911,15,LOUISVILLE,KY,US,CITY,13,CASES
1914,26,LOUISVILLE,KY,US,CITY,4,CASES
1914,32,LOUISVILLE,KY,US,CITY,3,CASES
1917,51,LOUISVILLE,KY,US,CITY,8,CASES
1917,52,LOUISVILLE,KY,US,CITY,19,CASES
1918,2,LOUISVILLE,KY,US,CITY,24,CASES
1918,3,LOUISVILLE,KY,US,CITY,34,CASES
1918,4,LOUISVILLE,KY,US,CITY,36,CASES
1918,5,LOUISVILLE,KY,US,CITY,60,CASES
1918,6,LOUISVILLE,KY,US,CITY,34,CASES
1918,7,LOUISVILLE,KY,US,CITY,46,CASES
1918,8,LOUISVILLE,KY,US,CITY,33,CASES
1918,9,LOUISVILLE,KY,US,CITY,38,CASES
1918,11,LOUISVILLE,KY,US,CITY,61,CASES
1918,12,LOUISVILLE,KY,US,CITY,13,CASES
1918,13,LOUISVILLE,KY,US,CITY,24,CASES
1918,14,LOUISVILLE,KY,US,CITY,15,CASES
1918,15,LOUISVILLE,KY,US,CITY,11,CASES
1918,16,LOUISVILLE,KY,US,CITY,16,CASES
1918,17,LOUISVILLE,KY,US,CITY,8,CASES
1918,18,LOUISVILLE,KY,US,CITY,8,CASES
1918,19,LOUISVILLE,KY,US,CITY,13,CASES
1918,20,LOUISVILLE,KY,US,CITY,8,CASES
1918,21,LOUISVILLE,KY,US,CITY,5,CASES
1918,22,LOUISVILLE,KY,US,CITY,4,CASES
1918,23,LOUISVILLE,KY,US,CITY,1,CASES
1918,24,LOUISVILLE,KY,US,CITY,9,CASES
1918,25,LOUISVILLE,KY,US,CITY,1,CASES
1918,27,LOUISVILLE,KY,US,CITY,2,CASES
1918,28,LOUISVILLE,KY,US,CITY,3,CASES
1918,29,LOUISVILLE,KY,US,CITY,1,CASES
1918,30,LOUISVILLE,KY,US,CITY,1,CASES
1918,31,LOUISVILLE,KY,US,CITY,1,CASES
1918,32,LOUISVILLE,KY,US,CITY,1,CASES
1918,34,LOUISVILLE,KY,US,CITY,1,CASES
1918,37,LOUISVILLE,KY,US,CITY,1,CASES
1918,38,LOUISVILLE,KY,US,CITY,3,CASES
1918,39,LOUISVILLE,KY,US,CITY,1,CASES
1918,40,LOUISVILLE,KY,US,CITY,2,CASES
1918,41,LOUISVILLE,KY,US,CITY,2,CASES
1918,42,LOUISVILLE,KY,US,CITY,2,CASES
1918,43,LOUISVILLE,KY,US,CITY,1,CASES
1918,44,LOUISVILLE,KY,US,CITY,3,CASES
1918,45,LOUISVILLE,KY,US,CITY,1,CASES
1918,47,LOUISVILLE,KY,US,CITY,2,CASES
1918,48,LOUISVILLE,KY,US,CITY,1,CASES
1918,50,LOUISVILLE,KY,US,CITY,6,CASES
1918,51,LOUISVILLE,KY,US,CITY,2,CASES
1918,52,LOUISVILLE,KY,US,CITY,4,CASES
1919,1,LOUISVILLE,KY,US,CITY,2,CASES
1919,2,LOUISVILLE,KY,US,CITY,2,CASES
1919,5,LOUISVILLE,KY,US,CITY,8,CASES
1919,6,LOUISVILLE,KY,US,CITY,3,CASES
1919,7,LOUISVILLE,KY,US,CITY,4,CASES
1919,8,LOUISVILLE,KY,US,CITY,1,CASES
1919,9,LOUISVILLE,KY,US,CITY,2,CASES
1919,10,LOUISVILLE,KY,US,CITY,11,CASES
1919,11,LOUISVILLE,KY,US,CITY,23,CASES
1919,12,LOUISVILLE,KY,US,CITY,17,CASES
1919,13,LOUISVILLE,KY,US,CITY,11,CASES
1919,14,LOUISVILLE,KY,US,CITY,9,CASES
1919,15,LOUISVILLE,KY,US,CITY,9,CASES
1919,16,LOUISVILLE,KY,US,CITY,12,CASES
1919,17,LOUISVILLE,KY,US,CITY,9,CASES
1919,18,LOUISVILLE,KY,US,CITY,7,CASES
1919,19,LOUISVILLE,KY,US,CITY,4,CASES
1919,20,LOUISVILLE,KY,US,CITY,4,CASES
1919,21,LOUISVILLE,KY,US,CITY,3,CASES
1919,22,LOUISVILLE,KY,US,CITY,4,CASES
1919,23,LOUISVILLE,KY,US,CITY,5,CASES
1919,24,LOUISVILLE,KY,US,CITY,7,CASES
1919,25,LOUISVILLE,KY,US,CITY,4,CASES
1919,26,LOUISVILLE,KY,US,CITY,2,CASES
1919,29,LOUISVILLE,KY,US,CITY,2,CASES
1919,40,LOUISVILLE,KY,US,CITY,1,CASES
1919,43,LOUISVILLE,KY,US,CITY,1,CASES
1919,47,LOUISVILLE,KY,US,CITY,2,CASES
1919,49,LOUISVILLE,KY,US,CITY,2,CASES
1919,50,LOUISVILLE,KY,US,CITY,1,CASES
1919,51,LOUISVILLE,KY,US,CITY,15,CASES
1919,52,LOUISVILLE,KY,US,CITY,1,CASES
1920,1,LOUISVILLE,KY,US,CITY,3,CASES
1920,3,LOUISVILLE,KY,US,CITY,2,CASES
1920,3,LOUISVILLE,KY,US,CITY,5,CASES
1920,5,LOUISVILLE,KY,US,CITY,6,CASES
1920,6,LOUISVILLE,KY,US,CITY,3,CASES
1920,7,LOUISVILLE,KY,US,CITY,4,CASES
1920,8,LOUISVILLE,KY,US,CITY,2,CASES
1920,9,LOUISVILLE,KY,US,CITY,16,CASES
1920,10,LOUISVILLE,KY,US,CITY,7,CASES
1920,11,LOUISVILLE,KY,US,CITY,6,CASES
1920,12,LOUISVILLE,KY,US,CITY,12,CASES
1920,13,LOUISVILLE,KY,US,CITY,3,CASES
1920,14,LOUISVILLE,KY,US,CITY,20,CASES
1920,15,LOUISVILLE,KY,US,CITY,26,CASES
1920,16,LOUISVILLE,KY,US,CITY,27,CASES
1920,17,LOUISVILLE,KY,US,CITY,38,CASES
1920,18,LOUISVILLE,KY,US,CITY,23,CASES
1920,19,LOUISVILLE,KY,US,CITY,53,CASES
1920,20,LOUISVILLE,KY,US,CITY,24,CASES
1920,21,LOUISVILLE,KY,US,CITY,30,CASES
1920,22,LOUISVILLE,KY,US,CITY,35,CASES
1920,23,LOUISVILLE,KY,US,CITY,38,CASES
1920,24,LOUISVILLE,KY,US,CITY,15,CASES
1920,25,LOUISVILLE,KY,US,CITY,15,CASES
1920,26,LOUISVILLE,KY,US,CITY,8,CASES
1920,27,LOUISVILLE,KY,US,CITY,20,CASES
1920,28,LOUISVILLE,KY,US,CITY,4,CASES
1920,29,LOUISVILLE,KY,US,CITY,2,CASES
1920,30,LOUISVILLE,KY,US,CITY,4,CASES
1920,32,LOUISVILLE,KY,US,CITY,2,CASES
1920,33,LOUISVILLE,KY,US,CITY,2,CASES
1920,49,LOUISVILLE,KY,US,CITY,1,CASES
1920,51,LOUISVILLE,KY,US,CITY,1,CASES
1921,1,LOUISVILLE,KY,US,CITY,1,CASES
1921,2,LOUISVILLE,KY,US,CITY,3,CASES
1921,3,LOUISVILLE,KY,US,CITY,4,CASES
1921,7,LOUISVILLE,KY,US,CITY,1,CASES
1921,8,LOUISVILLE,KY,US,CITY,1,CASES
1921,9,LOUISVILLE,KY,US,CITY,4,CASES
1921,10,LOUISVILLE,KY,US,CITY,3,CASES
1921,11,LOUISVILLE,KY,US,CITY,10,CASES
1921,12,LOUISVILLE,KY,US,CITY,7,CASES
1921,13,LOUISVILLE,KY,US,CITY,27,CASES
1921,14,LOUISVILLE,KY,US,CITY,22,CASES
1921,15,LOUISVILLE,KY,US,CITY,13,CASES
1921,16,LOUISVILLE,KY,US,CITY,15,CASES
1921,17,LOUISVILLE,KY,US,CITY,27,CASES
1921,18,LOUISVILLE,KY,US,CITY,31,CASES
1921,19,LOUISVILLE,KY,US,CITY,53,CASES
1921,20,LOUISVILLE,KY,US,CITY,50,CASES
1921,21,LOUISVILLE,KY,US,CITY,67,CASES
1921,22,LOUISVILLE,KY,US,CITY,24,CASES
1921,23,LOUISVILLE,KY,US,CITY,51,CASES
1921,24,LOUISVILLE,KY,US,CITY,20,CASES
1921,26,LOUISVILLE,KY,US,CITY,9,CASES
1921,27,LOUISVILLE,KY,US,CITY,8,CASES
1921,28,LOUISVILLE,KY,US,CITY,3,CASES
1921,29,LOUISVILLE,KY,US,CITY,7,CASES
1921,30,LOUISVILLE,KY,US,CITY,7,CASES
1921,31,LOUISVILLE,KY,US,CITY,7,CASES
1921,33,LOUISVILLE,KY,US,CITY,10,CASES
1921,34,LOUISVILLE,KY,US,CITY,11,CASES
1921,35,LOUISVILLE,KY,US,CITY,9,CASES
1921,36,LOUISVILLE,KY,US,CITY,5,CASES
1921,37,LOUISVILLE,KY,US,CITY,5,CASES
1921,38,LOUISVILLE,KY,US,CITY,5,CASES
1921,39,LOUISVILLE,KY,US,CITY,1,CASES
1921,40,LOUISVILLE,KY,US,CITY,5,CASES
1921,41,LOUISVILLE,KY,US,CITY,4,CASES
1921,42,LOUISVILLE,KY,US,CITY,4,CASES
1921,43,LOUISVILLE,KY,US,CITY,10,CASES
1921,44,LOUISVILLE,KY,US,CITY,5,CASES
1921,45,LOUISVILLE,KY,US,CITY,18,CASES
1921,46,LOUISVILLE,KY,US,CITY,21,CASES
1921,47,LOUISVILLE,KY,US,CITY,19,CASES
1921,48,LOUISVILLE,KY,US,CITY,58,CASES
1921,49,LOUISVILLE,KY,US,CITY,57,CASES
1921,50,LOUISVILLE,KY,US,CITY,16,CASES
1921,51,LOUISVILLE,KY,US,CITY,34,CASES
1921,52,LOUISVILLE,KY,US,CITY,102,CASES
1922,1,LOUISVILLE,KY,US,CITY,98,CASES
1922,2,LOUISVILLE,KY,US,CITY,91,CASES
1922,3,LOUISVILLE,KY,US,CITY,120,CASES
1922,4,LOUISVILLE,KY,US,CITY,93,CASES
1922,5,LOUISVILLE,KY,US,CITY,108,CASES
1922,6,LOUISVILLE,KY,US,CITY,76,CASES
1922,8,LOUISVILLE,KY,US,CITY,86,CASES
1922,9,LOUISVILLE,KY,US,CITY,48,CASES
1922,10,LOUISVILLE,KY,US,CITY,56,CASES
1922,11,LOUISVILLE,KY,US,CITY,20,CASES
