year,week,loc,state,country,loc_type,number,event
1918,36,LUDINGTON,MI,US,CITY,1,CASES
1919,6,LUDINGTON,MI,US,CITY,3,CASES
1919,7,LUDINGTON,MI,US,CITY,3,CASES
1919,8,LUDINGTON,MI,US,CITY,1,CASES
1919,16,LUDINGTON,MI,US,CITY,1,CASES
1919,31,LUDINGTON,MI,US,CITY,1,CASES
1919,32,LUDINGTON,MI,US,CITY,1,CASES
1919,43,LUDINGTON,MI,US,CITY,1,CASES
1919,44,LUDINGTON,MI,US,CITY,4,CASES
1919,53,LUDINGTON,MI,US,CITY,1,CASES
1920,5,LUDINGTON,MI,US,CITY,2,CASES
1920,9,LUDINGTON,MI,US,CITY,1,CASES
1920,11,LUDINGTON,MI,US,CITY,1,CASES
1920,12,LUDINGTON,MI,US,CITY,1,CASES
1920,17,LUDINGTON,MI,US,CITY,1,CASES
1920,31,LUDINGTON,MI,US,CITY,1,CASES
