year,week,loc,state,country,loc_type,number,event
1907,6,LYNN,MA,US,CITY,2,CASES
1907,9,LYNN,MA,US,CITY,3,CASES
1907,11,LYNN,MA,US,CITY,1,CASES
1907,12,LYNN,MA,US,CITY,3,CASES
1907,14,LYNN,MA,US,CITY,1,CASES
1907,15,LYNN,MA,US,CITY,1,CASES
1907,16,LYNN,MA,US,CITY,3,CASES
1907,17,LYNN,MA,US,CITY,4,CASES
1907,19,LYNN,MA,US,CITY,5,CASES
1907,21,LYNN,MA,US,CITY,25,CASES
1907,22,LYNN,MA,US,CITY,2,CASES
1907,23,LYNN,MA,US,CITY,21,CASES
1907,24,LYNN,MA,US,CITY,4,CASES
1907,25,LYNN,MA,US,CITY,5,CASES
1907,26,LYNN,MA,US,CITY,11,CASES
1907,27,LYNN,MA,US,CITY,3,CASES
1907,28,LYNN,MA,US,CITY,3,CASES
1907,29,LYNN,MA,US,CITY,2,CASES
1907,30,LYNN,MA,US,CITY,4,CASES
1907,32,LYNN,MA,US,CITY,1,CASES
1907,36,LYNN,MA,US,CITY,3,CASES
1907,41,LYNN,MA,US,CITY,3,CASES
1907,42,LYNN,MA,US,CITY,5,CASES
1907,43,LYNN,MA,US,CITY,6,CASES
1907,44,LYNN,MA,US,CITY,49,CASES
1907,45,LYNN,MA,US,CITY,45,CASES
1907,46,LYNN,MA,US,CITY,8,CASES
1907,47,LYNN,MA,US,CITY,87,CASES
1907,48,LYNN,MA,US,CITY,105,CASES
1907,49,LYNN,MA,US,CITY,46,CASES
1907,50,LYNN,MA,US,CITY,36,CASES
1907,51,LYNN,MA,US,CITY,19,CASES
1907,52,LYNN,MA,US,CITY,11,CASES
1908,1,LYNN,MA,US,CITY,24,CASES
1908,2,LYNN,MA,US,CITY,11,CASES
1908,3,LYNN,MA,US,CITY,7,CASES
1908,4,LYNN,MA,US,CITY,13,CASES
1908,5,LYNN,MA,US,CITY,5,CASES
1908,6,LYNN,MA,US,CITY,5,CASES
1908,7,LYNN,MA,US,CITY,4,CASES
1908,8,LYNN,MA,US,CITY,1,CASES
1908,9,LYNN,MA,US,CITY,5,CASES
1908,10,LYNN,MA,US,CITY,2,CASES
1908,11,LYNN,MA,US,CITY,1,CASES
1908,12,LYNN,MA,US,CITY,2,CASES
1908,13,LYNN,MA,US,CITY,8,CASES
1908,14,LYNN,MA,US,CITY,7,CASES
1908,15,LYNN,MA,US,CITY,7,CASES
1908,16,LYNN,MA,US,CITY,4,CASES
1908,17,LYNN,MA,US,CITY,1,CASES
1908,19,LYNN,MA,US,CITY,4,CASES
1908,20,LYNN,MA,US,CITY,3,CASES
1908,21,LYNN,MA,US,CITY,2,CASES
1908,22,LYNN,MA,US,CITY,7,CASES
1908,23,LYNN,MA,US,CITY,8,CASES
1908,24,LYNN,MA,US,CITY,4,CASES
1908,25,LYNN,MA,US,CITY,12,CASES
1908,27,LYNN,MA,US,CITY,3,CASES
1908,28,LYNN,MA,US,CITY,4,CASES
1908,29,LYNN,MA,US,CITY,1,CASES
1908,30,LYNN,MA,US,CITY,5,CASES
1908,36,LYNN,MA,US,CITY,3,CASES
1908,42,LYNN,MA,US,CITY,2,CASES
1908,44,LYNN,MA,US,CITY,1,CASES
1908,50,LYNN,MA,US,CITY,1,CASES
1908,51,LYNN,MA,US,CITY,3,CASES
1908,53,LYNN,MA,US,CITY,1,CASES
1909,1,LYNN,MA,US,CITY,1,CASES
1909,2,LYNN,MA,US,CITY,3,CASES
1909,3,LYNN,MA,US,CITY,5,CASES
1909,4,LYNN,MA,US,CITY,1,CASES
1909,6,LYNN,MA,US,CITY,8,CASES
1909,7,LYNN,MA,US,CITY,3,CASES
1909,8,LYNN,MA,US,CITY,2,CASES
1909,9,LYNN,MA,US,CITY,2,CASES
1909,10,LYNN,MA,US,CITY,4,CASES
1909,11,LYNN,MA,US,CITY,4,CASES
1909,12,LYNN,MA,US,CITY,10,CASES
1909,14,LYNN,MA,US,CITY,2,CASES
1909,16,LYNN,MA,US,CITY,18,CASES
1909,17,LYNN,MA,US,CITY,2,CASES
1909,18,LYNN,MA,US,CITY,2,CASES
1909,19,LYNN,MA,US,CITY,4,CASES
1909,21,LYNN,MA,US,CITY,2,CASES
1909,23,LYNN,MA,US,CITY,3,CASES
1909,27,LYNN,MA,US,CITY,1,CASES
1909,28,LYNN,MA,US,CITY,1,CASES
1909,29,LYNN,MA,US,CITY,1,CASES
1909,37,LYNN,MA,US,CITY,1,CASES
1909,42,LYNN,MA,US,CITY,1,CASES
1909,49,LYNN,MA,US,CITY,1,CASES
1909,50,LYNN,MA,US,CITY,2,CASES
1909,51,LYNN,MA,US,CITY,1,CASES
1910,2,LYNN,MA,US,CITY,2,CASES
1910,3,LYNN,MA,US,CITY,3,CASES
1910,5,LYNN,MA,US,CITY,4,CASES
1910,6,LYNN,MA,US,CITY,1,CASES
1910,7,LYNN,MA,US,CITY,2,CASES
1910,8,LYNN,MA,US,CITY,1,CASES
1910,11,LYNN,MA,US,CITY,2,CASES
1910,12,LYNN,MA,US,CITY,3,CASES
1910,13,LYNN,MA,US,CITY,9,CASES
1910,14,LYNN,MA,US,CITY,11,CASES
1910,15,LYNN,MA,US,CITY,12,CASES
1910,16,LYNN,MA,US,CITY,13,CASES
1910,17,LYNN,MA,US,CITY,27,CASES
1910,18,LYNN,MA,US,CITY,23,CASES
1910,19,LYNN,MA,US,CITY,86,CASES
1910,20,LYNN,MA,US,CITY,90,CASES
1910,21,LYNN,MA,US,CITY,66,CASES
1910,22,LYNN,MA,US,CITY,44,CASES
1910,23,LYNN,MA,US,CITY,67,CASES
1910,24,LYNN,MA,US,CITY,71,CASES
1910,25,LYNN,MA,US,CITY,42,CASES
1910,26,LYNN,MA,US,CITY,58,CASES
1910,27,LYNN,MA,US,CITY,27,CASES
1910,28,LYNN,MA,US,CITY,5,CASES
1910,29,LYNN,MA,US,CITY,7,CASES
1910,30,LYNN,MA,US,CITY,3,CASES
1910,31,LYNN,MA,US,CITY,4,CASES
1910,36,LYNN,MA,US,CITY,2,CASES
1910,50,LYNN,MA,US,CITY,11,CASES
1910,51,LYNN,MA,US,CITY,15,CASES
1910,52,LYNN,MA,US,CITY,13,CASES
1911,1,LYNN,MA,US,CITY,46,CASES
1911,2,LYNN,MA,US,CITY,16,CASES
1911,4,LYNN,MA,US,CITY,47,CASES
1911,5,LYNN,MA,US,CITY,25,CASES
1911,6,LYNN,MA,US,CITY,17,CASES
1911,7,LYNN,MA,US,CITY,17,CASES
1911,8,LYNN,MA,US,CITY,13,CASES
1911,11,LYNN,MA,US,CITY,9,CASES
1911,12,LYNN,MA,US,CITY,28,CASES
1911,13,LYNN,MA,US,CITY,12,CASES
1911,14,LYNN,MA,US,CITY,17,CASES
1911,15,LYNN,MA,US,CITY,5,CASES
1911,17,LYNN,MA,US,CITY,9,CASES
1911,18,LYNN,MA,US,CITY,9,CASES
1911,20,LYNN,MA,US,CITY,7,CASES
1911,21,LYNN,MA,US,CITY,6,CASES
1911,22,LYNN,MA,US,CITY,3,CASES
1911,23,LYNN,MA,US,CITY,6,CASES
1911,24,LYNN,MA,US,CITY,4,CASES
1911,25,LYNN,MA,US,CITY,5,CASES
1911,26,LYNN,MA,US,CITY,2,CASES
1911,31,LYNN,MA,US,CITY,2,CASES
1911,32,LYNN,MA,US,CITY,1,CASES
1911,37,LYNN,MA,US,CITY,1,CASES
1911,43,LYNN,MA,US,CITY,1,CASES
1911,48,LYNN,MA,US,CITY,2,CASES
1911,49,LYNN,MA,US,CITY,3,CASES
1911,51,LYNN,MA,US,CITY,1,CASES
1911,52,LYNN,MA,US,CITY,4,CASES
1912,1,LYNN,MA,US,CITY,2,CASES
1912,2,LYNN,MA,US,CITY,3,CASES
1912,3,LYNN,MA,US,CITY,1,CASES
1912,4,LYNN,MA,US,CITY,7,CASES
1912,5,LYNN,MA,US,CITY,26,CASES
1912,6,LYNN,MA,US,CITY,7,CASES
1912,7,LYNN,MA,US,CITY,13,CASES
1912,8,LYNN,MA,US,CITY,3,CASES
1912,10,LYNN,MA,US,CITY,5,CASES
1912,12,LYNN,MA,US,CITY,18,CASES
1912,13,LYNN,MA,US,CITY,8,CASES
1912,14,LYNN,MA,US,CITY,1,CASES
1912,15,LYNN,MA,US,CITY,10,CASES
1912,16,LYNN,MA,US,CITY,8,CASES
1912,17,LYNN,MA,US,CITY,9,CASES
1912,18,LYNN,MA,US,CITY,5,CASES
1912,19,LYNN,MA,US,CITY,12,CASES
1912,20,LYNN,MA,US,CITY,9,CASES
1912,21,LYNN,MA,US,CITY,18,CASES
1912,22,LYNN,MA,US,CITY,5,CASES
1912,23,LYNN,MA,US,CITY,7,CASES
1912,24,LYNN,MA,US,CITY,8,CASES
1912,25,LYNN,MA,US,CITY,4,CASES
1912,26,LYNN,MA,US,CITY,13,CASES
1912,27,LYNN,MA,US,CITY,18,CASES
1912,28,LYNN,MA,US,CITY,12,CASES
1912,29,LYNN,MA,US,CITY,11,CASES
1912,30,LYNN,MA,US,CITY,7,CASES
1912,31,LYNN,MA,US,CITY,2,CASES
1912,32,LYNN,MA,US,CITY,3,CASES
1912,33,LYNN,MA,US,CITY,6,CASES
1912,34,LYNN,MA,US,CITY,3,CASES
1912,35,LYNN,MA,US,CITY,1,CASES
1912,36,LYNN,MA,US,CITY,2,CASES
1912,37,LYNN,MA,US,CITY,1,CASES
1912,38,LYNN,MA,US,CITY,3,CASES
1912,39,LYNN,MA,US,CITY,1,CASES
1912,40,LYNN,MA,US,CITY,3,CASES
1912,41,LYNN,MA,US,CITY,2,CASES
1912,42,LYNN,MA,US,CITY,1,CASES
1912,44,LYNN,MA,US,CITY,9,CASES
1912,45,LYNN,MA,US,CITY,1,CASES
1912,46,LYNN,MA,US,CITY,2,CASES
1912,47,LYNN,MA,US,CITY,8,CASES
1912,48,LYNN,MA,US,CITY,11,CASES
1912,49,LYNN,MA,US,CITY,5,CASES
1912,50,LYNN,MA,US,CITY,10,CASES
