year,week,loc,state,country,loc_type,number,event
1917,21,LYNN,MA,US,CITY,2,CASES
1917,23,LYNN,MA,US,CITY,1,CASES
1917,24,LYNN,MA,US,CITY,2,CASES
1917,25,LYNN,MA,US,CITY,2,CASES
1917,27,LYNN,MA,US,CITY,2,CASES
1917,28,LYNN,MA,US,CITY,1,CASES
1917,30,LYNN,MA,US,CITY,2,CASES
1917,39,LYNN,MA,US,CITY,1,CASES
1917,40,LYNN,MA,US,CITY,1,CASES
1917,42,LYNN,MA,US,CITY,1,CASES
1917,44,LYNN,MA,US,CITY,6,CASES
1917,46,LYNN,MA,US,CITY,1,CASES
1917,47,LYNN,MA,US,CITY,1,CASES
1917,48,LYNN,MA,US,CITY,1,CASES
1917,50,LYNN,MA,US,CITY,7,CASES
1918,1,LYNN,MA,US,CITY,2,CASES
1918,2,LYNN,MA,US,CITY,6,CASES
1918,3,LYNN,MA,US,CITY,8,CASES
1918,4,LYNN,MA,US,CITY,1,CASES
1918,5,LYNN,MA,US,CITY,4,CASES
1918,6,LYNN,MA,US,CITY,8,CASES
1918,8,LYNN,MA,US,CITY,6,CASES
1918,9,LYNN,MA,US,CITY,5,CASES
1918,10,LYNN,MA,US,CITY,10,CASES
1918,11,LYNN,MA,US,CITY,11,CASES
1918,12,LYNN,MA,US,CITY,6,CASES
1918,13,LYNN,MA,US,CITY,10,CASES
1918,14,LYNN,MA,US,CITY,5,CASES
1918,15,LYNN,MA,US,CITY,9,CASES
1918,16,LYNN,MA,US,CITY,8,CASES
1918,17,LYNN,MA,US,CITY,9,CASES
1918,18,LYNN,MA,US,CITY,3,CASES
1918,19,LYNN,MA,US,CITY,2,CASES
1918,20,LYNN,MA,US,CITY,3,CASES
1918,21,LYNN,MA,US,CITY,8,CASES
1918,22,LYNN,MA,US,CITY,2,CASES
1918,23,LYNN,MA,US,CITY,4,CASES
1918,25,LYNN,MA,US,CITY,2,CASES
1918,30,LYNN,MA,US,CITY,3,CASES
1918,31,LYNN,MA,US,CITY,2,CASES
1918,32,LYNN,MA,US,CITY,1,CASES
1918,33,LYNN,MA,US,CITY,2,CASES
1918,35,LYNN,MA,US,CITY,1,CASES
1918,37,LYNN,MA,US,CITY,2,CASES
1918,38,LYNN,MA,US,CITY,8,CASES
1918,39,LYNN,MA,US,CITY,26,CASES
1918,41,LYNN,MA,US,CITY,25,CASES
1918,42,LYNN,MA,US,CITY,10,CASES
1918,44,LYNN,MA,US,CITY,5,CASES
1918,45,LYNN,MA,US,CITY,1,CASES
1918,46,LYNN,MA,US,CITY,1,CASES
1918,47,LYNN,MA,US,CITY,4,CASES
1918,49,LYNN,MA,US,CITY,2,CASES
1918,50,LYNN,MA,US,CITY,2,CASES
1918,51,LYNN,MA,US,CITY,10,CASES
1919,1,LYNN,MA,US,CITY,2,CASES
1919,2,LYNN,MA,US,CITY,2,CASES
1919,4,LYNN,MA,US,CITY,1,CASES
1919,45,LYNN,MA,US,CITY,2,CASES
1919,46,LYNN,MA,US,CITY,2,CASES
1919,47,LYNN,MA,US,CITY,1,CASES
1919,48,LYNN,MA,US,CITY,1,CASES
1919,49,LYNN,MA,US,CITY,3,CASES
1919,50,LYNN,MA,US,CITY,2,CASES
1919,52,LYNN,MA,US,CITY,1,CASES
1919,53,LYNN,MA,US,CITY,2,CASES
1920,1,LYNN,MA,US,CITY,1,CASES
1920,2,LYNN,MA,US,CITY,1,CASES
