year,week,loc,state,country,loc_type,number,event
1912,39,MALDEN,MA,US,CITY,1,CASES
1913,45,MALDEN,MA,US,CITY,2,CASES
1916,29,MALDEN,MA,US,CITY,1,CASES
1916,33,MALDEN,MA,US,CITY,2,CASES
1916,37,MALDEN,MA,US,CITY,2,CASES
1916,38,MALDEN,MA,US,CITY,6,CASES
1916,39,MALDEN,MA,US,CITY,10,CASES
1916,40,MALDEN,MA,US,CITY,3,CASES
1916,41,MALDEN,MA,US,CITY,4,CASES
1916,42,MALDEN,MA,US,CITY,4,CASES
1916,43,MALDEN,MA,US,CITY,6,CASES
1916,45,MALDEN,MA,US,CITY,4,CASES
1916,46,MALDEN,MA,US,CITY,1,CASES
1916,47,MALDEN,MA,US,CITY,1,CASES
1917,20,MALDEN,MA,US,CITY,1,CASES
1917,37,MALDEN,MA,US,CITY,1,CASES
1918,40,MALDEN,MA,US,CITY,1,CASES
1920,30,MALDEN,MA,US,CITY,1,CASES
1920,32,MALDEN,MA,US,CITY,1,CASES
1920,34,MALDEN,MA,US,CITY,1,CASES
1920,35,MALDEN,MA,US,CITY,1,CASES
1920,36,MALDEN,MA,US,CITY,1,CASES
1920,38,MALDEN,MA,US,CITY,2,CASES
1920,39,MALDEN,MA,US,CITY,1,CASES
1922,40,MALDEN,MA,US,CITY,1,CASES
