year,week,loc,state,country,loc_type,number,event
1919,9,MANKATO,MN,US,CITY,2,CASES
1919,21,MANKATO,MN,US,CITY,5,CASES
1919,22,MANKATO,MN,US,CITY,4,CASES
1919,23,MANKATO,MN,US,CITY,1,CASES
1919,24,MANKATO,MN,US,CITY,1,CASES
1919,48,MANKATO,MN,US,CITY,1,CASES
1919,49,MANKATO,MN,US,CITY,1,CASES
1919,50,MANKATO,MN,US,CITY,1,CASES
1919,51,MANKATO,MN,US,CITY,3,CASES
1919,52,MANKATO,MN,US,CITY,4,CASES
1920,1,MANKATO,MN,US,CITY,8,CASES
1920,2,MANKATO,MN,US,CITY,1,CASES
1920,3,MANKATO,MN,US,CITY,4,CASES
1920,3,MANKATO,MN,US,CITY,4,CASES
1920,5,MANKATO,MN,US,CITY,4,CASES
1920,6,MANKATO,MN,US,CITY,8,CASES
1920,7,MANKATO,MN,US,CITY,4,CASES
1920,8,MANKATO,MN,US,CITY,4,CASES
1920,9,MANKATO,MN,US,CITY,3,CASES
1920,10,MANKATO,MN,US,CITY,5,CASES
1920,11,MANKATO,MN,US,CITY,2,CASES
1920,12,MANKATO,MN,US,CITY,7,CASES
1920,13,MANKATO,MN,US,CITY,5,CASES
1920,14,MANKATO,MN,US,CITY,11,CASES
1920,15,MANKATO,MN,US,CITY,3,CASES
1920,16,MANKATO,MN,US,CITY,5,CASES
1920,17,MANKATO,MN,US,CITY,4,CASES
1920,18,MANKATO,MN,US,CITY,3,CASES
1920,19,MANKATO,MN,US,CITY,2,CASES
1920,20,MANKATO,MN,US,CITY,1,CASES
1920,21,MANKATO,MN,US,CITY,2,CASES
1920,23,MANKATO,MN,US,CITY,2,CASES
1920,24,MANKATO,MN,US,CITY,1,CASES
1920,25,MANKATO,MN,US,CITY,2,CASES
1920,26,MANKATO,MN,US,CITY,3,CASES
1920,30,MANKATO,MN,US,CITY,1,CASES
1920,52,MANKATO,MN,US,CITY,1,CASES
1921,3,MANKATO,MN,US,CITY,1,CASES
1921,15,MANKATO,MN,US,CITY,1,CASES
1923,12,MANKATO,MN,US,CITY,1,CASES
1923,14,MANKATO,MN,US,CITY,6,CASES
1923,17,MANKATO,MN,US,CITY,18,CASES
1923,19,MANKATO,MN,US,CITY,7,CASES
1923,21,MANKATO,MN,US,CITY,8,CASES
