year,week,loc,state,country,loc_type,number,event
1909,2,MARION,IN,US,CITY,1,CASES
1909,10,MARION,IN,US,CITY,1,CASES
1909,11,MARION,IN,US,CITY,1,CASES
1910,11,MARION,IN,US,CITY,1,CASES
1910,12,MARION,IN,US,CITY,1,CASES
1910,15,MARION,IN,US,CITY,2,CASES
1910,14,MARION,IN,US,CITY,2,CASES
1910,21,MARION,IN,US,CITY,2,CASES
1918,14,MARION,IN,US,CITY,3,CASES
1918,15,MARION,IN,US,CITY,1,CASES
1918,16,MARION,IN,US,CITY,2,CASES
1918,17,MARION,IN,US,CITY,2,CASES
1918,41,MARION,IN,US,CITY,1,CASES
1918,47,MARION,IN,US,CITY,1,CASES
1918,48,MARION,IN,US,CITY,1,CASES
1918,52,MARION,IN,US,CITY,1,CASES
1919,1,MARION,IN,US,CITY,6,CASES
1919,2,MARION,IN,US,CITY,4,CASES
1919,3,MARION,IN,US,CITY,4,CASES
1919,4,MARION,IN,US,CITY,4,CASES
1919,5,MARION,IN,US,CITY,1,CASES
1919,6,MARION,IN,US,CITY,7,CASES
1919,7,MARION,IN,US,CITY,3,CASES
1919,8,MARION,IN,US,CITY,1,CASES
1919,9,MARION,IN,US,CITY,1,CASES
1919,12,MARION,IN,US,CITY,1,CASES
1919,13,MARION,IN,US,CITY,1,CASES
1919,14,MARION,IN,US,CITY,1,CASES
1919,21,MARION,IN,US,CITY,1,CASES
1919,23,MARION,IN,US,CITY,1,CASES
1919,52,MARION,IN,US,CITY,3,CASES
1919,53,MARION,IN,US,CITY,1,CASES
1920,1,MARION,IN,US,CITY,6,CASES
1920,2,MARION,IN,US,CITY,11,CASES
1920,3,MARION,IN,US,CITY,9,CASES
1920,3,MARION,IN,US,CITY,15,CASES
1920,5,MARION,IN,US,CITY,25,CASES
1920,6,MARION,IN,US,CITY,20,CASES
1920,7,MARION,IN,US,CITY,25,CASES
1920,8,MARION,IN,US,CITY,36,CASES
1920,9,MARION,IN,US,CITY,43,CASES
1920,10,MARION,IN,US,CITY,26,CASES
1920,11,MARION,IN,US,CITY,21,CASES
1920,12,MARION,IN,US,CITY,16,CASES
1920,13,MARION,IN,US,CITY,23,CASES
1920,14,MARION,IN,US,CITY,15,CASES
1920,15,MARION,IN,US,CITY,6,CASES
1920,16,MARION,IN,US,CITY,24,CASES
1920,17,MARION,IN,US,CITY,11,CASES
1920,18,MARION,IN,US,CITY,6,CASES
1920,19,MARION,IN,US,CITY,2,CASES
1920,20,MARION,IN,US,CITY,4,CASES
1920,21,MARION,IN,US,CITY,2,CASES
1920,23,MARION,IN,US,CITY,1,CASES
1920,24,MARION,IN,US,CITY,1,CASES
1920,52,MARION,IN,US,CITY,1,CASES
1921,3,MARION,IN,US,CITY,1,CASES
1921,5,MARION,IN,US,CITY,1,CASES
1921,6,MARION,IN,US,CITY,2,CASES
1921,7,MARION,IN,US,CITY,1,CASES
1921,12,MARION,IN,US,CITY,1,CASES
1921,15,MARION,IN,US,CITY,1,CASES
1921,20,MARION,IN,US,CITY,1,CASES
1921,47,MARION,IN,US,CITY,5,CASES
