year,week,loc,state,country,loc_type,number,event
1918,49,MARION,OH,US,CITY,1,CASES
1918,51,MARION,OH,US,CITY,4,CASES
1918,52,MARION,OH,US,CITY,8,CASES
1919,2,MARION,OH,US,CITY,6,CASES
1919,3,MARION,OH,US,CITY,2,CASES
1919,4,MARION,OH,US,CITY,1,CASES
1919,46,MARION,OH,US,CITY,1,CASES
1919,48,MARION,OH,US,CITY,1,CASES
1919,50,MARION,OH,US,CITY,1,CASES
1920,3,MARION,OH,US,CITY,1,CASES
1920,4,MARION,OH,US,CITY,1,CASES
1920,5,MARION,OH,US,CITY,1,CASES
1920,19,MARION,OH,US,CITY,2,CASES
1920,26,MARION,OH,US,CITY,5,CASES
1920,42,MARION,OH,US,CITY,1,CASES
1920,52,MARION,OH,US,CITY,1,CASES
1921,9,MARION,OH,US,CITY,1,CASES
1921,10,MARION,OH,US,CITY,1,CASES
1921,15,MARION,OH,US,CITY,1,CASES
1921,40,MARION,OH,US,CITY,1,CASES
1921,50,MARION,OH,US,CITY,1,CASES
1922,2,MARION,OH,US,CITY,1,CASES
1922,11,MARION,OH,US,CITY,1,CASES
1922,14,MARION,OH,US,CITY,1,CASES
1922,19,MARION,OH,US,CITY,1,CASES
1922,49,MARION,OH,US,CITY,1,CASES
1923,4,MARION,OH,US,CITY,1,CASES
1923,5,MARION,OH,US,CITY,1,CASES
1923,6,MARION,OH,US,CITY,4,CASES
1923,7,MARION,OH,US,CITY,4,CASES
1923,16,MARION,OH,US,CITY,1,CASES
1923,17,MARION,OH,US,CITY,1,CASES
