year,week,loc,state,country,loc_type,number,event
1906,47,MARLBOROUGH,MA,US,CITY,1,CASES
1906,49,MARLBOROUGH,MA,US,CITY,1,CASES
1906,50,MARLBOROUGH,MA,US,CITY,1,CASES
1906,52,MARLBOROUGH,MA,US,CITY,1,CASES
1907,29,MARLBOROUGH,MA,US,CITY,1,CASES
1907,33,MARLBOROUGH,MA,US,CITY,1,CASES
1907,34,MARLBOROUGH,MA,US,CITY,1,CASES
1907,38,MARLBOROUGH,MA,US,CITY,2,CASES
1907,39,MARLBOROUGH,MA,US,CITY,2,CASES
1907,42,MARLBOROUGH,MA,US,CITY,3,CASES
1908,1,MARLBOROUGH,MA,US,CITY,1,CASES
1908,22,MARLBOROUGH,MA,US,CITY,1,CASES
1908,32,MARLBOROUGH,MA,US,CITY,1,CASES
1908,42,MARLBOROUGH,MA,US,CITY,8,CASES
1908,43,MARLBOROUGH,MA,US,CITY,2,CASES
1908,44,MARLBOROUGH,MA,US,CITY,2,CASES
1908,45,MARLBOROUGH,MA,US,CITY,3,CASES
1908,53,MARLBOROUGH,MA,US,CITY,1,CASES
1909,3,MARLBOROUGH,MA,US,CITY,1,CASES
1909,16,MARLBOROUGH,MA,US,CITY,2,CASES
1909,17,MARLBOROUGH,MA,US,CITY,1,CASES
1909,19,MARLBOROUGH,MA,US,CITY,1,CASES
1909,32,MARLBOROUGH,MA,US,CITY,1,CASES
1909,36,MARLBOROUGH,MA,US,CITY,2,CASES
1909,39,MARLBOROUGH,MA,US,CITY,1,CASES
1909,40,MARLBOROUGH,MA,US,CITY,4,CASES
1909,43,MARLBOROUGH,MA,US,CITY,1,CASES
1909,47,MARLBOROUGH,MA,US,CITY,6,CASES
1909,49,MARLBOROUGH,MA,US,CITY,2,CASES
1909,50,MARLBOROUGH,MA,US,CITY,2,CASES
1909,52,MARLBOROUGH,MA,US,CITY,1,CASES
1910,1,MARLBOROUGH,MA,US,CITY,1,CASES
1910,6,MARLBOROUGH,MA,US,CITY,1,CASES
1910,11,MARLBOROUGH,MA,US,CITY,1,CASES
1910,13,MARLBOROUGH,MA,US,CITY,2,CASES
1910,14,MARLBOROUGH,MA,US,CITY,1,CASES
1910,50,MARLBOROUGH,MA,US,CITY,1,CASES
1911,26,MARLBOROUGH,MA,US,CITY,1,CASES
1911,37,MARLBOROUGH,MA,US,CITY,1,CASES
1911,38,MARLBOROUGH,MA,US,CITY,4,CASES
1911,39,MARLBOROUGH,MA,US,CITY,1,CASES
1911,41,MARLBOROUGH,MA,US,CITY,1,CASES
1911,43,MARLBOROUGH,MA,US,CITY,6,CASES
1911,44,MARLBOROUGH,MA,US,CITY,3,CASES
1911,46,MARLBOROUGH,MA,US,CITY,1,CASES
1911,47,MARLBOROUGH,MA,US,CITY,2,CASES
1911,48,MARLBOROUGH,MA,US,CITY,1,CASES
1911,49,MARLBOROUGH,MA,US,CITY,2,CASES
1911,50,MARLBOROUGH,MA,US,CITY,1,CASES
1912,3,MARLBOROUGH,MA,US,CITY,1,CASES
1912,4,MARLBOROUGH,MA,US,CITY,1,CASES
1912,5,MARLBOROUGH,MA,US,CITY,2,CASES
1912,6,MARLBOROUGH,MA,US,CITY,1,CASES
1912,7,MARLBOROUGH,MA,US,CITY,1,CASES
1912,8,MARLBOROUGH,MA,US,CITY,2,CASES
1912,14,MARLBOROUGH,MA,US,CITY,1,CASES
1912,16,MARLBOROUGH,MA,US,CITY,1,CASES
1912,18,MARLBOROUGH,MA,US,CITY,1,CASES
1912,26,MARLBOROUGH,MA,US,CITY,1,CASES
1912,31,MARLBOROUGH,MA,US,CITY,1,CASES
1912,32,MARLBOROUGH,MA,US,CITY,1,CASES
1912,36,MARLBOROUGH,MA,US,CITY,1,CASES
1912,38,MARLBOROUGH,MA,US,CITY,2,CASES
1912,40,MARLBOROUGH,MA,US,CITY,6,CASES
1912,41,MARLBOROUGH,MA,US,CITY,4,CASES
1912,43,MARLBOROUGH,MA,US,CITY,1,CASES
1912,44,MARLBOROUGH,MA,US,CITY,1,CASES
1912,45,MARLBOROUGH,MA,US,CITY,1,CASES
1912,46,MARLBOROUGH,MA,US,CITY,1,CASES
1912,47,MARLBOROUGH,MA,US,CITY,1,CASES
1912,49,MARLBOROUGH,MA,US,CITY,4,CASES
1913,18,MARLBOROUGH,MA,US,CITY,1,CASES
1913,19,MARLBOROUGH,MA,US,CITY,1,CASES
1913,23,MARLBOROUGH,MA,US,CITY,1,CASES
1913,24,MARLBOROUGH,MA,US,CITY,1,CASES
1919,6,MARLBOROUGH,MA,US,CITY,1,CASES
1919,8,MARLBOROUGH,MA,US,CITY,4,CASES
1919,10,MARLBOROUGH,MA,US,CITY,2,CASES
1919,11,MARLBOROUGH,MA,US,CITY,2,CASES
1919,15,MARLBOROUGH,MA,US,CITY,3,CASES
1919,16,MARLBOROUGH,MA,US,CITY,1,CASES
1919,22,MARLBOROUGH,MA,US,CITY,1,CASES
1919,37,MARLBOROUGH,MA,US,CITY,2,CASES
1919,38,MARLBOROUGH,MA,US,CITY,1,CASES
1919,41,MARLBOROUGH,MA,US,CITY,1,CASES
1919,44,MARLBOROUGH,MA,US,CITY,1,CASES
1920,2,MARLBOROUGH,MA,US,CITY,1,CASES
1920,19,MARLBOROUGH,MA,US,CITY,1,CASES
1920,31,MARLBOROUGH,MA,US,CITY,3,CASES
1920,41,MARLBOROUGH,MA,US,CITY,1,CASES
