year,week,loc,state,country,loc_type,number,event
1918,18,MARSHALLTOWN,IA,US,CITY,1,CASES
1918,23,MARSHALLTOWN,IA,US,CITY,1,CASES
1918,29,MARSHALLTOWN,IA,US,CITY,1,CASES
1918,46,MARSHALLTOWN,IA,US,CITY,2,CASES
1918,48,MARSHALLTOWN,IA,US,CITY,3,CASES
1918,49,MARSHALLTOWN,IA,US,CITY,2,CASES
1918,50,MARSHALLTOWN,IA,US,CITY,1,CASES
1918,51,MARSHALLTOWN,IA,US,CITY,1,CASES
1918,52,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,4,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,6,MARSHALLTOWN,IA,US,CITY,3,CASES
1919,13,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,14,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,23,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,42,MARSHALLTOWN,IA,US,CITY,2,CASES
1919,43,MARSHALLTOWN,IA,US,CITY,2,CASES
1919,44,MARSHALLTOWN,IA,US,CITY,4,CASES
1919,46,MARSHALLTOWN,IA,US,CITY,2,CASES
1919,47,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,48,MARSHALLTOWN,IA,US,CITY,1,CASES
1919,49,MARSHALLTOWN,IA,US,CITY,2,CASES
1919,50,MARSHALLTOWN,IA,US,CITY,3,CASES
1919,53,MARSHALLTOWN,IA,US,CITY,3,CASES
1920,2,MARSHALLTOWN,IA,US,CITY,2,CASES
1920,3,MARSHALLTOWN,IA,US,CITY,2,CASES
1920,20,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,25,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,33,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,37,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,40,MARSHALLTOWN,IA,US,CITY,2,CASES
1920,41,MARSHALLTOWN,IA,US,CITY,2,CASES
1920,42,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,44,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,45,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,48,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,50,MARSHALLTOWN,IA,US,CITY,1,CASES
1920,51,MARSHALLTOWN,IA,US,CITY,2,CASES
1920,52,MARSHALLTOWN,IA,US,CITY,1,CASES
1921,18,MARSHALLTOWN,IA,US,CITY,2,CASES
1921,45,MARSHALLTOWN,IA,US,CITY,1,CASES
1921,46,MARSHALLTOWN,IA,US,CITY,1,CASES
1921,50,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,20,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,24,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,31,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,34,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,38,MARSHALLTOWN,IA,US,CITY,1,CASES
1922,46,MARSHALLTOWN,IA,US,CITY,1,CASES
1923,13,MARSHALLTOWN,IA,US,CITY,2,CASES
1923,25,MARSHALLTOWN,IA,US,CITY,1,CASES
1923,37,MARSHALLTOWN,IA,US,CITY,1,CASES
1923,38,MARSHALLTOWN,IA,US,CITY,2,CASES
1923,46,MARSHALLTOWN,IA,US,CITY,2,CASES
1923,47,MARSHALLTOWN,IA,US,CITY,1,CASES
1923,49,MARSHALLTOWN,IA,US,CITY,1,CASES
