year,week,loc,state,country,loc_type,number,event
1918,46,MARTINS FERRY,OH,US,CITY,1,CASES
1919,4,MARTINS FERRY,OH,US,CITY,1,CASES
1919,5,MARTINS FERRY,OH,US,CITY,2,CASES
1919,6,MARTINS FERRY,OH,US,CITY,2,CASES
1919,7,MARTINS FERRY,OH,US,CITY,4,CASES
1919,9,MARTINS FERRY,OH,US,CITY,3,CASES
1919,10,MARTINS FERRY,OH,US,CITY,6,CASES
1919,11,MARTINS FERRY,OH,US,CITY,3,CASES
1919,14,MARTINS FERRY,OH,US,CITY,1,CASES
1919,25,MARTINS FERRY,OH,US,CITY,1,CASES
1919,41,MARTINS FERRY,OH,US,CITY,1,CASES
1919,43,MARTINS FERRY,OH,US,CITY,1,CASES
1919,50,MARTINS FERRY,OH,US,CITY,1,CASES
1920,1,MARTINS FERRY,OH,US,CITY,1,CASES
1920,3,MARTINS FERRY,OH,US,CITY,1,CASES
1920,6,MARTINS FERRY,OH,US,CITY,1,CASES
1920,17,MARTINS FERRY,OH,US,CITY,1,CASES
1920,43,MARTINS FERRY,OH,US,CITY,4,CASES
1920,50,MARTINS FERRY,OH,US,CITY,2,CASES
1920,51,MARTINS FERRY,OH,US,CITY,1,CASES
1922,2,MARTINS FERRY,OH,US,CITY,2,CASES
1922,3,MARTINS FERRY,OH,US,CITY,1,CASES
1922,4,MARTINS FERRY,OH,US,CITY,3,CASES
1922,6,MARTINS FERRY,OH,US,CITY,1,CASES
1922,11,MARTINS FERRY,OH,US,CITY,1,CASES
1922,12,MARTINS FERRY,OH,US,CITY,2,CASES
1922,13,MARTINS FERRY,OH,US,CITY,1,CASES
1922,17,MARTINS FERRY,OH,US,CITY,1,CASES
1922,29,MARTINS FERRY,OH,US,CITY,1,CASES
1922,32,MARTINS FERRY,OH,US,CITY,2,CASES
1922,34,MARTINS FERRY,OH,US,CITY,1,CASES
1922,40,MARTINS FERRY,OH,US,CITY,1,CASES
1922,43,MARTINS FERRY,OH,US,CITY,1,CASES
1922,44,MARTINS FERRY,OH,US,CITY,1,CASES
1922,45,MARTINS FERRY,OH,US,CITY,1,CASES
1922,47,MARTINS FERRY,OH,US,CITY,1,CASES
1922,49,MARTINS FERRY,OH,US,CITY,1,CASES
1922,50,MARTINS FERRY,OH,US,CITY,1,CASES
1923,1,MARTINS FERRY,OH,US,CITY,1,CASES
1923,2,MARTINS FERRY,OH,US,CITY,2,CASES
1923,3,MARTINS FERRY,OH,US,CITY,1,CASES
1923,9,MARTINS FERRY,OH,US,CITY,1,CASES
1923,26,MARTINS FERRY,OH,US,CITY,1,CASES
1923,45,MARTINS FERRY,OH,US,CITY,1,CASES
1923,47,MARTINS FERRY,OH,US,CITY,2,CASES
1923,48,MARTINS FERRY,OH,US,CITY,2,CASES
1923,52,MARTINS FERRY,OH,US,CITY,1,CASES
