year,week,loc,state,country,loc_type,number,event
1919,4,MARTINS FERRY,OH,US,CITY,1,CASES
1919,5,MARTINS FERRY,OH,US,CITY,2,CASES
1919,7,MARTINS FERRY,OH,US,CITY,1,CASES
1919,14,MARTINS FERRY,OH,US,CITY,4,CASES
1919,18,MARTINS FERRY,OH,US,CITY,1,CASES
1919,34,MARTINS FERRY,OH,US,CITY,1,CASES
1919,35,MARTINS FERRY,OH,US,CITY,1,CASES
1919,48,MARTINS FERRY,OH,US,CITY,1,CASES
1919,53,MARTINS FERRY,OH,US,CITY,1,CASES
1920,1,MARTINS FERRY,OH,US,CITY,1,CASES
1920,2,MARTINS FERRY,OH,US,CITY,1,CASES
1920,44,MARTINS FERRY,OH,US,CITY,4,CASES
1920,50,MARTINS FERRY,OH,US,CITY,10,CASES
1920,51,MARTINS FERRY,OH,US,CITY,2,CASES
1922,7,MARTINS FERRY,OH,US,CITY,2,CASES
1922,20,MARTINS FERRY,OH,US,CITY,2,CASES
1922,26,MARTINS FERRY,OH,US,CITY,1,CASES
1922,33,MARTINS FERRY,OH,US,CITY,2,CASES
1922,34,MARTINS FERRY,OH,US,CITY,1,CASES
1922,35,MARTINS FERRY,OH,US,CITY,3,CASES
1922,36,MARTINS FERRY,OH,US,CITY,1,CASES
1922,37,MARTINS FERRY,OH,US,CITY,2,CASES
1922,38,MARTINS FERRY,OH,US,CITY,1,CASES
1922,39,MARTINS FERRY,OH,US,CITY,1,CASES
1922,40,MARTINS FERRY,OH,US,CITY,1,CASES
1922,41,MARTINS FERRY,OH,US,CITY,1,CASES
1922,42,MARTINS FERRY,OH,US,CITY,2,CASES
1922,43,MARTINS FERRY,OH,US,CITY,1,CASES
1922,44,MARTINS FERRY,OH,US,CITY,2,CASES
1922,45,MARTINS FERRY,OH,US,CITY,2,CASES
1922,48,MARTINS FERRY,OH,US,CITY,3,CASES
1922,49,MARTINS FERRY,OH,US,CITY,1,CASES
1923,4,MARTINS FERRY,OH,US,CITY,2,CASES
1923,6,MARTINS FERRY,OH,US,CITY,2,CASES
1923,8,MARTINS FERRY,OH,US,CITY,1,CASES
1923,18,MARTINS FERRY,OH,US,CITY,1,CASES
1923,23,MARTINS FERRY,OH,US,CITY,1,CASES
1923,29,MARTINS FERRY,OH,US,CITY,1,CASES
1923,34,MARTINS FERRY,OH,US,CITY,1,CASES
1923,38,MARTINS FERRY,OH,US,CITY,2,CASES
1923,41,MARTINS FERRY,OH,US,CITY,3,CASES
1923,42,MARTINS FERRY,OH,US,CITY,2,CASES
1923,44,MARTINS FERRY,OH,US,CITY,3,CASES
1923,45,MARTINS FERRY,OH,US,CITY,2,CASES
1923,46,MARTINS FERRY,OH,US,CITY,1,CASES
1923,47,MARTINS FERRY,OH,US,CITY,3,CASES
1923,48,MARTINS FERRY,OH,US,CITY,2,CASES
1923,49,MARTINS FERRY,OH,US,CITY,1,CASES
1923,50,MARTINS FERRY,OH,US,CITY,1,CASES
1923,51,MARTINS FERRY,OH,US,CITY,2,CASES
1923,52,MARTINS FERRY,OH,US,CITY,1,CASES
