year,week,loc,state,country,loc_type,number,event
1918,12,MARTINSBURG,WV,US,CITY,1,CASES
1918,49,MARTINSBURG,WV,US,CITY,1,CASES
1919,1,MARTINSBURG,WV,US,CITY,1,CASES
1919,7,MARTINSBURG,WV,US,CITY,1,CASES
1919,8,MARTINSBURG,WV,US,CITY,2,CASES
1919,9,MARTINSBURG,WV,US,CITY,5,CASES
1919,10,MARTINSBURG,WV,US,CITY,9,CASES
1919,11,MARTINSBURG,WV,US,CITY,13,CASES
1919,12,MARTINSBURG,WV,US,CITY,13,CASES
1919,13,MARTINSBURG,WV,US,CITY,5,CASES
1919,14,MARTINSBURG,WV,US,CITY,4,CASES
1919,15,MARTINSBURG,WV,US,CITY,8,CASES
1919,16,MARTINSBURG,WV,US,CITY,12,CASES
1919,17,MARTINSBURG,WV,US,CITY,8,CASES
1919,18,MARTINSBURG,WV,US,CITY,1,CASES
1919,19,MARTINSBURG,WV,US,CITY,5,CASES
1919,20,MARTINSBURG,WV,US,CITY,6,CASES
1919,21,MARTINSBURG,WV,US,CITY,4,CASES
1919,23,MARTINSBURG,WV,US,CITY,1,CASES
1919,24,MARTINSBURG,WV,US,CITY,1,CASES
1919,25,MARTINSBURG,WV,US,CITY,1,CASES
1920,3,MARTINSBURG,WV,US,CITY,1,CASES
1920,3,MARTINSBURG,WV,US,CITY,1,CASES
1920,17,MARTINSBURG,WV,US,CITY,1,CASES
1920,18,MARTINSBURG,WV,US,CITY,1,CASES
1920,19,MARTINSBURG,WV,US,CITY,3,CASES
1920,21,MARTINSBURG,WV,US,CITY,3,CASES
1920,22,MARTINSBURG,WV,US,CITY,3,CASES
1920,23,MARTINSBURG,WV,US,CITY,2,CASES
1920,24,MARTINSBURG,WV,US,CITY,1,CASES
1920,25,MARTINSBURG,WV,US,CITY,2,CASES
1920,27,MARTINSBURG,WV,US,CITY,1,CASES
1920,28,MARTINSBURG,WV,US,CITY,1,CASES
1921,24,MARTINSBURG,WV,US,CITY,1,CASES
1921,28,MARTINSBURG,WV,US,CITY,3,CASES
1921,29,MARTINSBURG,WV,US,CITY,1,CASES
1921,30,MARTINSBURG,WV,US,CITY,3,CASES
1921,31,MARTINSBURG,WV,US,CITY,1,CASES
1921,40,MARTINSBURG,WV,US,CITY,1,CASES
1921,46,MARTINSBURG,WV,US,CITY,3,CASES
1922,1,MARTINSBURG,WV,US,CITY,1,CASES
1922,2,MARTINSBURG,WV,US,CITY,1,CASES
1922,3,MARTINSBURG,WV,US,CITY,1,CASES
1922,5,MARTINSBURG,WV,US,CITY,4,CASES
1922,6,MARTINSBURG,WV,US,CITY,2,CASES
1922,7,MARTINSBURG,WV,US,CITY,6,CASES
1922,8,MARTINSBURG,WV,US,CITY,15,CASES
1922,9,MARTINSBURG,WV,US,CITY,33,CASES
1922,10,MARTINSBURG,WV,US,CITY,36,CASES
1922,11,MARTINSBURG,WV,US,CITY,18,CASES
1922,12,MARTINSBURG,WV,US,CITY,32,CASES
1922,13,MARTINSBURG,WV,US,CITY,22,CASES
1922,14,MARTINSBURG,WV,US,CITY,22,CASES
1922,15,MARTINSBURG,WV,US,CITY,18,CASES
1922,16,MARTINSBURG,WV,US,CITY,11,CASES
1922,17,MARTINSBURG,WV,US,CITY,11,CASES
1922,18,MARTINSBURG,WV,US,CITY,2,CASES
1922,19,MARTINSBURG,WV,US,CITY,1,CASES
1922,20,MARTINSBURG,WV,US,CITY,1,CASES
1922,21,MARTINSBURG,WV,US,CITY,2,CASES
1922,22,MARTINSBURG,WV,US,CITY,2,CASES
1922,23,MARTINSBURG,WV,US,CITY,4,CASES
1922,24,MARTINSBURG,WV,US,CITY,2,CASES
1922,38,MARTINSBURG,WV,US,CITY,1,CASES
1922,43,MARTINSBURG,WV,US,CITY,1,CASES
1923,2,MARTINSBURG,WV,US,CITY,1,CASES
1923,6,MARTINSBURG,WV,US,CITY,1,CASES
1923,9,MARTINSBURG,WV,US,CITY,4,CASES
1923,10,MARTINSBURG,WV,US,CITY,1,CASES
1923,11,MARTINSBURG,WV,US,CITY,3,CASES
1923,12,MARTINSBURG,WV,US,CITY,5,CASES
1923,13,MARTINSBURG,WV,US,CITY,7,CASES
1923,14,MARTINSBURG,WV,US,CITY,7,CASES
1923,15,MARTINSBURG,WV,US,CITY,4,CASES
1923,16,MARTINSBURG,WV,US,CITY,16,CASES
1923,17,MARTINSBURG,WV,US,CITY,6,CASES
1923,18,MARTINSBURG,WV,US,CITY,3,CASES
1923,20,MARTINSBURG,WV,US,CITY,5,CASES
1923,21,MARTINSBURG,WV,US,CITY,12,CASES
1923,22,MARTINSBURG,WV,US,CITY,2,CASES
1923,25,MARTINSBURG,WV,US,CITY,1,CASES
1923,27,MARTINSBURG,WV,US,CITY,1,CASES
1923,31,MARTINSBURG,WV,US,CITY,1,CASES
