year,week,loc,state,country,loc_type,number,event
1906,40,MASSILLON,OH,US,CITY,1,CASES
1906,45,MASSILLON,OH,US,CITY,1,CASES
1906,46,MASSILLON,OH,US,CITY,3,CASES
1906,48,MASSILLON,OH,US,CITY,2,CASES
1906,49,MASSILLON,OH,US,CITY,1,CASES
1906,50,MASSILLON,OH,US,CITY,1,CASES
1907,4,MASSILLON,OH,US,CITY,1,CASES
1907,19,MASSILLON,OH,US,CITY,1,CASES
1907,23,MASSILLON,OH,US,CITY,1,CASES
1907,24,MASSILLON,OH,US,CITY,1,CASES
1907,39,MASSILLON,OH,US,CITY,1,CASES
1907,40,MASSILLON,OH,US,CITY,3,CASES
1907,41,MASSILLON,OH,US,CITY,1,CASES
1907,42,MASSILLON,OH,US,CITY,4,CASES
1907,43,MASSILLON,OH,US,CITY,1,CASES
1907,44,MASSILLON,OH,US,CITY,1,CASES
1907,45,MASSILLON,OH,US,CITY,7,CASES
1907,46,MASSILLON,OH,US,CITY,7,CASES
1907,47,MASSILLON,OH,US,CITY,5,CASES
1907,48,MASSILLON,OH,US,CITY,4,CASES
1907,49,MASSILLON,OH,US,CITY,6,CASES
1907,50,MASSILLON,OH,US,CITY,2,CASES
1907,52,MASSILLON,OH,US,CITY,5,CASES
1908,1,MASSILLON,OH,US,CITY,2,CASES
1908,4,MASSILLON,OH,US,CITY,3,CASES
1908,6,MASSILLON,OH,US,CITY,2,CASES
1908,11,MASSILLON,OH,US,CITY,1,CASES
1908,15,MASSILLON,OH,US,CITY,2,CASES
1908,17,MASSILLON,OH,US,CITY,1,CASES
1908,30,MASSILLON,OH,US,CITY,1,CASES
1908,41,MASSILLON,OH,US,CITY,4,CASES
1908,42,MASSILLON,OH,US,CITY,1,CASES
1908,43,MASSILLON,OH,US,CITY,1,CASES
1908,48,MASSILLON,OH,US,CITY,1,CASES
1908,49,MASSILLON,OH,US,CITY,1,CASES
1909,38,MASSILLON,OH,US,CITY,1,CASES
1909,43,MASSILLON,OH,US,CITY,1,CASES
1909,50,MASSILLON,OH,US,CITY,1,CASES
1909,51,MASSILLON,OH,US,CITY,1,CASES
1910,7,MASSILLON,OH,US,CITY,1,CASES
1910,8,MASSILLON,OH,US,CITY,3,CASES
1910,10,MASSILLON,OH,US,CITY,3,CASES
1910,11,MASSILLON,OH,US,CITY,1,CASES
1910,13,MASSILLON,OH,US,CITY,1,CASES
1910,17,MASSILLON,OH,US,CITY,1,CASES
1910,18,MASSILLON,OH,US,CITY,1,CASES
1910,21,MASSILLON,OH,US,CITY,1,CASES
1910,33,MASSILLON,OH,US,CITY,1,CASES
1910,35,MASSILLON,OH,US,CITY,1,CASES
1910,36,MASSILLON,OH,US,CITY,1,CASES
1910,52,MASSILLON,OH,US,CITY,1,CASES
1911,11,MASSILLON,OH,US,CITY,2,CASES
1911,20,MASSILLON,OH,US,CITY,1,CASES
1911,25,MASSILLON,OH,US,CITY,1,CASES
1911,30,MASSILLON,OH,US,CITY,1,CASES
1911,33,MASSILLON,OH,US,CITY,2,CASES
1911,38,MASSILLON,OH,US,CITY,1,CASES
1911,40,MASSILLON,OH,US,CITY,1,CASES
1911,44,MASSILLON,OH,US,CITY,1,CASES
1911,45,MASSILLON,OH,US,CITY,1,CASES
1911,46,MASSILLON,OH,US,CITY,1,CASES
1911,47,MASSILLON,OH,US,CITY,2,CASES
1911,48,MASSILLON,OH,US,CITY,2,CASES
1911,49,MASSILLON,OH,US,CITY,3,CASES
1911,50,MASSILLON,OH,US,CITY,1,CASES
1911,51,MASSILLON,OH,US,CITY,2,CASES
1911,52,MASSILLON,OH,US,CITY,1,CASES
1912,3,MASSILLON,OH,US,CITY,1,CASES
1912,11,MASSILLON,OH,US,CITY,2,CASES
1912,21,MASSILLON,OH,US,CITY,2,CASES
1912,22,MASSILLON,OH,US,CITY,2,CASES
1912,23,MASSILLON,OH,US,CITY,1,CASES
1912,38,MASSILLON,OH,US,CITY,1,CASES
1912,41,MASSILLON,OH,US,CITY,2,CASES
1912,45,MASSILLON,OH,US,CITY,1,CASES
1912,46,MASSILLON,OH,US,CITY,1,CASES
1912,47,MASSILLON,OH,US,CITY,1,CASES
1912,48,MASSILLON,OH,US,CITY,1,CASES
1912,50,MASSILLON,OH,US,CITY,1,CASES
1913,2,MASSILLON,OH,US,CITY,1,CASES
1913,9,MASSILLON,OH,US,CITY,1,CASES
1913,17,MASSILLON,OH,US,CITY,3,CASES
1913,19,MASSILLON,OH,US,CITY,1,CASES
1913,20,MASSILLON,OH,US,CITY,1,CASES
1913,32,MASSILLON,OH,US,CITY,1,CASES
1913,41,MASSILLON,OH,US,CITY,1,CASES
1913,42,MASSILLON,OH,US,CITY,3,CASES
1913,43,MASSILLON,OH,US,CITY,1,CASES
1913,45,MASSILLON,OH,US,CITY,1,CASES
1914,5,MASSILLON,OH,US,CITY,2,CASES
1914,12,MASSILLON,OH,US,CITY,2,CASES
1914,13,MASSILLON,OH,US,CITY,1,CASES
1914,15,MASSILLON,OH,US,CITY,1,CASES
1914,16,MASSILLON,OH,US,CITY,1,CASES
1914,18,MASSILLON,OH,US,CITY,1,CASES
1914,25,MASSILLON,OH,US,CITY,2,CASES
1914,31,MASSILLON,OH,US,CITY,1,CASES
1914,37,MASSILLON,OH,US,CITY,1,CASES
1914,38,MASSILLON,OH,US,CITY,1,CASES
1914,39,MASSILLON,OH,US,CITY,1,CASES
1914,43,MASSILLON,OH,US,CITY,4,CASES
1914,44,MASSILLON,OH,US,CITY,1,CASES
