year,week,loc,state,country,loc_type,number,event
1906,41,MELROSE,MA,US,CITY,2,CASES
1906,42,MELROSE,MA,US,CITY,1,CASES
1906,43,MELROSE,MA,US,CITY,1,CASES
1906,46,MELROSE,MA,US,CITY,2,CASES
1906,48,MELROSE,MA,US,CITY,6,CASES
1906,49,MELROSE,MA,US,CITY,3,CASES
1906,50,MELROSE,MA,US,CITY,3,CASES
1906,51,MELROSE,MA,US,CITY,2,CASES
1906,52,MELROSE,MA,US,CITY,3,CASES
1907,1,MELROSE,MA,US,CITY,3,CASES
1907,2,MELROSE,MA,US,CITY,1,CASES
1907,3,MELROSE,MA,US,CITY,2,CASES
1907,4,MELROSE,MA,US,CITY,2,CASES
1907,7,MELROSE,MA,US,CITY,2,CASES
1907,8,MELROSE,MA,US,CITY,1,CASES
1907,9,MELROSE,MA,US,CITY,1,CASES
1907,10,MELROSE,MA,US,CITY,1,CASES
1907,13,MELROSE,MA,US,CITY,3,CASES
1907,14,MELROSE,MA,US,CITY,2,CASES
1907,19,MELROSE,MA,US,CITY,1,CASES
1907,26,MELROSE,MA,US,CITY,3,CASES
1907,24,MELROSE,MA,US,CITY,2,CASES
1907,25,MELROSE,MA,US,CITY,1,CASES
1907,27,MELROSE,MA,US,CITY,1,CASES
1907,28,MELROSE,MA,US,CITY,1,CASES
1907,30,MELROSE,MA,US,CITY,2,CASES
1907,34,MELROSE,MA,US,CITY,1,CASES
1907,41,MELROSE,MA,US,CITY,1,CASES
1907,42,MELROSE,MA,US,CITY,1,CASES
1907,43,MELROSE,MA,US,CITY,7,CASES
1907,44,MELROSE,MA,US,CITY,1,CASES
1907,47,MELROSE,MA,US,CITY,1,CASES
1907,49,MELROSE,MA,US,CITY,1,CASES
1907,50,MELROSE,MA,US,CITY,2,CASES
1907,51,MELROSE,MA,US,CITY,3,CASES
1907,52,MELROSE,MA,US,CITY,2,CASES
1908,1,MELROSE,MA,US,CITY,4,CASES
1908,4,MELROSE,MA,US,CITY,1,CASES
1908,5,MELROSE,MA,US,CITY,1,CASES
1908,8,MELROSE,MA,US,CITY,2,CASES
1908,12,MELROSE,MA,US,CITY,1,CASES
1908,13,MELROSE,MA,US,CITY,1,CASES
1908,14,MELROSE,MA,US,CITY,1,CASES
1908,16,MELROSE,MA,US,CITY,2,CASES
1908,21,MELROSE,MA,US,CITY,1,CASES
1908,22,MELROSE,MA,US,CITY,1,CASES
1908,26,MELROSE,MA,US,CITY,1,CASES
1908,35,MELROSE,MA,US,CITY,5,CASES
1908,36,MELROSE,MA,US,CITY,2,CASES
1908,37,MELROSE,MA,US,CITY,3,CASES
1908,38,MELROSE,MA,US,CITY,1,CASES
1908,39,MELROSE,MA,US,CITY,1,CASES
1908,40,MELROSE,MA,US,CITY,2,CASES
1908,42,MELROSE,MA,US,CITY,4,CASES
1908,43,MELROSE,MA,US,CITY,8,CASES
1908,44,MELROSE,MA,US,CITY,8,CASES
1908,45,MELROSE,MA,US,CITY,5,CASES
1908,48,MELROSE,MA,US,CITY,2,CASES
1908,49,MELROSE,MA,US,CITY,2,CASES
1908,46,MELROSE,MA,US,CITY,2,CASES
1908,53,MELROSE,MA,US,CITY,2,CASES
1909,1,MELROSE,MA,US,CITY,1,CASES
1909,2,MELROSE,MA,US,CITY,1,CASES
1909,4,MELROSE,MA,US,CITY,1,CASES
1909,6,MELROSE,MA,US,CITY,1,CASES
1909,10,MELROSE,MA,US,CITY,1,CASES
1909,15,MELROSE,MA,US,CITY,1,CASES
1909,19,MELROSE,MA,US,CITY,1,CASES
1909,20,MELROSE,MA,US,CITY,1,CASES
1909,22,MELROSE,MA,US,CITY,1,CASES
1909,23,MELROSE,MA,US,CITY,1,CASES
1909,31,MELROSE,MA,US,CITY,2,CASES
1909,35,MELROSE,MA,US,CITY,2,CASES
1909,39,MELROSE,MA,US,CITY,1,CASES
1909,40,MELROSE,MA,US,CITY,1,CASES
1909,45,MELROSE,MA,US,CITY,1,CASES
1909,47,MELROSE,MA,US,CITY,4,CASES
1909,50,MELROSE,MA,US,CITY,1,CASES
1910,3,MELROSE,MA,US,CITY,2,CASES
1910,4,MELROSE,MA,US,CITY,1,CASES
1910,8,MELROSE,MA,US,CITY,1,CASES
1910,9,MELROSE,MA,US,CITY,1,CASES
1910,10,MELROSE,MA,US,CITY,1,CASES
1910,11,MELROSE,MA,US,CITY,3,CASES
1910,14,MELROSE,MA,US,CITY,1,CASES
1910,16,MELROSE,MA,US,CITY,1,CASES
1910,21,MELROSE,MA,US,CITY,4,CASES
1910,23,MELROSE,MA,US,CITY,1,CASES
1910,28,MELROSE,MA,US,CITY,4,CASES
1910,35,MELROSE,MA,US,CITY,1,CASES
1910,37,MELROSE,MA,US,CITY,1,CASES
1910,50,MELROSE,MA,US,CITY,3,CASES
1910,52,MELROSE,MA,US,CITY,1,CASES
1911,1,MELROSE,MA,US,CITY,1,CASES
1911,4,MELROSE,MA,US,CITY,1,CASES
1911,8,MELROSE,MA,US,CITY,3,CASES
1911,11,MELROSE,MA,US,CITY,4,CASES
1911,13,MELROSE,MA,US,CITY,1,CASES
1911,15,MELROSE,MA,US,CITY,1,CASES
1911,18,MELROSE,MA,US,CITY,1,CASES
1911,19,MELROSE,MA,US,CITY,1,CASES
1911,20,MELROSE,MA,US,CITY,1,CASES
1911,26,MELROSE,MA,US,CITY,1,CASES
1911,32,MELROSE,MA,US,CITY,1,CASES
1911,41,MELROSE,MA,US,CITY,1,CASES
1911,46,MELROSE,MA,US,CITY,1,CASES
1912,16,MELROSE,MA,US,CITY,1,CASES
