year,week,loc,state,country,loc_type,number,event
1907,9,MEMPHIS,TN,US,CITY,2,CASES
1911,14,MEMPHIS,TN,US,CITY,24,CASES
1911,15,MEMPHIS,TN,US,CITY,14,CASES
1911,16,MEMPHIS,TN,US,CITY,4,CASES
1911,19,MEMPHIS,TN,US,CITY,1,CASES
1911,20,MEMPHIS,TN,US,CITY,9,CASES
1911,21,MEMPHIS,TN,US,CITY,5,CASES
1911,22,MEMPHIS,TN,US,CITY,1,CASES
1911,23,MEMPHIS,TN,US,CITY,1,CASES
1911,24,MEMPHIS,TN,US,CITY,1,CASES
1911,25,MEMPHIS,TN,US,CITY,1,CASES
1911,28,MEMPHIS,TN,US,CITY,2,CASES
1914,19,MEMPHIS,TN,US,CITY,26,CASES
1914,20,MEMPHIS,TN,US,CITY,11,CASES
1914,21,MEMPHIS,TN,US,CITY,14,CASES
1914,22,MEMPHIS,TN,US,CITY,10,CASES
1914,23,MEMPHIS,TN,US,CITY,12,CASES
1914,25,MEMPHIS,TN,US,CITY,3,CASES
1914,26,MEMPHIS,TN,US,CITY,1,CASES
1914,27,MEMPHIS,TN,US,CITY,2,CASES
1915,18,MEMPHIS,TN,US,CITY,19,CASES
1915,19,MEMPHIS,TN,US,CITY,15,CASES
1916,1,MEMPHIS,TN,US,CITY,2,CASES
1916,9,MEMPHIS,TN,US,CITY,15,CASES
1916,10,MEMPHIS,TN,US,CITY,8,CASES
1916,13,MEMPHIS,TN,US,CITY,11,CASES
1917,18,MEMPHIS,TN,US,CITY,19,CASES
1917,19,MEMPHIS,TN,US,CITY,24,CASES
1917,20,MEMPHIS,TN,US,CITY,6,CASES
1917,21,MEMPHIS,TN,US,CITY,9,CASES
1917,22,MEMPHIS,TN,US,CITY,10,CASES
1917,23,MEMPHIS,TN,US,CITY,8,CASES
1917,24,MEMPHIS,TN,US,CITY,2,CASES
1917,26,MEMPHIS,TN,US,CITY,7,CASES
1917,27,MEMPHIS,TN,US,CITY,1,CASES
1917,32,MEMPHIS,TN,US,CITY,1,CASES
1917,33,MEMPHIS,TN,US,CITY,1,CASES
1917,35,MEMPHIS,TN,US,CITY,2,CASES
1917,40,MEMPHIS,TN,US,CITY,2,CASES
1917,42,MEMPHIS,TN,US,CITY,17,CASES
1917,43,MEMPHIS,TN,US,CITY,5,CASES
1917,44,MEMPHIS,TN,US,CITY,8,CASES
1917,45,MEMPHIS,TN,US,CITY,9,CASES
1917,46,MEMPHIS,TN,US,CITY,18,CASES
1917,47,MEMPHIS,TN,US,CITY,49,CASES
1917,48,MEMPHIS,TN,US,CITY,33,CASES
1917,49,MEMPHIS,TN,US,CITY,98,CASES
1917,50,MEMPHIS,TN,US,CITY,51,CASES
1917,51,MEMPHIS,TN,US,CITY,93,CASES
1917,52,MEMPHIS,TN,US,CITY,56,CASES
1918,3,MEMPHIS,TN,US,CITY,8,CASES
1918,4,MEMPHIS,TN,US,CITY,40,CASES
1918,5,MEMPHIS,TN,US,CITY,32,CASES
1918,6,MEMPHIS,TN,US,CITY,14,CASES
1918,7,MEMPHIS,TN,US,CITY,29,CASES
1918,8,MEMPHIS,TN,US,CITY,25,CASES
1918,9,MEMPHIS,TN,US,CITY,12,CASES
1918,10,MEMPHIS,TN,US,CITY,13,CASES
1918,11,MEMPHIS,TN,US,CITY,20,CASES
1918,12,MEMPHIS,TN,US,CITY,23,CASES
1918,13,MEMPHIS,TN,US,CITY,20,CASES
1918,14,MEMPHIS,TN,US,CITY,9,CASES
1918,15,MEMPHIS,TN,US,CITY,6,CASES
1918,16,MEMPHIS,TN,US,CITY,4,CASES
1918,17,MEMPHIS,TN,US,CITY,7,CASES
1918,18,MEMPHIS,TN,US,CITY,8,CASES
1918,19,MEMPHIS,TN,US,CITY,11,CASES
1918,20,MEMPHIS,TN,US,CITY,15,CASES
1918,21,MEMPHIS,TN,US,CITY,10,CASES
1918,22,MEMPHIS,TN,US,CITY,6,CASES
1918,23,MEMPHIS,TN,US,CITY,4,CASES
1918,24,MEMPHIS,TN,US,CITY,2,CASES
1918,25,MEMPHIS,TN,US,CITY,2,CASES
1918,26,MEMPHIS,TN,US,CITY,1,CASES
1918,27,MEMPHIS,TN,US,CITY,1,CASES
1918,36,MEMPHIS,TN,US,CITY,1,CASES
1918,37,MEMPHIS,TN,US,CITY,3,CASES
1918,45,MEMPHIS,TN,US,CITY,3,CASES
1918,47,MEMPHIS,TN,US,CITY,1,CASES
1918,49,MEMPHIS,TN,US,CITY,1,CASES
1918,50,MEMPHIS,TN,US,CITY,9,CASES
1918,51,MEMPHIS,TN,US,CITY,2,CASES
1918,52,MEMPHIS,TN,US,CITY,1,CASES
1919,1,MEMPHIS,TN,US,CITY,5,CASES
1919,2,MEMPHIS,TN,US,CITY,10,CASES
1919,3,MEMPHIS,TN,US,CITY,6,CASES
1919,4,MEMPHIS,TN,US,CITY,9,CASES
1919,5,MEMPHIS,TN,US,CITY,9,CASES
1919,6,MEMPHIS,TN,US,CITY,4,CASES
1919,7,MEMPHIS,TN,US,CITY,12,CASES
1919,8,MEMPHIS,TN,US,CITY,5,CASES
1919,9,MEMPHIS,TN,US,CITY,8,CASES
1919,10,MEMPHIS,TN,US,CITY,9,CASES
1919,11,MEMPHIS,TN,US,CITY,9,CASES
1919,12,MEMPHIS,TN,US,CITY,37,CASES
1919,13,MEMPHIS,TN,US,CITY,50,CASES
1919,15,MEMPHIS,TN,US,CITY,104,CASES
1919,16,MEMPHIS,TN,US,CITY,49,CASES
1919,17,MEMPHIS,TN,US,CITY,69,CASES
1919,18,MEMPHIS,TN,US,CITY,35,CASES
1919,19,MEMPHIS,TN,US,CITY,39,CASES
1919,20,MEMPHIS,TN,US,CITY,37,CASES
1919,21,MEMPHIS,TN,US,CITY,53,CASES
1919,23,MEMPHIS,TN,US,CITY,26,CASES
1919,24,MEMPHIS,TN,US,CITY,10,CASES
1919,28,MEMPHIS,TN,US,CITY,2,CASES
1919,29,MEMPHIS,TN,US,CITY,1,CASES
1919,30,MEMPHIS,TN,US,CITY,1,CASES
1919,32,MEMPHIS,TN,US,CITY,2,CASES
1919,38,MEMPHIS,TN,US,CITY,1,CASES
1920,1,MEMPHIS,TN,US,CITY,1,CASES
1920,2,MEMPHIS,TN,US,CITY,3,CASES
1920,3,MEMPHIS,TN,US,CITY,13,CASES
1920,5,MEMPHIS,TN,US,CITY,7,CASES
1920,7,MEMPHIS,TN,US,CITY,3,CASES
1920,8,MEMPHIS,TN,US,CITY,2,CASES
1920,9,MEMPHIS,TN,US,CITY,2,CASES
1920,11,MEMPHIS,TN,US,CITY,2,CASES
1920,12,MEMPHIS,TN,US,CITY,1,CASES
1920,13,MEMPHIS,TN,US,CITY,1,CASES
1920,14,MEMPHIS,TN,US,CITY,1,CASES
1920,16,MEMPHIS,TN,US,CITY,2,CASES
1920,17,MEMPHIS,TN,US,CITY,2,CASES
1920,19,MEMPHIS,TN,US,CITY,6,CASES
1920,20,MEMPHIS,TN,US,CITY,4,CASES
1920,21,MEMPHIS,TN,US,CITY,3,CASES
1920,22,MEMPHIS,TN,US,CITY,4,CASES
1920,24,MEMPHIS,TN,US,CITY,1,CASES
1920,26,MEMPHIS,TN,US,CITY,3,CASES
1920,32,MEMPHIS,TN,US,CITY,1,CASES
1920,33,MEMPHIS,TN,US,CITY,1,CASES
1920,34,MEMPHIS,TN,US,CITY,1,CASES
1920,43,MEMPHIS,TN,US,CITY,1,CASES
1920,46,MEMPHIS,TN,US,CITY,2,CASES
1920,48,MEMPHIS,TN,US,CITY,1,CASES
1920,49,MEMPHIS,TN,US,CITY,1,CASES
1920,50,MEMPHIS,TN,US,CITY,1,CASES
1921,1,MEMPHIS,TN,US,CITY,4,CASES
1921,2,MEMPHIS,TN,US,CITY,1,CASES
1921,3,MEMPHIS,TN,US,CITY,15,CASES
1921,4,MEMPHIS,TN,US,CITY,16,CASES
1921,25,MEMPHIS,TN,US,CITY,11,CASES
1921,26,MEMPHIS,TN,US,CITY,2,CASES
1921,28,MEMPHIS,TN,US,CITY,5,CASES
1921,39,MEMPHIS,TN,US,CITY,1,CASES
1921,42,MEMPHIS,TN,US,CITY,3,CASES
1922,3,MEMPHIS,TN,US,CITY,1,CASES
1922,6,MEMPHIS,TN,US,CITY,1,CASES
