year,week,loc,state,country,loc_type,number,event
1952,9,MEMPHIS,TN,US,CITY,1,CASES
1952,13,MEMPHIS,TN,US,CITY,2,CASES
1952,18,MEMPHIS,TN,US,CITY,1,CASES
1952,23,MEMPHIS,TN,US,CITY,1,CASES
1952,26,MEMPHIS,TN,US,CITY,1,CASES
1952,27,MEMPHIS,TN,US,CITY,1,CASES
1952,28,MEMPHIS,TN,US,CITY,1,CASES
1952,29,MEMPHIS,TN,US,CITY,1,CASES
1952,30,MEMPHIS,TN,US,CITY,1,CASES
1952,31,MEMPHIS,TN,US,CITY,1,CASES
1952,32,MEMPHIS,TN,US,CITY,1,CASES
1952,44,MEMPHIS,TN,US,CITY,1,CASES
1952,45,MEMPHIS,TN,US,CITY,1,CASES
1952,47,MEMPHIS,TN,US,CITY,1,CASES
1953,1,MEMPHIS,TN,US,CITY,5,CASES
1953,2,MEMPHIS,TN,US,CITY,1,CASES
1953,3,MEMPHIS,TN,US,CITY,3,CASES
1953,4,MEMPHIS,TN,US,CITY,2,CASES
1953,7,MEMPHIS,TN,US,CITY,1,CASES
1953,9,MEMPHIS,TN,US,CITY,1,CASES
1953,12,MEMPHIS,TN,US,CITY,1,CASES
1953,13,MEMPHIS,TN,US,CITY,1,CASES
1953,14,MEMPHIS,TN,US,CITY,3,CASES
1953,15,MEMPHIS,TN,US,CITY,1,CASES
1953,18,MEMPHIS,TN,US,CITY,1,CASES
