year,week,loc,state,country,loc_type,number,event
1920,3,METHUEN,MA,US,CITY,7,CASES
1920,4,METHUEN,MA,US,CITY,22,CASES
1920,5,METHUEN,MA,US,CITY,46,CASES
1920,6,METHUEN,MA,US,CITY,32,CASES
1920,7,METHUEN,MA,US,CITY,27,CASES
1920,8,METHUEN,MA,US,CITY,16,CASES
1920,11,METHUEN,MA,US,CITY,1,CASES
1920,41,METHUEN,MA,US,CITY,1,CASES
1920,45,METHUEN,MA,US,CITY,1,CASES
1920,50,METHUEN,MA,US,CITY,2,CASES
1920,51,METHUEN,MA,US,CITY,1,CASES
1922,4,METHUEN,MA,US,CITY,1,CASES
1922,46,METHUEN,MA,US,CITY,1,CASES
