year,week,loc,state,country,loc_type,number,event
1918,11,MICHIGAN CITY,IN,US,CITY,1,CASES
1918,13,MICHIGAN CITY,IN,US,CITY,1,CASES
1918,14,MICHIGAN CITY,IN,US,CITY,4,CASES
1918,18,MICHIGAN CITY,IN,US,CITY,1,CASES
1918,27,MICHIGAN CITY,IN,US,CITY,1,CASES
1922,49,MICHIGAN CITY,IN,US,CITY,5,CASES
1922,50,MICHIGAN CITY,IN,US,CITY,1,CASES
1922,51,MICHIGAN CITY,IN,US,CITY,7,CASES
1923,7,MICHIGAN CITY,IN,US,CITY,1,CASES
1923,8,MICHIGAN CITY,IN,US,CITY,3,CASES
1923,9,MICHIGAN CITY,IN,US,CITY,2,CASES
1923,10,MICHIGAN CITY,IN,US,CITY,1,CASES
1923,16,MICHIGAN CITY,IN,US,CITY,1,CASES
1923,19,MICHIGAN CITY,IN,US,CITY,1,CASES
1923,20,MICHIGAN CITY,IN,US,CITY,4,CASES
1923,23,MICHIGAN CITY,IN,US,CITY,2,CASES
1923,24,MICHIGAN CITY,IN,US,CITY,1,CASES
1923,46,MICHIGAN CITY,IN,US,CITY,2,CASES
1923,47,MICHIGAN CITY,IN,US,CITY,2,CASES
1923,48,MICHIGAN CITY,IN,US,CITY,2,CASES
