year,week,loc,state,country,loc_type,number,event
1918,29,MIDDLETOWN,NY,US,CITY,1,CASES
1919,14,MIDDLETOWN,NY,US,CITY,1,CASES
1919,15,MIDDLETOWN,NY,US,CITY,1,CASES
1919,16,MIDDLETOWN,NY,US,CITY,1,CASES
1919,19,MIDDLETOWN,NY,US,CITY,3,CASES
1919,20,MIDDLETOWN,NY,US,CITY,1,CASES
1919,30,MIDDLETOWN,NY,US,CITY,1,CASES
1919,35,MIDDLETOWN,NY,US,CITY,1,CASES
1919,40,MIDDLETOWN,NY,US,CITY,1,CASES
1919,41,MIDDLETOWN,NY,US,CITY,1,CASES
1919,43,MIDDLETOWN,NY,US,CITY,2,CASES
1919,44,MIDDLETOWN,NY,US,CITY,1,CASES
1919,46,MIDDLETOWN,NY,US,CITY,3,CASES
1919,47,MIDDLETOWN,NY,US,CITY,2,CASES
1919,48,MIDDLETOWN,NY,US,CITY,2,CASES
1919,49,MIDDLETOWN,NY,US,CITY,2,CASES
1919,50,MIDDLETOWN,NY,US,CITY,3,CASES
1919,52,MIDDLETOWN,NY,US,CITY,1,CASES
1919,53,MIDDLETOWN,NY,US,CITY,1,CASES
1920,1,MIDDLETOWN,NY,US,CITY,1,CASES
1920,5,MIDDLETOWN,NY,US,CITY,1,CASES
1920,8,MIDDLETOWN,NY,US,CITY,1,CASES
1920,14,MIDDLETOWN,NY,US,CITY,2,CASES
1920,15,MIDDLETOWN,NY,US,CITY,3,CASES
1920,22,MIDDLETOWN,NY,US,CITY,8,CASES
1920,23,MIDDLETOWN,NY,US,CITY,1,CASES
1920,33,MIDDLETOWN,NY,US,CITY,1,CASES
1920,37,MIDDLETOWN,NY,US,CITY,1,CASES
1920,38,MIDDLETOWN,NY,US,CITY,3,CASES
1920,39,MIDDLETOWN,NY,US,CITY,1,CASES
1920,42,MIDDLETOWN,NY,US,CITY,1,CASES
1920,44,MIDDLETOWN,NY,US,CITY,2,CASES
1920,45,MIDDLETOWN,NY,US,CITY,4,CASES
1920,46,MIDDLETOWN,NY,US,CITY,1,CASES
1920,47,MIDDLETOWN,NY,US,CITY,1,CASES
1920,48,MIDDLETOWN,NY,US,CITY,4,CASES
1920,49,MIDDLETOWN,NY,US,CITY,3,CASES
1920,51,MIDDLETOWN,NY,US,CITY,1,CASES
1920,52,MIDDLETOWN,NY,US,CITY,1,CASES
1921,1,MIDDLETOWN,NY,US,CITY,10,CASES
1921,2,MIDDLETOWN,NY,US,CITY,1,CASES
1921,5,MIDDLETOWN,NY,US,CITY,1,CASES
1921,7,MIDDLETOWN,NY,US,CITY,4,CASES
1921,8,MIDDLETOWN,NY,US,CITY,1,CASES
1921,9,MIDDLETOWN,NY,US,CITY,1,CASES
1921,10,MIDDLETOWN,NY,US,CITY,3,CASES
1921,11,MIDDLETOWN,NY,US,CITY,1,CASES
1921,13,MIDDLETOWN,NY,US,CITY,1,CASES
1921,14,MIDDLETOWN,NY,US,CITY,1,CASES
1921,16,MIDDLETOWN,NY,US,CITY,1,CASES
1921,41,MIDDLETOWN,NY,US,CITY,2,CASES
1921,44,MIDDLETOWN,NY,US,CITY,1,CASES
1921,46,MIDDLETOWN,NY,US,CITY,1,CASES
1921,50,MIDDLETOWN,NY,US,CITY,2,CASES
1922,2,MIDDLETOWN,NY,US,CITY,1,CASES
1922,3,MIDDLETOWN,NY,US,CITY,1,CASES
1922,6,MIDDLETOWN,NY,US,CITY,2,CASES
1922,11,MIDDLETOWN,NY,US,CITY,1,CASES
1922,16,MIDDLETOWN,NY,US,CITY,1,CASES
1922,20,MIDDLETOWN,NY,US,CITY,1,CASES
1922,40,MIDDLETOWN,NY,US,CITY,1,CASES
1923,17,MIDDLETOWN,NY,US,CITY,2,CASES
1923,20,MIDDLETOWN,NY,US,CITY,1,CASES
1923,35,MIDDLETOWN,NY,US,CITY,1,CASES
1923,49,MIDDLETOWN,NY,US,CITY,1,CASES
