year,week,loc,state,country,loc_type,number,event
1918,31,MIDDLETOWN,NY,US,CITY,1,CASES
1918,48,MIDDLETOWN,NY,US,CITY,1,CASES
1919,5,MIDDLETOWN,NY,US,CITY,1,CASES
1919,20,MIDDLETOWN,NY,US,CITY,1,CASES
1919,29,MIDDLETOWN,NY,US,CITY,1,CASES
1919,30,MIDDLETOWN,NY,US,CITY,4,CASES
1919,35,MIDDLETOWN,NY,US,CITY,1,CASES
1919,38,MIDDLETOWN,NY,US,CITY,3,CASES
1919,40,MIDDLETOWN,NY,US,CITY,1,CASES
1919,41,MIDDLETOWN,NY,US,CITY,3,CASES
1919,44,MIDDLETOWN,NY,US,CITY,1,CASES
1919,45,MIDDLETOWN,NY,US,CITY,1,CASES
1919,46,MIDDLETOWN,NY,US,CITY,5,CASES
1919,48,MIDDLETOWN,NY,US,CITY,5,CASES
1919,49,MIDDLETOWN,NY,US,CITY,7,CASES
1919,50,MIDDLETOWN,NY,US,CITY,5,CASES
1919,51,MIDDLETOWN,NY,US,CITY,6,CASES
1919,53,MIDDLETOWN,NY,US,CITY,1,CASES
1920,1,MIDDLETOWN,NY,US,CITY,3,CASES
1920,2,MIDDLETOWN,NY,US,CITY,2,CASES
1920,3,MIDDLETOWN,NY,US,CITY,2,CASES
1920,5,MIDDLETOWN,NY,US,CITY,9,CASES
1920,7,MIDDLETOWN,NY,US,CITY,10,CASES
1920,8,MIDDLETOWN,NY,US,CITY,12,CASES
1920,9,MIDDLETOWN,NY,US,CITY,7,CASES
1920,10,MIDDLETOWN,NY,US,CITY,10,CASES
1920,11,MIDDLETOWN,NY,US,CITY,3,CASES
1920,12,MIDDLETOWN,NY,US,CITY,3,CASES
1920,13,MIDDLETOWN,NY,US,CITY,8,CASES
1920,14,MIDDLETOWN,NY,US,CITY,10,CASES
1920,15,MIDDLETOWN,NY,US,CITY,2,CASES
1920,18,MIDDLETOWN,NY,US,CITY,4,CASES
1920,19,MIDDLETOWN,NY,US,CITY,2,CASES
1920,21,MIDDLETOWN,NY,US,CITY,2,CASES
1920,22,MIDDLETOWN,NY,US,CITY,5,CASES
1920,24,MIDDLETOWN,NY,US,CITY,2,CASES
1920,25,MIDDLETOWN,NY,US,CITY,1,CASES
1920,26,MIDDLETOWN,NY,US,CITY,1,CASES
1920,27,MIDDLETOWN,NY,US,CITY,1,CASES
1920,28,MIDDLETOWN,NY,US,CITY,7,CASES
1920,32,MIDDLETOWN,NY,US,CITY,1,CASES
1920,36,MIDDLETOWN,NY,US,CITY,4,CASES
1920,37,MIDDLETOWN,NY,US,CITY,1,CASES
1920,39,MIDDLETOWN,NY,US,CITY,1,CASES
1920,40,MIDDLETOWN,NY,US,CITY,3,CASES
1920,41,MIDDLETOWN,NY,US,CITY,3,CASES
1920,42,MIDDLETOWN,NY,US,CITY,4,CASES
1920,43,MIDDLETOWN,NY,US,CITY,1,CASES
1920,44,MIDDLETOWN,NY,US,CITY,5,CASES
1920,45,MIDDLETOWN,NY,US,CITY,1,CASES
1920,47,MIDDLETOWN,NY,US,CITY,2,CASES
1920,48,MIDDLETOWN,NY,US,CITY,3,CASES
1920,49,MIDDLETOWN,NY,US,CITY,1,CASES
1920,51,MIDDLETOWN,NY,US,CITY,3,CASES
1920,52,MIDDLETOWN,NY,US,CITY,1,CASES
1921,1,MIDDLETOWN,NY,US,CITY,6,CASES
1921,2,MIDDLETOWN,NY,US,CITY,2,CASES
1921,3,MIDDLETOWN,NY,US,CITY,1,CASES
1921,4,MIDDLETOWN,NY,US,CITY,1,CASES
1921,5,MIDDLETOWN,NY,US,CITY,3,CASES
1921,7,MIDDLETOWN,NY,US,CITY,2,CASES
1921,8,MIDDLETOWN,NY,US,CITY,1,CASES
1921,9,MIDDLETOWN,NY,US,CITY,1,CASES
1921,10,MIDDLETOWN,NY,US,CITY,4,CASES
1921,12,MIDDLETOWN,NY,US,CITY,1,CASES
