year,week,loc,state,country,loc_type,number,event
1912,13,MILWAUKEE,WI,US,CITY,4,CASES
1912,25,MILWAUKEE,WI,US,CITY,1,CASES
1912,35,MILWAUKEE,WI,US,CITY,1,CASES
1912,41,MILWAUKEE,WI,US,CITY,1,CASES
1912,43,MILWAUKEE,WI,US,CITY,1,CASES
1912,45,MILWAUKEE,WI,US,CITY,1,CASES
1913,11,MILWAUKEE,WI,US,CITY,1,CASES
1913,15,MILWAUKEE,WI,US,CITY,1,CASES
1913,16,MILWAUKEE,WI,US,CITY,1,CASES
1913,18,MILWAUKEE,WI,US,CITY,1,CASES
1913,20,MILWAUKEE,WI,US,CITY,1,CASES
1913,21,MILWAUKEE,WI,US,CITY,1,CASES
1913,28,MILWAUKEE,WI,US,CITY,2,CASES
1913,29,MILWAUKEE,WI,US,CITY,1,CASES
1913,35,MILWAUKEE,WI,US,CITY,2,CASES
1913,43,MILWAUKEE,WI,US,CITY,1,CASES
1913,44,MILWAUKEE,WI,US,CITY,1,CASES
1913,45,MILWAUKEE,WI,US,CITY,1,CASES
1913,46,MILWAUKEE,WI,US,CITY,1,CASES
1913,47,MILWAUKEE,WI,US,CITY,1,CASES
1913,49,MILWAUKEE,WI,US,CITY,1,CASES
1913,51,MILWAUKEE,WI,US,CITY,1,CASES
1913,53,MILWAUKEE,WI,US,CITY,1,CASES
1914,2,MILWAUKEE,WI,US,CITY,1,CASES
1914,4,MILWAUKEE,WI,US,CITY,2,CASES
1914,5,MILWAUKEE,WI,US,CITY,1,CASES
1914,11,MILWAUKEE,WI,US,CITY,1,CASES
1914,12,MILWAUKEE,WI,US,CITY,1,CASES
1914,14,MILWAUKEE,WI,US,CITY,1,CASES
1914,15,MILWAUKEE,WI,US,CITY,1,CASES
1914,19,MILWAUKEE,WI,US,CITY,2,CASES
1914,25,MILWAUKEE,WI,US,CITY,1,CASES
1914,26,MILWAUKEE,WI,US,CITY,1,CASES
1914,28,MILWAUKEE,WI,US,CITY,1,CASES
1914,34,MILWAUKEE,WI,US,CITY,1,CASES
1914,37,MILWAUKEE,WI,US,CITY,2,CASES
1914,40,MILWAUKEE,WI,US,CITY,3,CASES
1914,44,MILWAUKEE,WI,US,CITY,1,CASES
1914,45,MILWAUKEE,WI,US,CITY,1,CASES
1914,47,MILWAUKEE,WI,US,CITY,2,CASES
1914,48,MILWAUKEE,WI,US,CITY,2,CASES
1914,50,MILWAUKEE,WI,US,CITY,1,CASES
1914,52,MILWAUKEE,WI,US,CITY,3,CASES
1915,3,MILWAUKEE,WI,US,CITY,1,CASES
1915,4,MILWAUKEE,WI,US,CITY,3,CASES
1915,5,MILWAUKEE,WI,US,CITY,2,CASES
1915,6,MILWAUKEE,WI,US,CITY,1,CASES
1915,11,MILWAUKEE,WI,US,CITY,1,CASES
1915,16,MILWAUKEE,WI,US,CITY,3,CASES
1915,23,MILWAUKEE,WI,US,CITY,4,CASES
1915,24,MILWAUKEE,WI,US,CITY,1,CASES
