year,week,loc,state,country,loc_type,number,event
1917,14,MINNEAPOLIS,MN,US,CITY,6,CASES
1917,15,MINNEAPOLIS,MN,US,CITY,9,CASES
1917,16,MINNEAPOLIS,MN,US,CITY,10,CASES
1917,17,MINNEAPOLIS,MN,US,CITY,13,CASES
1917,18,MINNEAPOLIS,MN,US,CITY,10,CASES
1917,19,MINNEAPOLIS,MN,US,CITY,8,CASES
1917,20,MINNEAPOLIS,MN,US,CITY,13,CASES
1917,21,MINNEAPOLIS,MN,US,CITY,2,CASES
1917,22,MINNEAPOLIS,MN,US,CITY,3,CASES
1917,23,MINNEAPOLIS,MN,US,CITY,3,CASES
1917,24,MINNEAPOLIS,MN,US,CITY,2,CASES
1917,25,MINNEAPOLIS,MN,US,CITY,2,CASES
1917,26,MINNEAPOLIS,MN,US,CITY,10,CASES
1917,28,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,29,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,33,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,37,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,38,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,40,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,42,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,43,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,47,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,50,MINNEAPOLIS,MN,US,CITY,1,CASES
1917,51,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,3,MINNEAPOLIS,MN,US,CITY,3,CASES
1918,8,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,10,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,12,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,19,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,36,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,37,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,38,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,44,MINNEAPOLIS,MN,US,CITY,1,CASES
1918,52,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,2,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,16,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,17,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,22,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,39,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,50,MINNEAPOLIS,MN,US,CITY,1,CASES
1919,51,MINNEAPOLIS,MN,US,CITY,2,CASES
1920,1,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,6,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,9,MINNEAPOLIS,MN,US,CITY,2,CASES
1920,10,MINNEAPOLIS,MN,US,CITY,2,CASES
1920,14,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,15,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,16,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,31,MINNEAPOLIS,MN,US,CITY,1,CASES
1920,51,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,3,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,10,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,11,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,25,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,28,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,33,MINNEAPOLIS,MN,US,CITY,1,CASES
1921,35,MINNEAPOLIS,MN,US,CITY,1,CASES
1922,7,MINNEAPOLIS,MN,US,CITY,1,CASES
1923,23,MINNEAPOLIS,MN,US,CITY,1,CASES
1923,24,MINNEAPOLIS,MN,US,CITY,1,CASES
1923,26,MINNEAPOLIS,MN,US,CITY,1,CASES
1923,48,MINNEAPOLIS,MN,US,CITY,1,CASES
1924,4,MINNEAPOLIS,MN,US,CITY,1,CASES
1924,5,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,14,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,15,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,17,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,18,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,23,MINNEAPOLIS,MN,US,CITY,1,CASES
1924,30,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,31,MINNEAPOLIS,MN,US,CITY,2,CASES
1924,36,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,37,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,40,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,42,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,46,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,48,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,50,MINNEAPOLIS,MN,US,CITY,0,CASES
1924,52,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,14,MINNEAPOLIS,MN,US,CITY,1,CASES
1925,15,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,25,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,26,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,29,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,30,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,31,MINNEAPOLIS,MN,US,CITY,1,CASES
1925,32,MINNEAPOLIS,MN,US,CITY,1,CASES
1925,33,MINNEAPOLIS,MN,US,CITY,1,CASES
1925,34,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,35,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,36,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,37,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,38,MINNEAPOLIS,MN,US,CITY,1,CASES
1925,39,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,40,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,41,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,42,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,43,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,46,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,47,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,48,MINNEAPOLIS,MN,US,CITY,0,CASES
1925,49,MINNEAPOLIS,MN,US,CITY,1,CASES
1926,2,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,3,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,8,MINNEAPOLIS,MN,US,CITY,1,CASES
1926,9,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,14,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,17,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,21,MINNEAPOLIS,MN,US,CITY,1,CASES
1926,24,MINNEAPOLIS,MN,US,CITY,1,CASES
1926,25,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,26,MINNEAPOLIS,MN,US,CITY,1,CASES
1926,43,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,46,MINNEAPOLIS,MN,US,CITY,0,CASES
1926,51,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,3,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,6,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,7,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,8,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,9,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,10,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,12,MINNEAPOLIS,MN,US,CITY,3,CASES
1927,13,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,14,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,15,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,16,MINNEAPOLIS,MN,US,CITY,2,CASES
1927,17,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,22,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,24,MINNEAPOLIS,MN,US,CITY,1,CASES
1927,25,MINNEAPOLIS,MN,US,CITY,0,CASES
1927,26,MINNEAPOLIS,MN,US,CITY,1,CASES
1928,10,MINNEAPOLIS,MN,US,CITY,0,CASES
1929,17,MINNEAPOLIS,MN,US,CITY,0,CASES
