year,week,loc,state,country,loc_type,number,event
1918,12,MISHAWAKA,IN,US,CITY,1,CASES
1918,13,MISHAWAKA,IN,US,CITY,1,CASES
1919,48,MISHAWAKA,IN,US,CITY,1,CASES
1919,51,MISHAWAKA,IN,US,CITY,1,CASES
1919,52,MISHAWAKA,IN,US,CITY,1,CASES
1920,1,MISHAWAKA,IN,US,CITY,1,CASES
1920,3,MISHAWAKA,IN,US,CITY,1,CASES
1920,6,MISHAWAKA,IN,US,CITY,1,CASES
1920,10,MISHAWAKA,IN,US,CITY,1,CASES
1920,13,MISHAWAKA,IN,US,CITY,1,CASES
1920,14,MISHAWAKA,IN,US,CITY,1,CASES
1920,15,MISHAWAKA,IN,US,CITY,1,CASES
1920,16,MISHAWAKA,IN,US,CITY,1,CASES
1920,17,MISHAWAKA,IN,US,CITY,6,CASES
1920,18,MISHAWAKA,IN,US,CITY,5,CASES
1920,19,MISHAWAKA,IN,US,CITY,11,CASES
1920,20,MISHAWAKA,IN,US,CITY,2,CASES
1920,21,MISHAWAKA,IN,US,CITY,3,CASES
1920,22,MISHAWAKA,IN,US,CITY,4,CASES
1920,25,MISHAWAKA,IN,US,CITY,1,CASES
1920,27,MISHAWAKA,IN,US,CITY,2,CASES
1920,31,MISHAWAKA,IN,US,CITY,2,CASES
1920,33,MISHAWAKA,IN,US,CITY,4,CASES
1920,37,MISHAWAKA,IN,US,CITY,1,CASES
1920,38,MISHAWAKA,IN,US,CITY,6,CASES
1920,41,MISHAWAKA,IN,US,CITY,1,CASES
1920,42,MISHAWAKA,IN,US,CITY,4,CASES
1920,43,MISHAWAKA,IN,US,CITY,5,CASES
1920,44,MISHAWAKA,IN,US,CITY,1,CASES
1920,45,MISHAWAKA,IN,US,CITY,4,CASES
1920,46,MISHAWAKA,IN,US,CITY,4,CASES
1920,47,MISHAWAKA,IN,US,CITY,2,CASES
1920,48,MISHAWAKA,IN,US,CITY,15,CASES
1920,49,MISHAWAKA,IN,US,CITY,12,CASES
1920,50,MISHAWAKA,IN,US,CITY,30,CASES
1920,51,MISHAWAKA,IN,US,CITY,18,CASES
1920,52,MISHAWAKA,IN,US,CITY,2,CASES
1921,1,MISHAWAKA,IN,US,CITY,24,CASES
1921,2,MISHAWAKA,IN,US,CITY,10,CASES
1921,3,MISHAWAKA,IN,US,CITY,5,CASES
1921,4,MISHAWAKA,IN,US,CITY,9,CASES
1921,5,MISHAWAKA,IN,US,CITY,5,CASES
1921,6,MISHAWAKA,IN,US,CITY,1,CASES
1921,7,MISHAWAKA,IN,US,CITY,10,CASES
1921,8,MISHAWAKA,IN,US,CITY,3,CASES
1921,9,MISHAWAKA,IN,US,CITY,1,CASES
1921,10,MISHAWAKA,IN,US,CITY,5,CASES
1921,11,MISHAWAKA,IN,US,CITY,3,CASES
1921,16,MISHAWAKA,IN,US,CITY,2,CASES
1921,18,MISHAWAKA,IN,US,CITY,4,CASES
1921,20,MISHAWAKA,IN,US,CITY,1,CASES
1921,21,MISHAWAKA,IN,US,CITY,2,CASES
1921,23,MISHAWAKA,IN,US,CITY,1,CASES
1921,31,MISHAWAKA,IN,US,CITY,1,CASES
1923,24,MISHAWAKA,IN,US,CITY,2,CASES
1923,26,MISHAWAKA,IN,US,CITY,4,CASES
1923,27,MISHAWAKA,IN,US,CITY,2,CASES
1923,29,MISHAWAKA,IN,US,CITY,1,CASES
1923,51,MISHAWAKA,IN,US,CITY,1,CASES
