year,week,loc,state,country,loc_type,number,event
1920,3,MOBILE,AL,US,CITY,1,CASES
1920,4,MOBILE,AL,US,CITY,8,CASES
1920,5,MOBILE,AL,US,CITY,302,CASES
1920,6,MOBILE,AL,US,CITY,675,CASES
1920,7,MOBILE,AL,US,CITY,482,CASES
1920,8,MOBILE,AL,US,CITY,180,CASES
1920,10,MOBILE,AL,US,CITY,15,CASES
1920,11,MOBILE,AL,US,CITY,1,CASES
1920,14,MOBILE,AL,US,CITY,1,CASES
1923,1,MOBILE,AL,US,CITY,8,CASES
1923,2,MOBILE,AL,US,CITY,19,CASES
1923,3,MOBILE,AL,US,CITY,11,CASES
1923,4,MOBILE,AL,US,CITY,15,CASES
1923,5,MOBILE,AL,US,CITY,6,CASES
1923,6,MOBILE,AL,US,CITY,7,CASES
1923,7,MOBILE,AL,US,CITY,9,CASES
1923,8,MOBILE,AL,US,CITY,4,CASES
1923,9,MOBILE,AL,US,CITY,3,CASES
1923,10,MOBILE,AL,US,CITY,2,CASES
1923,11,MOBILE,AL,US,CITY,1,CASES
1923,12,MOBILE,AL,US,CITY,1,CASES
1923,14,MOBILE,AL,US,CITY,1,CASES
1923,15,MOBILE,AL,US,CITY,5,CASES
1923,17,MOBILE,AL,US,CITY,1,CASES
1923,21,MOBILE,AL,US,CITY,2,CASES
1923,47,MOBILE,AL,US,CITY,1,CASES
1923,50,MOBILE,AL,US,CITY,4,CASES
1924,1,MOBILE,AL,US,CITY,1,CASES
1924,2,MOBILE,AL,US,CITY,0,CASES
1924,4,MOBILE,AL,US,CITY,0,CASES
1924,8,MOBILE,AL,US,CITY,2,CASES
1924,9,MOBILE,AL,US,CITY,2,CASES
1924,10,MOBILE,AL,US,CITY,1,CASES
1924,11,MOBILE,AL,US,CITY,0,CASES
1924,14,MOBILE,AL,US,CITY,0,CASES
1924,16,MOBILE,AL,US,CITY,0,CASES
1924,18,MOBILE,AL,US,CITY,1,CASES
1924,19,MOBILE,AL,US,CITY,0,CASES
1924,20,MOBILE,AL,US,CITY,0,CASES
1924,21,MOBILE,AL,US,CITY,0,CASES
1924,22,MOBILE,AL,US,CITY,0,CASES
1924,23,MOBILE,AL,US,CITY,0,CASES
1924,24,MOBILE,AL,US,CITY,0,CASES
1924,25,MOBILE,AL,US,CITY,0,CASES
1924,26,MOBILE,AL,US,CITY,0,CASES
1924,27,MOBILE,AL,US,CITY,0,CASES
1924,28,MOBILE,AL,US,CITY,0,CASES
1924,29,MOBILE,AL,US,CITY,0,CASES
1924,30,MOBILE,AL,US,CITY,0,CASES
1924,31,MOBILE,AL,US,CITY,0,CASES
1924,32,MOBILE,AL,US,CITY,0,CASES
1924,33,MOBILE,AL,US,CITY,0,CASES
1924,34,MOBILE,AL,US,CITY,0,CASES
1924,35,MOBILE,AL,US,CITY,0,CASES
1924,36,MOBILE,AL,US,CITY,0,CASES
1924,37,MOBILE,AL,US,CITY,0,CASES
1924,38,MOBILE,AL,US,CITY,0,CASES
1924,39,MOBILE,AL,US,CITY,0,CASES
1924,40,MOBILE,AL,US,CITY,0,CASES
1924,41,MOBILE,AL,US,CITY,0,CASES
1924,42,MOBILE,AL,US,CITY,0,CASES
1924,43,MOBILE,AL,US,CITY,1,CASES
1924,44,MOBILE,AL,US,CITY,0,CASES
1924,45,MOBILE,AL,US,CITY,0,CASES
1924,46,MOBILE,AL,US,CITY,0,CASES
1924,47,MOBILE,AL,US,CITY,0,CASES
1924,48,MOBILE,AL,US,CITY,0,CASES
1924,49,MOBILE,AL,US,CITY,0,CASES
1924,50,MOBILE,AL,US,CITY,0,CASES
1924,51,MOBILE,AL,US,CITY,2,CASES
1924,52,MOBILE,AL,US,CITY,0,CASES
1924,53,MOBILE,AL,US,CITY,0,CASES
1925,1,MOBILE,AL,US,CITY,0,CASES
1925,2,MOBILE,AL,US,CITY,0,CASES
1925,3,MOBILE,AL,US,CITY,1,CASES
1925,4,MOBILE,AL,US,CITY,0,CASES
1925,5,MOBILE,AL,US,CITY,7,CASES
1925,6,MOBILE,AL,US,CITY,36,CASES
1925,7,MOBILE,AL,US,CITY,41,CASES
1925,8,MOBILE,AL,US,CITY,12,CASES
1925,9,MOBILE,AL,US,CITY,5,CASES
1925,11,MOBILE,AL,US,CITY,2,CASES
1925,12,MOBILE,AL,US,CITY,3,CASES
1925,13,MOBILE,AL,US,CITY,1,CASES
1925,15,MOBILE,AL,US,CITY,0,CASES
1925,16,MOBILE,AL,US,CITY,0,CASES
1925,19,MOBILE,AL,US,CITY,0,CASES
1925,24,MOBILE,AL,US,CITY,0,CASES
1925,25,MOBILE,AL,US,CITY,0,CASES
1925,30,MOBILE,AL,US,CITY,0,CASES
1925,31,MOBILE,AL,US,CITY,0,CASES
1925,32,MOBILE,AL,US,CITY,0,CASES
1925,33,MOBILE,AL,US,CITY,0,CASES
1925,34,MOBILE,AL,US,CITY,0,CASES
1925,35,MOBILE,AL,US,CITY,0,CASES
1925,36,MOBILE,AL,US,CITY,0,CASES
1925,37,MOBILE,AL,US,CITY,0,CASES
1925,38,MOBILE,AL,US,CITY,0,CASES
1925,39,MOBILE,AL,US,CITY,0,CASES
1925,40,MOBILE,AL,US,CITY,0,CASES
1925,41,MOBILE,AL,US,CITY,0,CASES
1925,42,MOBILE,AL,US,CITY,3,CASES
1925,43,MOBILE,AL,US,CITY,0,CASES
1925,44,MOBILE,AL,US,CITY,1,CASES
1925,45,MOBILE,AL,US,CITY,0,CASES
1925,46,MOBILE,AL,US,CITY,2,CASES
1925,47,MOBILE,AL,US,CITY,8,CASES
1925,48,MOBILE,AL,US,CITY,0,CASES
1925,49,MOBILE,AL,US,CITY,2,CASES
1925,50,MOBILE,AL,US,CITY,0,CASES
1925,51,MOBILE,AL,US,CITY,1,CASES
1925,52,MOBILE,AL,US,CITY,1,CASES
1926,1,MOBILE,AL,US,CITY,2,CASES
1926,2,MOBILE,AL,US,CITY,0,CASES
1926,3,MOBILE,AL,US,CITY,2,CASES
1926,4,MOBILE,AL,US,CITY,0,CASES
1926,5,MOBILE,AL,US,CITY,0,CASES
1926,6,MOBILE,AL,US,CITY,3,CASES
1926,7,MOBILE,AL,US,CITY,0,CASES
1926,8,MOBILE,AL,US,CITY,8,CASES
1926,9,MOBILE,AL,US,CITY,5,CASES
1926,10,MOBILE,AL,US,CITY,0,CASES
1926,11,MOBILE,AL,US,CITY,1,CASES
1926,12,MOBILE,AL,US,CITY,3,CASES
1926,13,MOBILE,AL,US,CITY,0,CASES
1926,14,MOBILE,AL,US,CITY,0,CASES
1926,15,MOBILE,AL,US,CITY,0,CASES
1926,16,MOBILE,AL,US,CITY,0,CASES
1926,17,MOBILE,AL,US,CITY,1,CASES
1926,18,MOBILE,AL,US,CITY,1,CASES
1926,19,MOBILE,AL,US,CITY,0,CASES
1926,20,MOBILE,AL,US,CITY,1,CASES
1926,21,MOBILE,AL,US,CITY,0,CASES
1926,22,MOBILE,AL,US,CITY,0,CASES
1926,23,MOBILE,AL,US,CITY,0,CASES
1926,24,MOBILE,AL,US,CITY,0,CASES
1926,25,MOBILE,AL,US,CITY,0,CASES
1926,26,MOBILE,AL,US,CITY,0,CASES
1926,27,MOBILE,AL,US,CITY,0,CASES
1926,28,MOBILE,AL,US,CITY,0,CASES
1926,29,MOBILE,AL,US,CITY,0,CASES
1926,31,MOBILE,AL,US,CITY,0,CASES
1926,32,MOBILE,AL,US,CITY,0,CASES
1926,33,MOBILE,AL,US,CITY,0,CASES
1926,34,MOBILE,AL,US,CITY,0,CASES
1926,35,MOBILE,AL,US,CITY,0,CASES
1926,36,MOBILE,AL,US,CITY,0,CASES
1926,37,MOBILE,AL,US,CITY,0,CASES
1926,38,MOBILE,AL,US,CITY,0,CASES
1926,39,MOBILE,AL,US,CITY,0,CASES
1926,40,MOBILE,AL,US,CITY,0,CASES
1926,41,MOBILE,AL,US,CITY,0,CASES
1926,42,MOBILE,AL,US,CITY,0,CASES
1926,43,MOBILE,AL,US,CITY,0,CASES
1926,44,MOBILE,AL,US,CITY,0,CASES
1926,45,MOBILE,AL,US,CITY,0,CASES
1926,46,MOBILE,AL,US,CITY,0,CASES
1926,47,MOBILE,AL,US,CITY,0,CASES
1926,48,MOBILE,AL,US,CITY,0,CASES
1926,49,MOBILE,AL,US,CITY,0,CASES
1926,50,MOBILE,AL,US,CITY,0,CASES
1926,51,MOBILE,AL,US,CITY,0,CASES
1926,52,MOBILE,AL,US,CITY,0,CASES
1927,1,MOBILE,AL,US,CITY,0,CASES
1927,2,MOBILE,AL,US,CITY,0,CASES
1927,3,MOBILE,AL,US,CITY,0,CASES
1927,4,MOBILE,AL,US,CITY,0,CASES
1927,5,MOBILE,AL,US,CITY,1,CASES
1927,6,MOBILE,AL,US,CITY,0,CASES
1927,7,MOBILE,AL,US,CITY,0,CASES
1927,8,MOBILE,AL,US,CITY,2,CASES
1927,9,MOBILE,AL,US,CITY,0,CASES
1927,11,MOBILE,AL,US,CITY,0,CASES
1927,12,MOBILE,AL,US,CITY,0,CASES
1927,13,MOBILE,AL,US,CITY,0,CASES
1927,14,MOBILE,AL,US,CITY,0,CASES
1927,15,MOBILE,AL,US,CITY,0,CASES
1927,16,MOBILE,AL,US,CITY,0,CASES
1927,17,MOBILE,AL,US,CITY,0,CASES
1927,18,MOBILE,AL,US,CITY,0,CASES
1927,19,MOBILE,AL,US,CITY,0,CASES
1927,20,MOBILE,AL,US,CITY,1,CASES
1927,21,MOBILE,AL,US,CITY,0,CASES
1927,22,MOBILE,AL,US,CITY,0,CASES
