year,week,loc,state,country,loc_type,number,event
1935,33,MOLINE,IL,US,CITY,0,CASES
1935,47,MOLINE,IL,US,CITY,1,CASES
1935,49,MOLINE,IL,US,CITY,0,CASES
1935,52,MOLINE,IL,US,CITY,0,CASES
1936,17,MOLINE,IL,US,CITY,0,CASES
1936,33,MOLINE,IL,US,CITY,1,CASES
1937,13,MOLINE,IL,US,CITY,0,CASES
1937,35,MOLINE,IL,US,CITY,1,CASES
1937,36,MOLINE,IL,US,CITY,2,CASES
1938,8,MOLINE,IL,US,CITY,0,CASES
1939,21,MOLINE,IL,US,CITY,1,CASES
1940,34,MOLINE,IL,US,CITY,1,CASES
1940,36,MOLINE,IL,US,CITY,1,CASES
