year,week,loc,state,country,loc_type,number,event
1912,16,MONTCLAIR,NJ,US,CITY,1,CASES
1917,3,MONTCLAIR,NJ,US,CITY,2,CASES
1917,48,MONTCLAIR,NJ,US,CITY,2,CASES
1918,41,MONTCLAIR,NJ,US,CITY,17,CASES
1918,42,MONTCLAIR,NJ,US,CITY,2,CASES
1918,43,MONTCLAIR,NJ,US,CITY,5,CASES
1918,45,MONTCLAIR,NJ,US,CITY,2,CASES
1918,46,MONTCLAIR,NJ,US,CITY,2,CASES
1918,47,MONTCLAIR,NJ,US,CITY,2,CASES
1918,48,MONTCLAIR,NJ,US,CITY,6,CASES
1918,49,MONTCLAIR,NJ,US,CITY,3,CASES
1918,50,MONTCLAIR,NJ,US,CITY,11,CASES
1918,51,MONTCLAIR,NJ,US,CITY,2,CASES
1918,52,MONTCLAIR,NJ,US,CITY,5,CASES
1919,1,MONTCLAIR,NJ,US,CITY,5,CASES
1919,2,MONTCLAIR,NJ,US,CITY,9,CASES
1919,3,MONTCLAIR,NJ,US,CITY,14,CASES
1919,4,MONTCLAIR,NJ,US,CITY,13,CASES
1919,10,MONTCLAIR,NJ,US,CITY,4,CASES
1919,11,MONTCLAIR,NJ,US,CITY,8,CASES
1919,12,MONTCLAIR,NJ,US,CITY,4,CASES
1919,15,MONTCLAIR,NJ,US,CITY,3,CASES
1919,16,MONTCLAIR,NJ,US,CITY,1,CASES
1919,19,MONTCLAIR,NJ,US,CITY,2,CASES
1919,25,MONTCLAIR,NJ,US,CITY,1,CASES
1919,43,MONTCLAIR,NJ,US,CITY,2,CASES
1919,45,MONTCLAIR,NJ,US,CITY,1,CASES
1919,46,MONTCLAIR,NJ,US,CITY,1,CASES
1919,47,MONTCLAIR,NJ,US,CITY,3,CASES
1919,48,MONTCLAIR,NJ,US,CITY,5,CASES
1919,49,MONTCLAIR,NJ,US,CITY,4,CASES
1919,50,MONTCLAIR,NJ,US,CITY,6,CASES
1919,51,MONTCLAIR,NJ,US,CITY,7,CASES
1919,52,MONTCLAIR,NJ,US,CITY,1,CASES
1919,53,MONTCLAIR,NJ,US,CITY,2,CASES
