year,week,loc,state,country,loc_type,number,event
1912,17,MOUNT VERNON,NY,US,CITY,1,CASES
1912,23,MOUNT VERNON,NY,US,CITY,3,CASES
1912,24,MOUNT VERNON,NY,US,CITY,1,CASES
1912,26,MOUNT VERNON,NY,US,CITY,2,CASES
1912,28,MOUNT VERNON,NY,US,CITY,1,CASES
1912,32,MOUNT VERNON,NY,US,CITY,1,CASES
1912,34,MOUNT VERNON,NY,US,CITY,1,CASES
1912,44,MOUNT VERNON,NY,US,CITY,1,CASES
1912,45,MOUNT VERNON,NY,US,CITY,3,CASES
1912,47,MOUNT VERNON,NY,US,CITY,1,CASES
1912,48,MOUNT VERNON,NY,US,CITY,4,CASES
1912,50,MOUNT VERNON,NY,US,CITY,6,CASES
1913,2,MOUNT VERNON,NY,US,CITY,4,CASES
1913,6,MOUNT VERNON,NY,US,CITY,2,CASES
1913,10,MOUNT VERNON,NY,US,CITY,4,CASES
1913,11,MOUNT VERNON,NY,US,CITY,5,CASES
1913,14,MOUNT VERNON,NY,US,CITY,2,CASES
1913,15,MOUNT VERNON,NY,US,CITY,1,CASES
1913,16,MOUNT VERNON,NY,US,CITY,6,CASES
1913,17,MOUNT VERNON,NY,US,CITY,2,CASES
1913,18,MOUNT VERNON,NY,US,CITY,1,CASES
1913,20,MOUNT VERNON,NY,US,CITY,1,CASES
1913,21,MOUNT VERNON,NY,US,CITY,2,CASES
1913,26,MOUNT VERNON,NY,US,CITY,3,CASES
1913,31,MOUNT VERNON,NY,US,CITY,1,CASES
1913,34,MOUNT VERNON,NY,US,CITY,1,CASES
1913,47,MOUNT VERNON,NY,US,CITY,2,CASES
1913,48,MOUNT VERNON,NY,US,CITY,3,CASES
1918,20,MOUNT VERNON,NY,US,CITY,1,CASES
1918,45,MOUNT VERNON,NY,US,CITY,40,CASES
1918,46,MOUNT VERNON,NY,US,CITY,3,CASES
1918,47,MOUNT VERNON,NY,US,CITY,4,CASES
1918,50,MOUNT VERNON,NY,US,CITY,1,CASES
1918,51,MOUNT VERNON,NY,US,CITY,7,CASES
1918,52,MOUNT VERNON,NY,US,CITY,6,CASES
1919,1,MOUNT VERNON,NY,US,CITY,22,CASES
1919,2,MOUNT VERNON,NY,US,CITY,12,CASES
1919,3,MOUNT VERNON,NY,US,CITY,22,CASES
1919,4,MOUNT VERNON,NY,US,CITY,1,CASES
1919,17,MOUNT VERNON,NY,US,CITY,3,CASES
1919,45,MOUNT VERNON,NY,US,CITY,1,CASES
1919,46,MOUNT VERNON,NY,US,CITY,2,CASES
1919,47,MOUNT VERNON,NY,US,CITY,2,CASES
1919,50,MOUNT VERNON,NY,US,CITY,4,CASES
1919,52,MOUNT VERNON,NY,US,CITY,2,CASES
1919,53,MOUNT VERNON,NY,US,CITY,5,CASES
1920,1,MOUNT VERNON,NY,US,CITY,4,CASES
1920,2,MOUNT VERNON,NY,US,CITY,1,CASES
1920,3,MOUNT VERNON,NY,US,CITY,15,CASES
1920,4,MOUNT VERNON,NY,US,CITY,26,CASES
1920,5,MOUNT VERNON,NY,US,CITY,39,CASES
1920,6,MOUNT VERNON,NY,US,CITY,29,CASES
1920,7,MOUNT VERNON,NY,US,CITY,13,CASES
1920,10,MOUNT VERNON,NY,US,CITY,6,CASES
