year,week,loc,state,country,loc_type,number,event
1909,25,MUNCIE,IN,US,CITY,1,CASES
1908,1,MUNCIE,IN,US,CITY,1,CASES
1913,23,MUNCIE,IN,US,CITY,1,CASES
1914,5,MUNCIE,IN,US,CITY,2,CASES
1914,6,MUNCIE,IN,US,CITY,1,CASES
1914,8,MUNCIE,IN,US,CITY,4,CASES
1914,12,MUNCIE,IN,US,CITY,2,CASES
1914,13,MUNCIE,IN,US,CITY,2,CASES
1914,15,MUNCIE,IN,US,CITY,1,CASES
1914,16,MUNCIE,IN,US,CITY,1,CASES
1914,18,MUNCIE,IN,US,CITY,3,CASES
1914,21,MUNCIE,IN,US,CITY,1,CASES
1914,22,MUNCIE,IN,US,CITY,1,CASES
1914,23,MUNCIE,IN,US,CITY,1,CASES
1914,25,MUNCIE,IN,US,CITY,2,CASES
1914,26,MUNCIE,IN,US,CITY,1,CASES
1914,27,MUNCIE,IN,US,CITY,4,CASES
1914,28,MUNCIE,IN,US,CITY,1,CASES
1914,30,MUNCIE,IN,US,CITY,8,CASES
1914,33,MUNCIE,IN,US,CITY,1,CASES
1914,37,MUNCIE,IN,US,CITY,1,CASES
1914,38,MUNCIE,IN,US,CITY,1,CASES
1914,41,MUNCIE,IN,US,CITY,3,CASES
1914,42,MUNCIE,IN,US,CITY,1,CASES
1914,43,MUNCIE,IN,US,CITY,1,CASES
1914,44,MUNCIE,IN,US,CITY,1,CASES
1914,45,MUNCIE,IN,US,CITY,2,CASES
1914,46,MUNCIE,IN,US,CITY,2,CASES
1914,47,MUNCIE,IN,US,CITY,5,CASES
1914,48,MUNCIE,IN,US,CITY,3,CASES
1914,49,MUNCIE,IN,US,CITY,2,CASES
1914,50,MUNCIE,IN,US,CITY,3,CASES
1914,51,MUNCIE,IN,US,CITY,2,CASES
1915,1,MUNCIE,IN,US,CITY,6,CASES
1915,2,MUNCIE,IN,US,CITY,5,CASES
1915,3,MUNCIE,IN,US,CITY,6,CASES
1915,4,MUNCIE,IN,US,CITY,4,CASES
1915,5,MUNCIE,IN,US,CITY,4,CASES
1915,6,MUNCIE,IN,US,CITY,3,CASES
1915,7,MUNCIE,IN,US,CITY,7,CASES
1915,9,MUNCIE,IN,US,CITY,12,CASES
1915,10,MUNCIE,IN,US,CITY,4,CASES
1915,11,MUNCIE,IN,US,CITY,11,CASES
1915,12,MUNCIE,IN,US,CITY,11,CASES
1918,4,MUNCIE,IN,US,CITY,6,CASES
1918,6,MUNCIE,IN,US,CITY,5,CASES
1918,7,MUNCIE,IN,US,CITY,5,CASES
1918,8,MUNCIE,IN,US,CITY,10,CASES
1918,10,MUNCIE,IN,US,CITY,6,CASES
1918,11,MUNCIE,IN,US,CITY,7,CASES
1918,12,MUNCIE,IN,US,CITY,8,CASES
1918,13,MUNCIE,IN,US,CITY,3,CASES
1918,14,MUNCIE,IN,US,CITY,7,CASES
1918,15,MUNCIE,IN,US,CITY,5,CASES
1918,17,MUNCIE,IN,US,CITY,3,CASES
1918,18,MUNCIE,IN,US,CITY,6,CASES
1918,20,MUNCIE,IN,US,CITY,5,CASES
1918,21,MUNCIE,IN,US,CITY,3,CASES
1918,23,MUNCIE,IN,US,CITY,5,CASES
1918,24,MUNCIE,IN,US,CITY,1,CASES
1918,28,MUNCIE,IN,US,CITY,6,CASES
1918,29,MUNCIE,IN,US,CITY,5,CASES
1918,30,MUNCIE,IN,US,CITY,4,CASES
1918,31,MUNCIE,IN,US,CITY,2,CASES
1918,39,MUNCIE,IN,US,CITY,1,CASES
1918,40,MUNCIE,IN,US,CITY,3,CASES
1918,41,MUNCIE,IN,US,CITY,2,CASES
1918,43,MUNCIE,IN,US,CITY,1,CASES
1918,45,MUNCIE,IN,US,CITY,1,CASES
1918,50,MUNCIE,IN,US,CITY,1,CASES
1918,51,MUNCIE,IN,US,CITY,4,CASES
1918,52,MUNCIE,IN,US,CITY,4,CASES
1919,48,MUNCIE,IN,US,CITY,1,CASES
1920,2,MUNCIE,IN,US,CITY,3,CASES
1920,6,MUNCIE,IN,US,CITY,6,CASES
1920,15,MUNCIE,IN,US,CITY,1,CASES
1920,17,MUNCIE,IN,US,CITY,1,CASES
1920,21,MUNCIE,IN,US,CITY,1,CASES
1920,23,MUNCIE,IN,US,CITY,1,CASES
1920,50,MUNCIE,IN,US,CITY,1,CASES
1920,51,MUNCIE,IN,US,CITY,1,CASES
1921,5,MUNCIE,IN,US,CITY,3,CASES
1921,7,MUNCIE,IN,US,CITY,2,CASES
1921,9,MUNCIE,IN,US,CITY,2,CASES
1921,10,MUNCIE,IN,US,CITY,1,CASES
1921,11,MUNCIE,IN,US,CITY,1,CASES
1921,13,MUNCIE,IN,US,CITY,1,CASES
1921,14,MUNCIE,IN,US,CITY,1,CASES
1921,16,MUNCIE,IN,US,CITY,1,CASES
1921,18,MUNCIE,IN,US,CITY,3,CASES
1921,20,MUNCIE,IN,US,CITY,2,CASES
1921,22,MUNCIE,IN,US,CITY,1,CASES
