year,week,loc,state,country,loc_type,number,event
1921,23,MUSKOGEE,OK,US,CITY,1,CASES
1930,45,MUSKOGEE,OK,US,CITY,0,CASES
1931,2,MUSKOGEE,OK,US,CITY,0,CASES
1931,3,MUSKOGEE,OK,US,CITY,0,CASES
1931,9,MUSKOGEE,OK,US,CITY,0,CASES
1931,17,MUSKOGEE,OK,US,CITY,0,CASES
1931,25,MUSKOGEE,OK,US,CITY,0,CASES
1931,40,MUSKOGEE,OK,US,CITY,0,CASES
1932,15,MUSKOGEE,OK,US,CITY,0,CASES
1932,23,MUSKOGEE,OK,US,CITY,0,CASES
1932,33,MUSKOGEE,OK,US,CITY,0,CASES
1932,35,MUSKOGEE,OK,US,CITY,0,CASES
1937,9,MUSKOGEE,OK,US,CITY,0,CASES
1937,10,MUSKOGEE,OK,US,CITY,0,CASES
1937,19,MUSKOGEE,OK,US,CITY,0,CASES
1937,26,MUSKOGEE,OK,US,CITY,0,CASES
1937,32,MUSKOGEE,OK,US,CITY,5,CASES
