year,week,loc,state,country,loc_type,number,event
1907,1,NANTICOKE,PA,US,CITY,2,CASES
1907,2,NANTICOKE,PA,US,CITY,2,CASES
1907,4,NANTICOKE,PA,US,CITY,2,CASES
1907,7,NANTICOKE,PA,US,CITY,1,CASES
1907,14,NANTICOKE,PA,US,CITY,2,CASES
1907,17,NANTICOKE,PA,US,CITY,3,CASES
1907,19,NANTICOKE,PA,US,CITY,1,CASES
1907,20,NANTICOKE,PA,US,CITY,2,CASES
1907,22,NANTICOKE,PA,US,CITY,1,CASES
1907,25,NANTICOKE,PA,US,CITY,1,CASES
1907,32,NANTICOKE,PA,US,CITY,1,CASES
1907,37,NANTICOKE,PA,US,CITY,1,CASES
1907,39,NANTICOKE,PA,US,CITY,1,CASES
1907,40,NANTICOKE,PA,US,CITY,1,CASES
1907,41,NANTICOKE,PA,US,CITY,1,CASES
1907,42,NANTICOKE,PA,US,CITY,1,CASES
1907,50,NANTICOKE,PA,US,CITY,1,CASES
1907,51,NANTICOKE,PA,US,CITY,1,CASES
1908,6,NANTICOKE,PA,US,CITY,1,CASES
1908,13,NANTICOKE,PA,US,CITY,2,CASES
1908,14,NANTICOKE,PA,US,CITY,1,CASES
1908,18,NANTICOKE,PA,US,CITY,3,CASES
1908,19,NANTICOKE,PA,US,CITY,2,CASES
1908,20,NANTICOKE,PA,US,CITY,1,CASES
1908,22,NANTICOKE,PA,US,CITY,1,CASES
1908,25,NANTICOKE,PA,US,CITY,1,CASES
1908,26,NANTICOKE,PA,US,CITY,1,CASES
1908,27,NANTICOKE,PA,US,CITY,1,CASES
1908,28,NANTICOKE,PA,US,CITY,7,CASES
1908,29,NANTICOKE,PA,US,CITY,5,CASES
1908,30,NANTICOKE,PA,US,CITY,4,CASES
1908,31,NANTICOKE,PA,US,CITY,1,CASES
1908,32,NANTICOKE,PA,US,CITY,3,CASES
1908,33,NANTICOKE,PA,US,CITY,4,CASES
1908,35,NANTICOKE,PA,US,CITY,3,CASES
1908,36,NANTICOKE,PA,US,CITY,1,CASES
1908,37,NANTICOKE,PA,US,CITY,5,CASES
1908,38,NANTICOKE,PA,US,CITY,12,CASES
1908,39,NANTICOKE,PA,US,CITY,6,CASES
1908,41,NANTICOKE,PA,US,CITY,16,CASES
1908,42,NANTICOKE,PA,US,CITY,21,CASES
1908,43,NANTICOKE,PA,US,CITY,29,CASES
1908,44,NANTICOKE,PA,US,CITY,45,CASES
1908,45,NANTICOKE,PA,US,CITY,11,CASES
1908,46,NANTICOKE,PA,US,CITY,14,CASES
1908,47,NANTICOKE,PA,US,CITY,12,CASES
1908,48,NANTICOKE,PA,US,CITY,6,CASES
1908,49,NANTICOKE,PA,US,CITY,18,CASES
1908,50,NANTICOKE,PA,US,CITY,10,CASES
1908,51,NANTICOKE,PA,US,CITY,7,CASES
1908,53,NANTICOKE,PA,US,CITY,1,CASES
1909,1,NANTICOKE,PA,US,CITY,5,CASES
1909,3,NANTICOKE,PA,US,CITY,4,CASES
1909,4,NANTICOKE,PA,US,CITY,2,CASES
1909,5,NANTICOKE,PA,US,CITY,4,CASES
1909,6,NANTICOKE,PA,US,CITY,2,CASES
1909,7,NANTICOKE,PA,US,CITY,2,CASES
1909,8,NANTICOKE,PA,US,CITY,2,CASES
1909,9,NANTICOKE,PA,US,CITY,1,CASES
1909,10,NANTICOKE,PA,US,CITY,1,CASES
1909,11,NANTICOKE,PA,US,CITY,5,CASES
1909,12,NANTICOKE,PA,US,CITY,1,CASES
1909,17,NANTICOKE,PA,US,CITY,2,CASES
1909,18,NANTICOKE,PA,US,CITY,4,CASES
1909,19,NANTICOKE,PA,US,CITY,2,CASES
1909,20,NANTICOKE,PA,US,CITY,3,CASES
1909,27,NANTICOKE,PA,US,CITY,4,CASES
1909,29,NANTICOKE,PA,US,CITY,1,CASES
1909,37,NANTICOKE,PA,US,CITY,1,CASES
1909,38,NANTICOKE,PA,US,CITY,2,CASES
1909,39,NANTICOKE,PA,US,CITY,1,CASES
1909,40,NANTICOKE,PA,US,CITY,1,CASES
1909,41,NANTICOKE,PA,US,CITY,1,CASES
1909,43,NANTICOKE,PA,US,CITY,1,CASES
1909,44,NANTICOKE,PA,US,CITY,1,CASES
1909,46,NANTICOKE,PA,US,CITY,1,CASES
1909,47,NANTICOKE,PA,US,CITY,2,CASES
1909,48,NANTICOKE,PA,US,CITY,2,CASES
1909,49,NANTICOKE,PA,US,CITY,2,CASES
1909,50,NANTICOKE,PA,US,CITY,1,CASES
1909,51,NANTICOKE,PA,US,CITY,2,CASES
1910,1,NANTICOKE,PA,US,CITY,1,CASES
1910,2,NANTICOKE,PA,US,CITY,1,CASES
1910,3,NANTICOKE,PA,US,CITY,1,CASES
1910,4,NANTICOKE,PA,US,CITY,1,CASES
1910,6,NANTICOKE,PA,US,CITY,2,CASES
1910,7,NANTICOKE,PA,US,CITY,1,CASES
1910,8,NANTICOKE,PA,US,CITY,1,CASES
1910,14,NANTICOKE,PA,US,CITY,1,CASES
1910,15,NANTICOKE,PA,US,CITY,1,CASES
1910,16,NANTICOKE,PA,US,CITY,2,CASES
1910,17,NANTICOKE,PA,US,CITY,3,CASES
1910,18,NANTICOKE,PA,US,CITY,1,CASES
1910,19,NANTICOKE,PA,US,CITY,3,CASES
1910,20,NANTICOKE,PA,US,CITY,5,CASES
1910,21,NANTICOKE,PA,US,CITY,4,CASES
1910,22,NANTICOKE,PA,US,CITY,7,CASES
1910,23,NANTICOKE,PA,US,CITY,5,CASES
1910,24,NANTICOKE,PA,US,CITY,3,CASES
1910,25,NANTICOKE,PA,US,CITY,1,CASES
1910,27,NANTICOKE,PA,US,CITY,2,CASES
1910,28,NANTICOKE,PA,US,CITY,3,CASES
1910,29,NANTICOKE,PA,US,CITY,1,CASES
1910,31,NANTICOKE,PA,US,CITY,4,CASES
1910,32,NANTICOKE,PA,US,CITY,5,CASES
1910,33,NANTICOKE,PA,US,CITY,2,CASES
1910,34,NANTICOKE,PA,US,CITY,2,CASES
1910,36,NANTICOKE,PA,US,CITY,3,CASES
1910,50,NANTICOKE,PA,US,CITY,1,CASES
1910,52,NANTICOKE,PA,US,CITY,1,CASES
1911,1,NANTICOKE,PA,US,CITY,2,CASES
1911,2,NANTICOKE,PA,US,CITY,1,CASES
1911,4,NANTICOKE,PA,US,CITY,2,CASES
1911,6,NANTICOKE,PA,US,CITY,2,CASES
1911,7,NANTICOKE,PA,US,CITY,4,CASES
1911,11,NANTICOKE,PA,US,CITY,3,CASES
1911,17,NANTICOKE,PA,US,CITY,2,CASES
1911,24,NANTICOKE,PA,US,CITY,1,CASES
1911,26,NANTICOKE,PA,US,CITY,1,CASES
1911,32,NANTICOKE,PA,US,CITY,1,CASES
1911,33,NANTICOKE,PA,US,CITY,1,CASES
1911,37,NANTICOKE,PA,US,CITY,1,CASES
1911,41,NANTICOKE,PA,US,CITY,1,CASES
1911,42,NANTICOKE,PA,US,CITY,1,CASES
1911,46,NANTICOKE,PA,US,CITY,4,CASES
1911,47,NANTICOKE,PA,US,CITY,1,CASES
1911,49,NANTICOKE,PA,US,CITY,1,CASES
1912,1,NANTICOKE,PA,US,CITY,1,CASES
1912,2,NANTICOKE,PA,US,CITY,1,CASES
1912,4,NANTICOKE,PA,US,CITY,1,CASES
1912,6,NANTICOKE,PA,US,CITY,1,CASES
1912,7,NANTICOKE,PA,US,CITY,1,CASES
1912,12,NANTICOKE,PA,US,CITY,1,CASES
1912,14,NANTICOKE,PA,US,CITY,1,CASES
1912,16,NANTICOKE,PA,US,CITY,1,CASES
1912,22,NANTICOKE,PA,US,CITY,1,CASES
1912,28,NANTICOKE,PA,US,CITY,1,CASES
1912,42,NANTICOKE,PA,US,CITY,1,CASES
1912,44,NANTICOKE,PA,US,CITY,1,CASES
1912,46,NANTICOKE,PA,US,CITY,1,CASES
1912,47,NANTICOKE,PA,US,CITY,2,CASES
1912,48,NANTICOKE,PA,US,CITY,4,CASES
1912,50,NANTICOKE,PA,US,CITY,1,CASES
1912,51,NANTICOKE,PA,US,CITY,2,CASES
1913,2,NANTICOKE,PA,US,CITY,1,CASES
1913,5,NANTICOKE,PA,US,CITY,3,CASES
1913,6,NANTICOKE,PA,US,CITY,1,CASES
1913,7,NANTICOKE,PA,US,CITY,1,CASES
1913,8,NANTICOKE,PA,US,CITY,1,CASES
1913,9,NANTICOKE,PA,US,CITY,6,CASES
1913,11,NANTICOKE,PA,US,CITY,1,CASES
1913,12,NANTICOKE,PA,US,CITY,2,CASES
1913,13,NANTICOKE,PA,US,CITY,5,CASES
1913,14,NANTICOKE,PA,US,CITY,1,CASES
1913,15,NANTICOKE,PA,US,CITY,5,CASES
1913,20,NANTICOKE,PA,US,CITY,1,CASES
1913,21,NANTICOKE,PA,US,CITY,3,CASES
1913,23,NANTICOKE,PA,US,CITY,1,CASES
1913,26,NANTICOKE,PA,US,CITY,1,CASES
1913,29,NANTICOKE,PA,US,CITY,1,CASES
1913,33,NANTICOKE,PA,US,CITY,2,CASES
1913,34,NANTICOKE,PA,US,CITY,1,CASES
1913,37,NANTICOKE,PA,US,CITY,3,CASES
1913,38,NANTICOKE,PA,US,CITY,1,CASES
1913,39,NANTICOKE,PA,US,CITY,3,CASES
1913,40,NANTICOKE,PA,US,CITY,1,CASES
1913,41,NANTICOKE,PA,US,CITY,5,CASES
1913,42,NANTICOKE,PA,US,CITY,4,CASES
1913,43,NANTICOKE,PA,US,CITY,5,CASES
1913,44,NANTICOKE,PA,US,CITY,1,CASES
1913,45,NANTICOKE,PA,US,CITY,2,CASES
1913,46,NANTICOKE,PA,US,CITY,4,CASES
1913,47,NANTICOKE,PA,US,CITY,8,CASES
1913,48,NANTICOKE,PA,US,CITY,4,CASES
1913,49,NANTICOKE,PA,US,CITY,2,CASES
1913,50,NANTICOKE,PA,US,CITY,4,CASES
1913,52,NANTICOKE,PA,US,CITY,5,CASES
1914,1,NANTICOKE,PA,US,CITY,2,CASES
1914,2,NANTICOKE,PA,US,CITY,1,CASES
1914,3,NANTICOKE,PA,US,CITY,3,CASES
1914,4,NANTICOKE,PA,US,CITY,1,CASES
1914,5,NANTICOKE,PA,US,CITY,2,CASES
1914,6,NANTICOKE,PA,US,CITY,2,CASES
1914,7,NANTICOKE,PA,US,CITY,2,CASES
1914,9,NANTICOKE,PA,US,CITY,3,CASES
1914,10,NANTICOKE,PA,US,CITY,5,CASES
1914,11,NANTICOKE,PA,US,CITY,1,CASES
1914,12,NANTICOKE,PA,US,CITY,3,CASES
1914,14,NANTICOKE,PA,US,CITY,1,CASES
1914,15,NANTICOKE,PA,US,CITY,1,CASES
1914,16,NANTICOKE,PA,US,CITY,1,CASES
1914,21,NANTICOKE,PA,US,CITY,1,CASES
1914,23,NANTICOKE,PA,US,CITY,1,CASES
1914,28,NANTICOKE,PA,US,CITY,1,CASES
1914,29,NANTICOKE,PA,US,CITY,1,CASES
1914,30,NANTICOKE,PA,US,CITY,1,CASES
1914,31,NANTICOKE,PA,US,CITY,1,CASES
1914,32,NANTICOKE,PA,US,CITY,2,CASES
1914,33,NANTICOKE,PA,US,CITY,1,CASES
1914,34,NANTICOKE,PA,US,CITY,3,CASES
1914,36,NANTICOKE,PA,US,CITY,1,CASES
1914,37,NANTICOKE,PA,US,CITY,4,CASES
1914,38,NANTICOKE,PA,US,CITY,5,CASES
1914,39,NANTICOKE,PA,US,CITY,4,CASES
1914,40,NANTICOKE,PA,US,CITY,3,CASES
1914,41,NANTICOKE,PA,US,CITY,2,CASES
1914,42,NANTICOKE,PA,US,CITY,4,CASES
1914,43,NANTICOKE,PA,US,CITY,5,CASES
1914,44,NANTICOKE,PA,US,CITY,3,CASES
1914,45,NANTICOKE,PA,US,CITY,4,CASES
1914,46,NANTICOKE,PA,US,CITY,3,CASES
