year,week,loc,state,country,loc_type,number,event
1917,20,NASHUA,NH,US,CITY,1,CASES
1918,38,NASHUA,NH,US,CITY,1,CASES
1920,46,NASHUA,NH,US,CITY,1,CASES
1924,2,NASHUA,NH,US,CITY,0,CASES
1924,15,NASHUA,NH,US,CITY,0,CASES
1924,21,NASHUA,NH,US,CITY,0,CASES
1930,45,NASHUA,NH,US,CITY,1,CASES
1931,28,NASHUA,NH,US,CITY,1,CASES
1931,31,NASHUA,NH,US,CITY,1,CASES
1931,35,NASHUA,NH,US,CITY,2,CASES
1931,36,NASHUA,NH,US,CITY,2,CASES
1931,37,NASHUA,NH,US,CITY,1,CASES
1935,36,NASHUA,NH,US,CITY,1,CASES
1935,46,NASHUA,NH,US,CITY,1,CASES
1935,48,NASHUA,NH,US,CITY,1,CASES
1937,30,NASHUA,NH,US,CITY,1,CASES
1937,35,NASHUA,NH,US,CITY,1,CASES
1937,36,NASHUA,NH,US,CITY,2,CASES
1937,38,NASHUA,NH,US,CITY,1,CASES
1937,41,NASHUA,NH,US,CITY,1,CASES
1938,7,NASHUA,NH,US,CITY,0,CASES
1938,48,NASHUA,NH,US,CITY,0,CASES
1939,4,NASHUA,NH,US,CITY,0,CASES
1939,37,NASHUA,NH,US,CITY,1,CASES
1940,17,NASHUA,NH,US,CITY,0,CASES
1940,18,NASHUA,NH,US,CITY,0,CASES
1940,44,NASHUA,NH,US,CITY,1,CASES
1941,37,NASHUA,NH,US,CITY,1,CASES
