year,week,loc,state,country,loc_type,number,event
1918,19,NATICK,MA,US,CITY,12,CASES
1918,20,NATICK,MA,US,CITY,29,CASES
1918,21,NATICK,MA,US,CITY,20,CASES
1918,22,NATICK,MA,US,CITY,12,CASES
1918,23,NATICK,MA,US,CITY,20,CASES
1918,24,NATICK,MA,US,CITY,12,CASES
1918,25,NATICK,MA,US,CITY,19,CASES
1918,26,NATICK,MA,US,CITY,5,CASES
1918,27,NATICK,MA,US,CITY,25,CASES
1918,29,NATICK,MA,US,CITY,3,CASES
1918,38,NATICK,MA,US,CITY,1,CASES
1919,3,NATICK,MA,US,CITY,1,CASES
1921,47,NATICK,MA,US,CITY,1,CASES
1922,17,NATICK,MA,US,CITY,1,CASES
1923,43,NATICK,MA,US,CITY,1,CASES
