year,week,loc,state,country,loc_type,number,event
1912,26,NEW BEDFORD,MA,US,CITY,1,CASES
1912,24,NEW BEDFORD,MA,US,CITY,1,CASES
1911,17,NEW BEDFORD,MA,US,CITY,4,CASES
1906,26,NEW BEDFORD,MA,US,CITY,6,CASES
1905,41,NEW BEDFORD,MA,US,CITY,1,CASES
1903,5,NEW BEDFORD,MA,US,CITY,1,CASES
1902,4,NEW BEDFORD,MA,US,CITY,1,CASES
1913,12,NEW BEDFORD,MA,US,CITY,5,CASES
1913,13,NEW BEDFORD,MA,US,CITY,5,CASES
1913,15,NEW BEDFORD,MA,US,CITY,1,CASES
1913,16,NEW BEDFORD,MA,US,CITY,2,CASES
1913,17,NEW BEDFORD,MA,US,CITY,2,CASES
1913,37,NEW BEDFORD,MA,US,CITY,1,CASES
1913,39,NEW BEDFORD,MA,US,CITY,1,CASES
1913,47,NEW BEDFORD,MA,US,CITY,1,CASES
1914,24,NEW BEDFORD,MA,US,CITY,1,CASES
1915,19,NEW BEDFORD,MA,US,CITY,1,CASES
1915,20,NEW BEDFORD,MA,US,CITY,2,CASES
1915,21,NEW BEDFORD,MA,US,CITY,2,CASES
1915,23,NEW BEDFORD,MA,US,CITY,2,CASES
1915,24,NEW BEDFORD,MA,US,CITY,6,CASES
1915,26,NEW BEDFORD,MA,US,CITY,1,CASES
1915,30,NEW BEDFORD,MA,US,CITY,2,CASES
1923,28,NEW BEDFORD,MA,US,CITY,1,CASES
