year,week,loc,state,country,loc_type,number,event
1907,20,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1907,21,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,22,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,24,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,25,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,26,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,29,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,31,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,32,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,33,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,38,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,40,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,44,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,45,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1907,48,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1907,49,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1908,1,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,2,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,3,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,4,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1908,7,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,8,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,9,NEW BRUNSWICK,NJ,US,CITY,5,CASES
1908,10,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,11,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,12,NEW BRUNSWICK,NJ,US,CITY,4,CASES
1908,13,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1908,14,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,15,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1908,19,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1908,20,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1908,21,NEW BRUNSWICK,NJ,US,CITY,6,CASES
1908,22,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,23,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,25,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,30,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,37,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,39,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,40,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,41,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,48,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,49,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1908,52,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1909,10,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1909,11,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1909,12,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1909,21,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1909,33,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1909,35,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1909,43,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1909,45,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1909,46,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,9,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1919,11,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1919,12,NEW BRUNSWICK,NJ,US,CITY,4,CASES
1919,13,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,14,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,16,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1919,17,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1919,18,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,19,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1919,20,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1919,21,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1919,31,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,44,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,46,NEW BRUNSWICK,NJ,US,CITY,3,CASES
1919,48,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,51,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,52,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1919,53,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,1,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,2,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,3,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,5,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,13,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,14,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1920,16,NEW BRUNSWICK,NJ,US,CITY,2,CASES
1920,19,NEW BRUNSWICK,NJ,US,CITY,1,CASES
1920,28,NEW BRUNSWICK,NJ,US,CITY,1,CASES
