year,week,loc,state,country,loc_type,number,event
1920,3,NEW HAVEN,CT,US,CITY,37,CASES
1920,4,NEW HAVEN,CT,US,CITY,242,CASES
1920,5,NEW HAVEN,CT,US,CITY,278,CASES
1920,6,NEW HAVEN,CT,US,CITY,190,CASES
1920,7,NEW HAVEN,CT,US,CITY,163,CASES
1920,8,NEW HAVEN,CT,US,CITY,72,CASES
1920,9,NEW HAVEN,CT,US,CITY,42,CASES
1920,10,NEW HAVEN,CT,US,CITY,33,CASES
1922,4,NEW HAVEN,CT,US,CITY,1,CASES
1922,5,NEW HAVEN,CT,US,CITY,3,CASES
1922,6,NEW HAVEN,CT,US,CITY,4,CASES
1922,7,NEW HAVEN,CT,US,CITY,11,CASES
1922,8,NEW HAVEN,CT,US,CITY,9,CASES
1922,9,NEW HAVEN,CT,US,CITY,25,CASES
1922,10,NEW HAVEN,CT,US,CITY,9,CASES
1923,4,NEW HAVEN,CT,US,CITY,1,CASES
1923,6,NEW HAVEN,CT,US,CITY,3,CASES
1923,8,NEW HAVEN,CT,US,CITY,18,CASES
1923,9,NEW HAVEN,CT,US,CITY,15,CASES
1923,10,NEW HAVEN,CT,US,CITY,1,CASES
1923,11,NEW HAVEN,CT,US,CITY,12,CASES
1923,12,NEW HAVEN,CT,US,CITY,2,CASES
1923,13,NEW HAVEN,CT,US,CITY,1,CASES
1923,26,NEW HAVEN,CT,US,CITY,1,CASES
1923,28,NEW HAVEN,CT,US,CITY,1,CASES
1923,37,NEW HAVEN,CT,US,CITY,1,CASES
1923,44,NEW HAVEN,CT,US,CITY,1,CASES
1924,1,NEW HAVEN,CT,US,CITY,0,CASES
1924,2,NEW HAVEN,CT,US,CITY,0,CASES
1924,3,NEW HAVEN,CT,US,CITY,0,CASES
1924,5,NEW HAVEN,CT,US,CITY,1,CASES
1924,6,NEW HAVEN,CT,US,CITY,0,CASES
1924,9,NEW HAVEN,CT,US,CITY,3,CASES
1924,10,NEW HAVEN,CT,US,CITY,0,CASES
1924,13,NEW HAVEN,CT,US,CITY,0,CASES
1924,15,NEW HAVEN,CT,US,CITY,0,CASES
1924,16,NEW HAVEN,CT,US,CITY,0,CASES
1924,17,NEW HAVEN,CT,US,CITY,0,CASES
1924,18,NEW HAVEN,CT,US,CITY,0,CASES
1924,19,NEW HAVEN,CT,US,CITY,0,CASES
1924,20,NEW HAVEN,CT,US,CITY,0,CASES
1924,21,NEW HAVEN,CT,US,CITY,0,CASES
1924,22,NEW HAVEN,CT,US,CITY,0,CASES
1924,23,NEW HAVEN,CT,US,CITY,0,CASES
1924,24,NEW HAVEN,CT,US,CITY,0,CASES
1924,25,NEW HAVEN,CT,US,CITY,0,CASES
1924,26,NEW HAVEN,CT,US,CITY,0,CASES
1924,27,NEW HAVEN,CT,US,CITY,0,CASES
1924,28,NEW HAVEN,CT,US,CITY,0,CASES
1924,29,NEW HAVEN,CT,US,CITY,0,CASES
1924,30,NEW HAVEN,CT,US,CITY,0,CASES
1924,31,NEW HAVEN,CT,US,CITY,0,CASES
1924,32,NEW HAVEN,CT,US,CITY,0,CASES
1924,33,NEW HAVEN,CT,US,CITY,0,CASES
1924,34,NEW HAVEN,CT,US,CITY,0,CASES
1924,35,NEW HAVEN,CT,US,CITY,0,CASES
1924,36,NEW HAVEN,CT,US,CITY,0,CASES
1924,37,NEW HAVEN,CT,US,CITY,0,CASES
1924,38,NEW HAVEN,CT,US,CITY,0,CASES
1924,39,NEW HAVEN,CT,US,CITY,0,CASES
1924,40,NEW HAVEN,CT,US,CITY,0,CASES
1924,41,NEW HAVEN,CT,US,CITY,0,CASES
1924,42,NEW HAVEN,CT,US,CITY,0,CASES
1924,43,NEW HAVEN,CT,US,CITY,0,CASES
1924,44,NEW HAVEN,CT,US,CITY,0,CASES
1924,45,NEW HAVEN,CT,US,CITY,0,CASES
1924,46,NEW HAVEN,CT,US,CITY,0,CASES
1924,47,NEW HAVEN,CT,US,CITY,0,CASES
1924,48,NEW HAVEN,CT,US,CITY,0,CASES
1924,49,NEW HAVEN,CT,US,CITY,0,CASES
1924,50,NEW HAVEN,CT,US,CITY,0,CASES
1924,51,NEW HAVEN,CT,US,CITY,0,CASES
1924,52,NEW HAVEN,CT,US,CITY,0,CASES
1924,53,NEW HAVEN,CT,US,CITY,0,CASES
1925,1,NEW HAVEN,CT,US,CITY,0,CASES
1925,2,NEW HAVEN,CT,US,CITY,0,CASES
1925,3,NEW HAVEN,CT,US,CITY,1,CASES
1925,4,NEW HAVEN,CT,US,CITY,0,CASES
1925,6,NEW HAVEN,CT,US,CITY,3,CASES
1925,7,NEW HAVEN,CT,US,CITY,4,CASES
1925,8,NEW HAVEN,CT,US,CITY,3,CASES
1925,9,NEW HAVEN,CT,US,CITY,1,CASES
1925,10,NEW HAVEN,CT,US,CITY,4,CASES
1925,11,NEW HAVEN,CT,US,CITY,2,CASES
1925,12,NEW HAVEN,CT,US,CITY,2,CASES
1925,13,NEW HAVEN,CT,US,CITY,1,CASES
1925,14,NEW HAVEN,CT,US,CITY,0,CASES
1925,15,NEW HAVEN,CT,US,CITY,1,CASES
1925,16,NEW HAVEN,CT,US,CITY,1,CASES
1925,17,NEW HAVEN,CT,US,CITY,0,CASES
1925,18,NEW HAVEN,CT,US,CITY,2,CASES
1925,19,NEW HAVEN,CT,US,CITY,0,CASES
1925,20,NEW HAVEN,CT,US,CITY,0,CASES
1925,21,NEW HAVEN,CT,US,CITY,0,CASES
1925,22,NEW HAVEN,CT,US,CITY,1,CASES
1925,23,NEW HAVEN,CT,US,CITY,0,CASES
1925,24,NEW HAVEN,CT,US,CITY,0,CASES
1925,25,NEW HAVEN,CT,US,CITY,0,CASES
1925,26,NEW HAVEN,CT,US,CITY,0,CASES
1925,27,NEW HAVEN,CT,US,CITY,0,CASES
1925,28,NEW HAVEN,CT,US,CITY,0,CASES
1925,29,NEW HAVEN,CT,US,CITY,0,CASES
1925,30,NEW HAVEN,CT,US,CITY,0,CASES
1925,31,NEW HAVEN,CT,US,CITY,0,CASES
1925,32,NEW HAVEN,CT,US,CITY,0,CASES
1925,33,NEW HAVEN,CT,US,CITY,0,CASES
1925,34,NEW HAVEN,CT,US,CITY,0,CASES
1925,35,NEW HAVEN,CT,US,CITY,0,CASES
1925,36,NEW HAVEN,CT,US,CITY,0,CASES
1925,37,NEW HAVEN,CT,US,CITY,0,CASES
1925,38,NEW HAVEN,CT,US,CITY,0,CASES
