year,week,loc,state,country,loc_type,number,event
1908,53,NEW LONDON,CT,US,CITY,2,CASES
1909,3,NEW LONDON,CT,US,CITY,1,CASES
1909,5,NEW LONDON,CT,US,CITY,2,CASES
1909,18,NEW LONDON,CT,US,CITY,3,CASES
1909,32,NEW LONDON,CT,US,CITY,1,CASES
1909,37,NEW LONDON,CT,US,CITY,1,CASES
1914,41,NEW LONDON,CT,US,CITY,4,CASES
1914,42,NEW LONDON,CT,US,CITY,5,CASES
1914,43,NEW LONDON,CT,US,CITY,1,CASES
1914,44,NEW LONDON,CT,US,CITY,5,CASES
1914,45,NEW LONDON,CT,US,CITY,3,CASES
1914,46,NEW LONDON,CT,US,CITY,2,CASES
1914,47,NEW LONDON,CT,US,CITY,2,CASES
1914,50,NEW LONDON,CT,US,CITY,3,CASES
1915,1,NEW LONDON,CT,US,CITY,2,CASES
1915,2,NEW LONDON,CT,US,CITY,1,CASES
1915,3,NEW LONDON,CT,US,CITY,2,CASES
1915,4,NEW LONDON,CT,US,CITY,1,CASES
1915,6,NEW LONDON,CT,US,CITY,1,CASES
1915,15,NEW LONDON,CT,US,CITY,1,CASES
1915,19,NEW LONDON,CT,US,CITY,2,CASES
1915,20,NEW LONDON,CT,US,CITY,1,CASES
1915,23,NEW LONDON,CT,US,CITY,3,CASES
1915,24,NEW LONDON,CT,US,CITY,1,CASES
1915,28,NEW LONDON,CT,US,CITY,2,CASES
1915,29,NEW LONDON,CT,US,CITY,2,CASES
1915,32,NEW LONDON,CT,US,CITY,1,CASES
1915,39,NEW LONDON,CT,US,CITY,1,CASES
1915,41,NEW LONDON,CT,US,CITY,2,CASES
1915,43,NEW LONDON,CT,US,CITY,2,CASES
1915,44,NEW LONDON,CT,US,CITY,1,CASES
1915,45,NEW LONDON,CT,US,CITY,2,CASES
1915,46,NEW LONDON,CT,US,CITY,5,CASES
1915,47,NEW LONDON,CT,US,CITY,2,CASES
1915,48,NEW LONDON,CT,US,CITY,4,CASES
1915,49,NEW LONDON,CT,US,CITY,5,CASES
1915,50,NEW LONDON,CT,US,CITY,4,CASES
1915,51,NEW LONDON,CT,US,CITY,5,CASES
1915,52,NEW LONDON,CT,US,CITY,10,CASES
1916,1,NEW LONDON,CT,US,CITY,6,CASES
1916,2,NEW LONDON,CT,US,CITY,13,CASES
1916,3,NEW LONDON,CT,US,CITY,6,CASES
1916,4,NEW LONDON,CT,US,CITY,6,CASES
1916,5,NEW LONDON,CT,US,CITY,3,CASES
1916,6,NEW LONDON,CT,US,CITY,2,CASES
1916,7,NEW LONDON,CT,US,CITY,5,CASES
1916,8,NEW LONDON,CT,US,CITY,1,CASES
1916,9,NEW LONDON,CT,US,CITY,1,CASES
1916,11,NEW LONDON,CT,US,CITY,1,CASES
1916,12,NEW LONDON,CT,US,CITY,1,CASES
1916,13,NEW LONDON,CT,US,CITY,2,CASES
1916,16,NEW LONDON,CT,US,CITY,1,CASES
1916,18,NEW LONDON,CT,US,CITY,1,CASES
1916,21,NEW LONDON,CT,US,CITY,4,CASES
1916,22,NEW LONDON,CT,US,CITY,3,CASES
1916,23,NEW LONDON,CT,US,CITY,1,CASES
1916,24,NEW LONDON,CT,US,CITY,2,CASES
1916,25,NEW LONDON,CT,US,CITY,1,CASES
1916,27,NEW LONDON,CT,US,CITY,1,CASES
1916,28,NEW LONDON,CT,US,CITY,1,CASES
1916,30,NEW LONDON,CT,US,CITY,2,CASES
1916,31,NEW LONDON,CT,US,CITY,1,CASES
1916,43,NEW LONDON,CT,US,CITY,2,CASES
1916,46,NEW LONDON,CT,US,CITY,2,CASES
1916,47,NEW LONDON,CT,US,CITY,6,CASES
1916,48,NEW LONDON,CT,US,CITY,3,CASES
1916,49,NEW LONDON,CT,US,CITY,5,CASES
1916,50,NEW LONDON,CT,US,CITY,1,CASES
1917,1,NEW LONDON,CT,US,CITY,1,CASES
1917,4,NEW LONDON,CT,US,CITY,1,CASES
