year,week,loc,state,country,loc_type,number,event
1952,12,NEW ORLEANS,LA,US,CITY,4,CASES
1952,13,NEW ORLEANS,LA,US,CITY,2,CASES
1952,15,NEW ORLEANS,LA,US,CITY,10,CASES
1952,17,NEW ORLEANS,LA,US,CITY,6,CASES
1952,18,NEW ORLEANS,LA,US,CITY,3,CASES
1952,19,NEW ORLEANS,LA,US,CITY,11,CASES
1952,20,NEW ORLEANS,LA,US,CITY,5,CASES
1952,21,NEW ORLEANS,LA,US,CITY,6,CASES
1952,22,NEW ORLEANS,LA,US,CITY,6,CASES
1952,23,NEW ORLEANS,LA,US,CITY,3,CASES
1952,24,NEW ORLEANS,LA,US,CITY,4,CASES
1952,25,NEW ORLEANS,LA,US,CITY,5,CASES
1952,26,NEW ORLEANS,LA,US,CITY,3,CASES
1952,27,NEW ORLEANS,LA,US,CITY,4,CASES
1952,29,NEW ORLEANS,LA,US,CITY,2,CASES
1952,31,NEW ORLEANS,LA,US,CITY,4,CASES
1952,32,NEW ORLEANS,LA,US,CITY,1,CASES
1952,33,NEW ORLEANS,LA,US,CITY,5,CASES
1952,34,NEW ORLEANS,LA,US,CITY,4,CASES
1952,36,NEW ORLEANS,LA,US,CITY,2,CASES
1952,37,NEW ORLEANS,LA,US,CITY,4,CASES
1952,38,NEW ORLEANS,LA,US,CITY,1,CASES
1952,39,NEW ORLEANS,LA,US,CITY,4,CASES
1952,41,NEW ORLEANS,LA,US,CITY,2,CASES
1952,43,NEW ORLEANS,LA,US,CITY,3,CASES
1952,44,NEW ORLEANS,LA,US,CITY,4,CASES
1952,46,NEW ORLEANS,LA,US,CITY,1,CASES
1952,47,NEW ORLEANS,LA,US,CITY,7,CASES
1952,48,NEW ORLEANS,LA,US,CITY,3,CASES
1952,50,NEW ORLEANS,LA,US,CITY,2,CASES
1952,52,NEW ORLEANS,LA,US,CITY,5,CASES
1953,2,NEW ORLEANS,LA,US,CITY,2,CASES
1953,6,NEW ORLEANS,LA,US,CITY,2,CASES
1953,8,NEW ORLEANS,LA,US,CITY,7,CASES
1953,11,NEW ORLEANS,LA,US,CITY,1,CASES
1953,16,NEW ORLEANS,LA,US,CITY,2,CASES
1953,18,NEW ORLEANS,LA,US,CITY,4,CASES
1953,20,NEW ORLEANS,LA,US,CITY,2,CASES
1953,21,NEW ORLEANS,LA,US,CITY,2,CASES
1953,28,NEW ORLEANS,LA,US,CITY,1,CASES
1953,49,NEW ORLEANS,LA,US,CITY,1,CASES
