year,week,loc,state,country,loc_type,number,event
1920,51,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,1,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,18,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,27,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,28,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,31,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,32,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1921,33,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1921,35,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,47,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1921,50,NEW PHILADELPHIA,OH,US,CITY,3,CASES
1922,2,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1922,6,NEW PHILADELPHIA,OH,US,CITY,8,CASES
1922,7,NEW PHILADELPHIA,OH,US,CITY,7,CASES
1922,8,NEW PHILADELPHIA,OH,US,CITY,12,CASES
1922,9,NEW PHILADELPHIA,OH,US,CITY,9,CASES
1922,10,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,12,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1922,17,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,18,NEW PHILADELPHIA,OH,US,CITY,3,CASES
1922,19,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,20,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,23,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1922,24,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1922,25,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,33,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1922,50,NEW PHILADELPHIA,OH,US,CITY,2,CASES
1923,1,NEW PHILADELPHIA,OH,US,CITY,1,CASES
1923,20,NEW PHILADELPHIA,OH,US,CITY,1,CASES
