year,week,loc,state,country,loc_type,number,event
1912,46,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,35,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,34,NIAGARA FALLS,NY,US,CITY,5,CASES
1912,33,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,32,NIAGARA FALLS,NY,US,CITY,7,CASES
1912,31,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,30,NIAGARA FALLS,NY,US,CITY,3,CASES
1912,29,NIAGARA FALLS,NY,US,CITY,2,CASES
1912,42,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,28,NIAGARA FALLS,NY,US,CITY,6,CASES
1912,23,NIAGARA FALLS,NY,US,CITY,3,CASES
1912,38,NIAGARA FALLS,NY,US,CITY,2,CASES
1912,22,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,21,NIAGARA FALLS,NY,US,CITY,3,CASES
1912,37,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,19,NIAGARA FALLS,NY,US,CITY,4,CASES
1912,18,NIAGARA FALLS,NY,US,CITY,3,CASES
1912,17,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,16,NIAGARA FALLS,NY,US,CITY,5,CASES
1911,4,NIAGARA FALLS,NY,US,CITY,1,CASES
1910,52,NIAGARA FALLS,NY,US,CITY,1,CASES
1909,6,NIAGARA FALLS,NY,US,CITY,1,CASES
1908,25,NIAGARA FALLS,NY,US,CITY,1,CASES
1907,51,NIAGARA FALLS,NY,US,CITY,2,CASES
1911,39,NIAGARA FALLS,NY,US,CITY,1,CASES
1907,21,NIAGARA FALLS,NY,US,CITY,1,CASES
1907,20,NIAGARA FALLS,NY,US,CITY,1,CASES
1907,18,NIAGARA FALLS,NY,US,CITY,2,CASES
1905,52,NIAGARA FALLS,NY,US,CITY,1,CASES
1904,25,NIAGARA FALLS,NY,US,CITY,1,CASES
1904,7,NIAGARA FALLS,NY,US,CITY,5,CASES
1903,36,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,47,NIAGARA FALLS,NY,US,CITY,1,CASES
1912,51,NIAGARA FALLS,NY,US,CITY,5,CASES
1912,52,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,1,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,2,NIAGARA FALLS,NY,US,CITY,5,CASES
1913,3,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,4,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,5,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,6,NIAGARA FALLS,NY,US,CITY,4,CASES
1913,7,NIAGARA FALLS,NY,US,CITY,4,CASES
1913,8,NIAGARA FALLS,NY,US,CITY,8,CASES
1913,9,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,10,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,11,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,12,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,15,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,16,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,19,NIAGARA FALLS,NY,US,CITY,3,CASES
1913,20,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,22,NIAGARA FALLS,NY,US,CITY,5,CASES
1913,23,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,24,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,25,NIAGARA FALLS,NY,US,CITY,3,CASES
1913,26,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,27,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,29,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,31,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,32,NIAGARA FALLS,NY,US,CITY,4,CASES
1913,34,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,35,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,37,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,39,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,40,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,41,NIAGARA FALLS,NY,US,CITY,5,CASES
1913,42,NIAGARA FALLS,NY,US,CITY,1,CASES
1913,45,NIAGARA FALLS,NY,US,CITY,4,CASES
1913,46,NIAGARA FALLS,NY,US,CITY,2,CASES
1913,47,NIAGARA FALLS,NY,US,CITY,24,CASES
1913,48,NIAGARA FALLS,NY,US,CITY,36,CASES
1913,49,NIAGARA FALLS,NY,US,CITY,3,CASES
1913,50,NIAGARA FALLS,NY,US,CITY,11,CASES
1913,51,NIAGARA FALLS,NY,US,CITY,8,CASES
1913,52,NIAGARA FALLS,NY,US,CITY,15,CASES
1913,53,NIAGARA FALLS,NY,US,CITY,33,CASES
1914,1,NIAGARA FALLS,NY,US,CITY,48,CASES
1914,2,NIAGARA FALLS,NY,US,CITY,63,CASES
1914,4,NIAGARA FALLS,NY,US,CITY,33,CASES
1914,5,NIAGARA FALLS,NY,US,CITY,39,CASES
1914,7,NIAGARA FALLS,NY,US,CITY,25,CASES
1914,9,NIAGARA FALLS,NY,US,CITY,4,CASES
1914,10,NIAGARA FALLS,NY,US,CITY,6,CASES
1914,14,NIAGARA FALLS,NY,US,CITY,1,CASES
1914,17,NIAGARA FALLS,NY,US,CITY,1,CASES
1914,20,NIAGARA FALLS,NY,US,CITY,1,CASES
1914,24,NIAGARA FALLS,NY,US,CITY,1,CASES
1914,47,NIAGARA FALLS,NY,US,CITY,1,CASES
1915,19,NIAGARA FALLS,NY,US,CITY,1,CASES
1917,42,NIAGARA FALLS,NY,US,CITY,4,CASES
1917,43,NIAGARA FALLS,NY,US,CITY,1,CASES
1917,44,NIAGARA FALLS,NY,US,CITY,3,CASES
1917,45,NIAGARA FALLS,NY,US,CITY,1,CASES
1917,47,NIAGARA FALLS,NY,US,CITY,2,CASES
1917,51,NIAGARA FALLS,NY,US,CITY,2,CASES
1918,2,NIAGARA FALLS,NY,US,CITY,1,CASES
1918,3,NIAGARA FALLS,NY,US,CITY,1,CASES
1918,14,NIAGARA FALLS,NY,US,CITY,2,CASES
1918,16,NIAGARA FALLS,NY,US,CITY,1,CASES
1918,17,NIAGARA FALLS,NY,US,CITY,1,CASES
1918,20,NIAGARA FALLS,NY,US,CITY,1,CASES
1919,6,NIAGARA FALLS,NY,US,CITY,1,CASES
1919,18,NIAGARA FALLS,NY,US,CITY,1,CASES
1919,38,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,11,NIAGARA FALLS,NY,US,CITY,4,CASES
1920,16,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,18,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,20,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,21,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,23,NIAGARA FALLS,NY,US,CITY,4,CASES
1920,27,NIAGARA FALLS,NY,US,CITY,1,CASES
1920,31,NIAGARA FALLS,NY,US,CITY,2,CASES
1920,50,NIAGARA FALLS,NY,US,CITY,1,CASES
1921,2,NIAGARA FALLS,NY,US,CITY,1,CASES
1921,7,NIAGARA FALLS,NY,US,CITY,1,CASES
1921,9,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,3,NIAGARA FALLS,NY,US,CITY,3,CASES
1922,6,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,7,NIAGARA FALLS,NY,US,CITY,2,CASES
1922,10,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,15,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,20,NIAGARA FALLS,NY,US,CITY,4,CASES
1922,21,NIAGARA FALLS,NY,US,CITY,14,CASES
1922,22,NIAGARA FALLS,NY,US,CITY,21,CASES
1922,23,NIAGARA FALLS,NY,US,CITY,24,CASES
1922,24,NIAGARA FALLS,NY,US,CITY,3,CASES
1922,25,NIAGARA FALLS,NY,US,CITY,5,CASES
1922,27,NIAGARA FALLS,NY,US,CITY,2,CASES
1922,32,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,33,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,34,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,40,NIAGARA FALLS,NY,US,CITY,1,CASES
1922,48,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,2,NIAGARA FALLS,NY,US,CITY,4,CASES
1923,3,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,4,NIAGARA FALLS,NY,US,CITY,3,CASES
1923,5,NIAGARA FALLS,NY,US,CITY,5,CASES
1923,6,NIAGARA FALLS,NY,US,CITY,7,CASES
1923,7,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,8,NIAGARA FALLS,NY,US,CITY,3,CASES
1923,9,NIAGARA FALLS,NY,US,CITY,6,CASES
1923,11,NIAGARA FALLS,NY,US,CITY,6,CASES
1923,15,NIAGARA FALLS,NY,US,CITY,2,CASES
1923,18,NIAGARA FALLS,NY,US,CITY,3,CASES
1923,23,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,24,NIAGARA FALLS,NY,US,CITY,2,CASES
1923,25,NIAGARA FALLS,NY,US,CITY,2,CASES
1923,27,NIAGARA FALLS,NY,US,CITY,3,CASES
1923,32,NIAGARA FALLS,NY,US,CITY,7,CASES
1923,33,NIAGARA FALLS,NY,US,CITY,9,CASES
1923,35,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,36,NIAGARA FALLS,NY,US,CITY,1,CASES
1923,37,NIAGARA FALLS,NY,US,CITY,1,CASES
