year,week,loc,state,country,loc_type,number,event
1920,3,NORFOLK,VA,US,CITY,49,CASES
1920,4,NORFOLK,VA,US,CITY,280,CASES
1920,5,NORFOLK,VA,US,CITY,602,CASES
1920,6,NORFOLK,VA,US,CITY,241,CASES
1920,10,NORFOLK,VA,US,CITY,7,CASES
1920,11,NORFOLK,VA,US,CITY,2,CASES
1920,13,NORFOLK,VA,US,CITY,1,CASES
1921,6,NORFOLK,VA,US,CITY,1,CASES
1921,10,NORFOLK,VA,US,CITY,1,CASES
1922,7,NORFOLK,VA,US,CITY,160,CASES
1922,8,NORFOLK,VA,US,CITY,93,CASES
1922,9,NORFOLK,VA,US,CITY,62,CASES
1922,11,NORFOLK,VA,US,CITY,1,CASES
1922,12,NORFOLK,VA,US,CITY,2,CASES
1923,9,NORFOLK,VA,US,CITY,1,CASES
1923,17,NORFOLK,VA,US,CITY,1,CASES
1923,34,NORFOLK,VA,US,CITY,1,CASES
1924,1,NORFOLK,VA,US,CITY,0,CASES
1924,2,NORFOLK,VA,US,CITY,0,CASES
1924,3,NORFOLK,VA,US,CITY,0,CASES
1924,4,NORFOLK,VA,US,CITY,0,CASES
1924,5,NORFOLK,VA,US,CITY,0,CASES
1924,6,NORFOLK,VA,US,CITY,0,CASES
1924,7,NORFOLK,VA,US,CITY,0,CASES
1924,8,NORFOLK,VA,US,CITY,0,CASES
1924,9,NORFOLK,VA,US,CITY,0,CASES
1924,10,NORFOLK,VA,US,CITY,0,CASES
1924,11,NORFOLK,VA,US,CITY,0,CASES
1924,12,NORFOLK,VA,US,CITY,0,CASES
1924,13,NORFOLK,VA,US,CITY,0,CASES
1924,14,NORFOLK,VA,US,CITY,0,CASES
1924,15,NORFOLK,VA,US,CITY,0,CASES
1924,16,NORFOLK,VA,US,CITY,0,CASES
1924,17,NORFOLK,VA,US,CITY,0,CASES
1924,18,NORFOLK,VA,US,CITY,0,CASES
1924,19,NORFOLK,VA,US,CITY,0,CASES
1924,20,NORFOLK,VA,US,CITY,0,CASES
1924,21,NORFOLK,VA,US,CITY,0,CASES
1924,22,NORFOLK,VA,US,CITY,0,CASES
1924,23,NORFOLK,VA,US,CITY,0,CASES
1924,24,NORFOLK,VA,US,CITY,0,CASES
1924,25,NORFOLK,VA,US,CITY,0,CASES
1924,26,NORFOLK,VA,US,CITY,0,CASES
1924,27,NORFOLK,VA,US,CITY,0,CASES
1924,28,NORFOLK,VA,US,CITY,0,CASES
1924,29,NORFOLK,VA,US,CITY,0,CASES
1924,30,NORFOLK,VA,US,CITY,0,CASES
1924,31,NORFOLK,VA,US,CITY,0,CASES
1924,32,NORFOLK,VA,US,CITY,0,CASES
