year,week,loc,state,country,loc_type,number,event
1915,15,NORFOLK,VA,US,CITY,1,CASES
1918,2,NORFOLK,VA,US,CITY,1,CASES
1918,4,NORFOLK,VA,US,CITY,1,CASES
1918,5,NORFOLK,VA,US,CITY,5,CASES
1918,6,NORFOLK,VA,US,CITY,3,CASES
1918,7,NORFOLK,VA,US,CITY,1,CASES
1918,8,NORFOLK,VA,US,CITY,3,CASES
1918,9,NORFOLK,VA,US,CITY,1,CASES
1918,10,NORFOLK,VA,US,CITY,2,CASES
1918,15,NORFOLK,VA,US,CITY,2,CASES
1918,16,NORFOLK,VA,US,CITY,2,CASES
1918,21,NORFOLK,VA,US,CITY,1,CASES
1918,34,NORFOLK,VA,US,CITY,1,CASES
1918,35,NORFOLK,VA,US,CITY,2,CASES
1918,37,NORFOLK,VA,US,CITY,1,CASES
1919,10,NORFOLK,VA,US,CITY,1,CASES
1919,13,NORFOLK,VA,US,CITY,1,CASES
1919,30,NORFOLK,VA,US,CITY,1,CASES
1919,31,NORFOLK,VA,US,CITY,1,CASES
1919,39,NORFOLK,VA,US,CITY,1,CASES
1919,41,NORFOLK,VA,US,CITY,1,CASES
1920,4,NORFOLK,VA,US,CITY,1,CASES
1920,21,NORFOLK,VA,US,CITY,1,CASES
1920,22,NORFOLK,VA,US,CITY,1,CASES
1920,44,NORFOLK,VA,US,CITY,1,CASES
1921,2,NORFOLK,VA,US,CITY,1,CASES
1921,17,NORFOLK,VA,US,CITY,1,CASES
1921,48,NORFOLK,VA,US,CITY,1,CASES
1922,29,NORFOLK,VA,US,CITY,1,CASES
1922,33,NORFOLK,VA,US,CITY,1,CASES
1923,8,NORFOLK,VA,US,CITY,1,CASES
1923,11,NORFOLK,VA,US,CITY,1,CASES
1923,32,NORFOLK,VA,US,CITY,2,CASES
1923,45,NORFOLK,VA,US,CITY,1,CASES
1924,9,NORFOLK,VA,US,CITY,1,CASES
1924,12,NORFOLK,VA,US,CITY,0,CASES
1924,32,NORFOLK,VA,US,CITY,0,CASES
1924,33,NORFOLK,VA,US,CITY,0,CASES
1924,34,NORFOLK,VA,US,CITY,2,CASES
1924,35,NORFOLK,VA,US,CITY,1,CASES
1924,36,NORFOLK,VA,US,CITY,0,CASES
1924,37,NORFOLK,VA,US,CITY,0,CASES
1924,41,NORFOLK,VA,US,CITY,0,CASES
1924,42,NORFOLK,VA,US,CITY,0,CASES
1924,47,NORFOLK,VA,US,CITY,0,CASES
1924,48,NORFOLK,VA,US,CITY,1,CASES
1925,5,NORFOLK,VA,US,CITY,1,CASES
1925,8,NORFOLK,VA,US,CITY,1,CASES
1925,11,NORFOLK,VA,US,CITY,0,CASES
1925,19,NORFOLK,VA,US,CITY,0,CASES
1925,21,NORFOLK,VA,US,CITY,0,CASES
1925,30,NORFOLK,VA,US,CITY,0,CASES
1925,32,NORFOLK,VA,US,CITY,0,CASES
1925,34,NORFOLK,VA,US,CITY,0,CASES
1925,35,NORFOLK,VA,US,CITY,0,CASES
1926,21,NORFOLK,VA,US,CITY,1,CASES
1926,24,NORFOLK,VA,US,CITY,1,CASES
1926,34,NORFOLK,VA,US,CITY,0,CASES
1926,38,NORFOLK,VA,US,CITY,0,CASES
1926,39,NORFOLK,VA,US,CITY,0,CASES
1926,49,NORFOLK,VA,US,CITY,0,CASES
1926,52,NORFOLK,VA,US,CITY,1,CASES
1927,15,NORFOLK,VA,US,CITY,1,CASES
1927,21,NORFOLK,VA,US,CITY,0,CASES
1928,10,NORFOLK,VA,US,CITY,1,CASES
