year,week,loc,state,country,loc_type,number,event
1907,1,NORFOLK,VA,US,CITY,1,CASES
1906,50,NORFOLK,VA,US,CITY,2,CASES
1906,1,NORFOLK,VA,US,CITY,46,CASES
1914,19,NORFOLK,VA,US,CITY,6,CASES
1914,20,NORFOLK,VA,US,CITY,3,CASES
1914,21,NORFOLK,VA,US,CITY,3,CASES
1914,22,NORFOLK,VA,US,CITY,1,CASES
1914,24,NORFOLK,VA,US,CITY,2,CASES
1914,25,NORFOLK,VA,US,CITY,3,CASES
1914,52,NORFOLK,VA,US,CITY,2,CASES
1915,2,NORFOLK,VA,US,CITY,1,CASES
1915,3,NORFOLK,VA,US,CITY,1,CASES
1915,5,NORFOLK,VA,US,CITY,1,CASES
1915,8,NORFOLK,VA,US,CITY,1,CASES
1916,20,NORFOLK,VA,US,CITY,2,CASES
1917,4,NORFOLK,VA,US,CITY,1,CASES
1917,26,NORFOLK,VA,US,CITY,1,CASES
1917,44,NORFOLK,VA,US,CITY,1,CASES
1918,9,NORFOLK,VA,US,CITY,1,CASES
1918,10,NORFOLK,VA,US,CITY,2,CASES
1918,11,NORFOLK,VA,US,CITY,2,CASES
1918,12,NORFOLK,VA,US,CITY,1,CASES
1918,14,NORFOLK,VA,US,CITY,1,CASES
1918,17,NORFOLK,VA,US,CITY,1,CASES
1918,18,NORFOLK,VA,US,CITY,1,CASES
1918,25,NORFOLK,VA,US,CITY,1,CASES
1918,28,NORFOLK,VA,US,CITY,1,CASES
1918,34,NORFOLK,VA,US,CITY,1,CASES
1918,44,NORFOLK,VA,US,CITY,3,CASES
1918,50,NORFOLK,VA,US,CITY,1,CASES
1918,52,NORFOLK,VA,US,CITY,2,CASES
1919,2,NORFOLK,VA,US,CITY,3,CASES
1919,3,NORFOLK,VA,US,CITY,1,CASES
1919,5,NORFOLK,VA,US,CITY,2,CASES
1919,6,NORFOLK,VA,US,CITY,1,CASES
1919,7,NORFOLK,VA,US,CITY,1,CASES
1919,8,NORFOLK,VA,US,CITY,2,CASES
1919,9,NORFOLK,VA,US,CITY,3,CASES
1919,10,NORFOLK,VA,US,CITY,4,CASES
1919,12,NORFOLK,VA,US,CITY,5,CASES
1919,13,NORFOLK,VA,US,CITY,5,CASES
1919,15,NORFOLK,VA,US,CITY,4,CASES
1919,16,NORFOLK,VA,US,CITY,3,CASES
1919,17,NORFOLK,VA,US,CITY,3,CASES
1919,18,NORFOLK,VA,US,CITY,5,CASES
1919,19,NORFOLK,VA,US,CITY,1,CASES
1919,20,NORFOLK,VA,US,CITY,5,CASES
1919,21,NORFOLK,VA,US,CITY,1,CASES
1919,22,NORFOLK,VA,US,CITY,4,CASES
1919,23,NORFOLK,VA,US,CITY,4,CASES
1919,24,NORFOLK,VA,US,CITY,2,CASES
1919,25,NORFOLK,VA,US,CITY,2,CASES
1919,26,NORFOLK,VA,US,CITY,1,CASES
1919,27,NORFOLK,VA,US,CITY,1,CASES
1919,28,NORFOLK,VA,US,CITY,5,CASES
1919,33,NORFOLK,VA,US,CITY,2,CASES
1919,39,NORFOLK,VA,US,CITY,1,CASES
1919,40,NORFOLK,VA,US,CITY,1,CASES
1919,41,NORFOLK,VA,US,CITY,2,CASES
1919,43,NORFOLK,VA,US,CITY,1,CASES
1919,44,NORFOLK,VA,US,CITY,8,CASES
1919,45,NORFOLK,VA,US,CITY,3,CASES
1919,47,NORFOLK,VA,US,CITY,2,CASES
1919,49,NORFOLK,VA,US,CITY,3,CASES
1919,53,NORFOLK,VA,US,CITY,3,CASES
1920,4,NORFOLK,VA,US,CITY,9,CASES
1920,6,NORFOLK,VA,US,CITY,3,CASES
1920,9,NORFOLK,VA,US,CITY,7,CASES
1920,11,NORFOLK,VA,US,CITY,2,CASES
1920,12,NORFOLK,VA,US,CITY,7,CASES
1920,13,NORFOLK,VA,US,CITY,3,CASES
1920,14,NORFOLK,VA,US,CITY,5,CASES
1920,15,NORFOLK,VA,US,CITY,3,CASES
1920,16,NORFOLK,VA,US,CITY,1,CASES
1920,17,NORFOLK,VA,US,CITY,4,CASES
1920,19,NORFOLK,VA,US,CITY,2,CASES
1920,20,NORFOLK,VA,US,CITY,1,CASES
1920,21,NORFOLK,VA,US,CITY,4,CASES
1920,22,NORFOLK,VA,US,CITY,3,CASES
1920,24,NORFOLK,VA,US,CITY,1,CASES
1920,26,NORFOLK,VA,US,CITY,1,CASES
1920,27,NORFOLK,VA,US,CITY,2,CASES
1920,43,NORFOLK,VA,US,CITY,1,CASES
1920,50,NORFOLK,VA,US,CITY,1,CASES
1920,52,NORFOLK,VA,US,CITY,2,CASES
1921,11,NORFOLK,VA,US,CITY,2,CASES
1921,16,NORFOLK,VA,US,CITY,1,CASES
1921,19,NORFOLK,VA,US,CITY,3,CASES
1921,22,NORFOLK,VA,US,CITY,2,CASES
1921,24,NORFOLK,VA,US,CITY,1,CASES
