year,week,loc,state,country,loc_type,number,event
1918,18,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1918,52,NORTH ATTLEBORO,MA,US,CITY,5,CASES
1919,1,NORTH ATTLEBORO,MA,US,CITY,8,CASES
1919,2,NORTH ATTLEBORO,MA,US,CITY,2,CASES
1919,53,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1920,3,NORTH ATTLEBORO,MA,US,CITY,2,CASES
1920,7,NORTH ATTLEBORO,MA,US,CITY,4,CASES
1920,8,NORTH ATTLEBORO,MA,US,CITY,3,CASES
1920,9,NORTH ATTLEBORO,MA,US,CITY,6,CASES
1920,20,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1920,21,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1920,23,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1920,42,NORTH ATTLEBORO,MA,US,CITY,1,CASES
1920,48,NORTH ATTLEBORO,MA,US,CITY,1,CASES
