year,week,loc,state,country,loc_type,number,event
1917,51,NORTH LITTLE ROCK,AR,US,CITY,3,CASES
1918,1,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1918,8,NORTH LITTLE ROCK,AR,US,CITY,4,CASES
1918,10,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1918,14,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1918,15,NORTH LITTLE ROCK,AR,US,CITY,4,CASES
1918,19,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1918,20,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1918,21,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1918,22,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1919,37,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,2,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,5,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,8,NORTH LITTLE ROCK,AR,US,CITY,4,CASES
1920,12,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,18,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1920,19,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1920,26,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,31,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,36,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,39,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,49,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1920,51,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1920,52,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,1,NORTH LITTLE ROCK,AR,US,CITY,3,CASES
1921,2,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1921,4,NORTH LITTLE ROCK,AR,US,CITY,3,CASES
1921,5,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1921,6,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,7,NORTH LITTLE ROCK,AR,US,CITY,4,CASES
1921,8,NORTH LITTLE ROCK,AR,US,CITY,4,CASES
1921,9,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,10,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1921,11,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,12,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,13,NORTH LITTLE ROCK,AR,US,CITY,3,CASES
1921,14,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,15,NORTH LITTLE ROCK,AR,US,CITY,8,CASES
1921,16,NORTH LITTLE ROCK,AR,US,CITY,3,CASES
1921,17,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1921,18,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1921,19,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1921,20,NORTH LITTLE ROCK,AR,US,CITY,10,CASES
1921,21,NORTH LITTLE ROCK,AR,US,CITY,7,CASES
1921,22,NORTH LITTLE ROCK,AR,US,CITY,28,CASES
1921,23,NORTH LITTLE ROCK,AR,US,CITY,11,CASES
1921,24,NORTH LITTLE ROCK,AR,US,CITY,21,CASES
1921,25,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1921,26,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1921,27,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1921,28,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1922,5,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,6,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,7,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,9,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,12,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,17,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1922,51,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1923,2,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1923,3,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1923,5,NORTH LITTLE ROCK,AR,US,CITY,5,CASES
1923,6,NORTH LITTLE ROCK,AR,US,CITY,1,CASES
1923,7,NORTH LITTLE ROCK,AR,US,CITY,2,CASES
1923,8,NORTH LITTLE ROCK,AR,US,CITY,7,CASES
1923,10,NORTH LITTLE ROCK,AR,US,CITY,45,CASES
1923,11,NORTH LITTLE ROCK,AR,US,CITY,32,CASES
1923,12,NORTH LITTLE ROCK,AR,US,CITY,36,CASES
1923,13,NORTH LITTLE ROCK,AR,US,CITY,7,CASES
1923,14,NORTH LITTLE ROCK,AR,US,CITY,37,CASES
1923,15,NORTH LITTLE ROCK,AR,US,CITY,27,CASES
