year,week,loc,state,country,loc_type,number,event
1918,5,NORWALK,CT,US,CITY,1,CASES
1918,6,NORWALK,CT,US,CITY,7,CASES
1918,8,NORWALK,CT,US,CITY,1,CASES
1918,9,NORWALK,CT,US,CITY,1,CASES
1918,13,NORWALK,CT,US,CITY,3,CASES
1918,30,NORWALK,CT,US,CITY,1,CASES
1919,51,NORWALK,CT,US,CITY,2,CASES
1920,2,NORWALK,CT,US,CITY,1,CASES
1920,5,NORWALK,CT,US,CITY,2,CASES
1920,6,NORWALK,CT,US,CITY,1,CASES
1920,50,NORWALK,CT,US,CITY,1,CASES
1920,52,NORWALK,CT,US,CITY,1,CASES
1921,4,NORWALK,CT,US,CITY,2,CASES
1921,19,NORWALK,CT,US,CITY,2,CASES
1921,28,NORWALK,CT,US,CITY,1,CASES
